course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ACE1301-008,ACE1301,8,정보사회와컴퓨터,1,3.0,교양필수,"[0, 458752, 0, 7168, 0, 0, 0]",이석환,절대평가, 
ACE2101-017,ACE2101,17,공업수학 1,2,3.0,교양필수,"[0, 458752, 0, 0, 7168, 0, 0]",정찬석,상대평가,선수
AIE1001-001,AIE1001,1,객체지향프로그래밍 1,1,3.0,전공필수,"[0, 983040, 15360, 0, 0, 0, 0]",김영성,절대평가, 
AIE1001-002,AIE1001,2,객체지향프로그래밍 1,1,3.0,전공필수,"[0, 983040, 983040, 0, 0, 0, 0]",김영성,절대평가, 
APL2404-001,APL2404,1,해상운송론,전체,3.0,전공선택,"[0, 458752, 0, 458752, 0, 0, 0]",이상윤,상대평가, 
ARE2105-001,ARE2105,1,건축구조역학,2,3.0,전공필수,"[7168, 458752, 0, 0, 0, 0, 0]",김창혁,상대평가,선수
BIO2103-001,BIO2103,1,생물유기화학,2,3.0,전공선택,"[0, 458752, 0, 7168, 0, 0, 0]",배성호,상대평가, 
BIO4105-001,BIO4105,1,노화생물학,4,3.0,전공선택,"[0, 458752, 0, 896, 0, 0, 0]","민경진,이혜연",상대평가, 
BTE1101-002,BTE1101,2,생명공학도를 위한 일반생물학,1,3.0,교양필수,"[0, 458752, 0, 458752, 0, 0, 0]",김현진,상대평가, 
BTE3110-001,BTE3110,1,생물공학실험 1,3,2.0,전공필수,"[0, 2088960, 0, 0, 0, 0, 0]",백종윤,절대평가,선수
BTE3113-001,BTE3113,1,단백질공학,3,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",양윤정,절대평가,"영어,English"
BTE4103-001,BTE4103,1,세포생물학,4,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",김동일,상대평가, 
BUS2101-001,BUS2101,1,재무관리,전체,3.0,전공필수,"[0, 458752, 458752, 0, 0, 0, 0]",양진영,절대평가,"영어,English"
BUS2101-004,BUS2101,4,재무관리,전체,3.0,전공필수,"[0, 4128768, 0, 0, 0, 0, 0]",최동현,상대평가, 
BUS2301-002,BUS2301,2,재무회계,전체,3.0,전공필수,"[0, 516096, 0, 0, 0, 0, 0]",배성미,상대평가, 
BUS2601-002,BUS2601,2,경영정보론,전체,3.0,전공필수,"[0, 516096, 0, 0, 0, 0, 0]",서우종,상대평가, 
BUS2701-001,BUS2701,1,지속가능경영 사례,전체,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",김연복,상대평가, 
BUS3203-002,BUS3203,2,경영전략,전체,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",박기찬,상대평가, 
BUS3508-001,BUS3508,1,제품과 브랜드관리,전체,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",김정현,절대평가,"영어,English"
BUS3509-001,BUS3509,1,마케팅채널관리,전체,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",신현정,상대평가, 
BUS4501-001,BUS4501,1,광고론,전체,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",최규현,상대평가, 
CCA3003-001,CCA3003,1,기후위기와 지역사회,전체,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",조경두,상대평가, 
CCM1419-001,CCM1419,1,디지털 시대의 문화예술,4,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",윤나라,상대평가, 
CCM2111-001,CCM2111,1,문화답사 기획실습,1,3.0,전공필수,"[0, 516096, 0, 0, 0, 0, 0]",이수진,Pass/Fail, 
CCM2111-002,CCM2111,2,문화답사 기획실습,1,3.0,전공필수,"[0, 516096, 0, 0, 0, 0, 0]",육상효,Pass/Fail, 
CCM3212-001,CCM3212,1,문화마케팅,2,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",김상원,상대평가, 
CDN1310-002,CDN1310,2,디자인의 원리,1,3.0,전공선택,"[0, 4128768, 0, 0, 0, 0, 0]",김선미,절대평가,(초빙교수)특수교과목
CDN1320-002,CDN1320,2,사진과영상,1,3.0,전공선택,"[0, 4128768, 0, 0, 0, 0, 0]",이승언,절대평가, 
CDN3115-003,CDN3115,3,지역사회와디자인,3,3.0,전공필수,"[0, 4128768, 0, 0, 0, 0, 0]",진나래,절대평가, 
CHE2100-001,CHE2100,1,물리화학 1,2,3.0,전공필수,"[458752, 458752, 0, 0, 0, 0, 0]",심상은,상대평가, 
CHE2100-004,CHE2100,4,물리화학 1,2,3.0,전공필수,"[458752, 458752, 0, 0, 0, 0, 0]",이근형,상대평가, 
CHE3202-002,CHE3202,2,화학공학실험,3,2.0,전공필수,"[0, 16711680, 0, 0, 0, 0, 0]",양회창,절대평가, 
CHE3212-002,CHE3212,2,열 및 물질전달,3,3.0,전공필수,"[0, 458752, 7168, 0, 0, 0, 0]",신내철,상대평가, 
CHE3212-004,CHE3212,4,열 및 물질전달,3,3.0,전공필수,"[0, 458752, 7168, 0, 0, 0, 0]",함형철,상대평가, 
CHM4613-001,CHM4613,1,공업화학,4,3.0,전공선택,"[0, 4128768, 0, 0, 0, 0, 0]",박수진,상대평가, 
CHN2011-002,CHN2011,2,집중중국어 1,2,3.0,전공필수,"[0, 458752, 0, 458752, 0, 0, 0]",소영,상대평가, 
CHS1201-001,CHS1201,1,아동상담,1,3.0,전공필수,"[0, 458752, 458752, 0, 0, 0, 0]",양성은,상대평가, 
CHS4401-001,CHS4401,1,보육실습,4,3.0,전공선택,"[0, 516096, 0, 0, 4128768, 0, 0]","이완정,김균희",절대평가, 
CIV3150-002,CIV3150,2,철근콘크리트설계,3,3.0,전공선택,"[7168, 458752, 0, 0, 0, 0, 0]",이종한,상대평가, 
COM3414-001,COM3414,1,광고홍보전략론,전체,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",박재항,상대평가, 
CON3605-001,CON3605,1,소비자와 상품기획 및 관리,3,3.0,전공선택,"[0, 516096, 0, 0, 0, 0, 0]",황진주,상대평가, 
