,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2149,KLC2161-001,KLC2161,1,한국문학 입문,전체,3.0,전공필수,[     0      0      0 516096      0      0      0],장현정,상대평가, ,,KLC학과-국제한국언어문화학,{'목': 'M-321'}
2150,KLC2162-001,KLC2162,1,한국문화 입문,전체,3.0,전공필수,[112   0 112   0   0   0   0],남은영,상대평가, ,5.0,KLC학과-국제한국언어문화학,"{'월': 'M-301', '수': 'M-301'}"
2151,KLC2163-001,KLC2163,1,한국어 어휘,전체,3.0,전공선택,[    0 57344     0 57344     0     0     0],김수정,상대평가, ,,KLC학과-국제한국언어문화학,"{'화': 'M-322', '목': 'M-322'}"
2152,KLC2164-001,KLC2164,1,한류의 이해,전체,3.0,전공선택,[7168    0 7168    0    0    0    0],남은영,상대평가, ,4.0,KLC학과-국제한국언어문화학,"{'월': 'M-321', '수': 'M-321'}"
2153,KLC3160-001,KLC3160,1,한국어 규범과 한국언어문화,전체,3.0,전공필수,[  0 896   0 896   0   0   0],문현수,상대평가, ,,KLC학과-국제한국언어문화학,"{'화': 'M-321', '목': 'M-321'}"
2154,KLC3161-001,KLC3161,1,한국어통번역 입문,전체,3.0,전공필수,[   0 7168 7168    0    0    0    0],최권진,상대평가, ,,KLC학과-국제한국언어문화학,"{'화': 'M-322', '수': 'M-322'}"
2155,KLC3164-001,KLC3164,1,한국고전과 한국문화,전체,3.0,전공선택,[  0   0   0 126   0   0   0],허희수,상대평가, ,,KLC학과-국제한국언어문화학,{'목': 'M-321'}
2156,KLC3165-001,KLC3165,1,애니메이션과 한국문화,전체,3.0,전공선택,[126   0 126   0   0   0   0],류수연,상대평가, ,,KLC학과-국제한국언어문화학,"{'월': '9-217', '수': '9-217'}"
2157,KLC4161-001,KLC4161,1,미디어와 한국어,전체,3.0,전공선택,[  0 112 112   0   0   0   0],최권진,상대평가, ,,KLC학과-국제한국언어문화학,"{'화': 'M-321', '수': 'M-321'}"
2158,KLC4164-001,KLC4164,1,한국어 현장실습,전체,3.0,전공선택,[122880      0 122880      0      0      0      0],최권진,절대평가, ,,KLC학과-국제한국언어문화학,"{'월': 'M-321', '수': 'M-321'}"
