,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2387,NUR1015-001,NUR1015,1,간호학개론,1,1.0,전공필수,[24576     0     0     0     0     0     0],임지영,상대평가, ,3.16,간호학과-간호학,{'월': '5동202'}
2388,NUR1015-002,NUR1015,2,간호학개론,1,1.0,전공필수,[393216      0      0      0      0      0      0],임지영,상대평가, ,3.16,간호학과-간호학,{'월': '5동202'}
2389,NUR1017-001,NUR1017,1,건강격차와 복지사회,1,2.0,전공선택,[  0   0   0 480   0   0   0],최승우,상대평가, ,,간호학과-간호학,{'목': '5남551'}
2395,NUR2010-001,NUR2010,1,기본간호학 1,2,2.0,전공필수,[  0 480   0   0   0   0   0],김화순,상대평가, ,4.75,간호학과-간호학,{'화': '5동202'}
2396,NUR2010-002,NUR2010,2,기본간호학 1,2,2.0,전공필수,[   0 7680    0    0    0    0    0],서민희,상대평가, ,4.75,간호학과-간호학,{'화': '5동202'}
2397,NUR2012-001,NUR2012,1,기본간호학실습 1,2,1.0,전공필수,[    0 15360     0     0     0     0     0],김화순,절대평가, ,5.0,간호학과-간호학,{'화': '5동307'}
2398,NUR2012-002,NUR2012,2,기본간호학실습 1,2,1.0,전공필수,[     0 983040      0      0      0      0      0],김화순,절대평가, ,5.0,간호학과-간호학,{'화': '5동307'}
2399,NUR2012-003,NUR2012,3,기본간호학실습 1,2,1.0,전공필수,[   0    0    0 7680    0    0    0],서민희,절대평가, ,,간호학과-간호학,{'목': '5동307'}
2400,NUR2012-004,NUR2012,4,기본간호학실습 1,2,1.0,전공필수,[     0      0      0 122880      0      0      0],서민희,절대평가, ,,간호학과-간호학,{'목': '5동307'}
2401,NUR3003-001,NUR3003,1,아동간호학실습 1,3,1.0,전공필수,[  0   0   0 126   0   0   0],"강나래,우효주",절대평가, ,,간호학과-간호학,{'목': '인하대병원'}
2402,NUR3003-002,NUR3003,2,아동간호학실습 1,3,1.0,전공필수,[  0   0   0 126   0   0   0],"안영미,강나래",절대평가, ,,간호학과-간호학,{'목': '인하대병원'}
2403,NUR3003-003,NUR3003,3,아동간호학실습 1,3,1.0,전공필수,[   0    0    0 1008    0    0    0],"강나래,우효주",절대평가, ,,간호학과-간호학,{'목': '인하대병원'}
2404,NUR3006-001,NUR3006,1,성인간호학 2,3,2.0,전공필수,[122880      0      0      0      0      0      0],정혜실,상대평가, ,4.0,간호학과-간호학,{'월': '5남551'}
2405,NUR3006-002,NUR3006,2,성인간호학 2,3,2.0,전공필수,[ 0  0 30  0  0  0  0],정혜실,상대평가, ,4.0,간호학과-간호학,{'수': '5남551'}
2406,NUR3013-001,NUR3013,1,정신간호학 1,3,3.0,전공필수,[57456 57456     0     0     0     0     0],"이은진,김수정",상대평가, ,,간호학과-간호학,"{'월': '5남551', '화': '5남551'}"
2407,NUR3013-002,NUR3013,2,정신간호학 1,3,3.0,전공필수,[   0 8064 8064    0    0    0    0],"이은진,김수정",상대평가, ,,간호학과-간호학,"{'화': '5남551', '수': '5남551'}"
2408,NUR3024-001,NUR3024,1,성인간호학1,3,3.0,전공필수,[64512     0 64512     0     0     0     0],"김수현,김지영",상대평가, ,,간호학과-간호학,"{'월': '5남551', '수': '5남551'}"
2409,NUR3024-002,NUR3024,2,성인간호학1,3,3.0,전공필수,[     0 465920      0 465920      0      0      0],"김수현,김지영",상대평가, ,,간호학과-간호학,"{'화': '5남551', '목': '5남551'}"
2410,NUR3026-001,NUR3026,1,노인간호학실습,3,1.0,전공필수,[     0      0      0 516096      0      0      0],"최승우,신복순",절대평가, ,,간호학과-간호학,{'목': '외부실습'}
2411,NUR3026-002,NUR3026,2,노인간호학실습,3,1.0,전공필수,[    0     0     0 64512     0     0     0],"최승우,신복순",절대평가, ,,간호학과-간호학,{'목': '외부실습'}
2412,NUR3026-003,NUR3026,3,노인간호학실습,3,1.0,전공필수,[      0 3727360       0 3727360       0       0       0],"최승우,신복순",절대평가, ,,간호학과-간호학,"{'화': '외부실습', '목': '외부실습'}"
2413,NUR3027-001,NUR3027,1,아동간호학1,3,3.0,전공필수,[126 126   0   0   0   0   0],"안영미,강나래",상대평가, ,,간호학과-간호학,"{'월': '5남551', '화': '5남551'}"
2414,NUR3027-002,NUR3027,2,아동간호학1,3,3.0,전공필수,[   0 8064 8064    0    0    0    0],"안영미,강나래",상대평가, ,,간호학과-간호학,"{'화': '5남551', '수': '5남551'}"
2415,NUR3029-001,NUR3029,1,성인간호학실습1,3,2.0,전공필수,[   0    0    0    0 8190    0    0],"김수현,임보애,성일순",절대평가, ,,간호학과-간호학,{'금': '인하대병원'}
2416,NUR3029-002,NUR3029,2,성인간호학실습1,3,2.0,전공필수,[   0    0    0    0 8190    0    0],"정혜실,임보애,성일순",절대평가, ,,간호학과-간호학,{'금': '인하대병원'}
2417,NUR3029-003,NUR3029,3,성인간호학실습1,3,2.0,전공필수,[      0       0 1974240       0 1974240       0       0],"임보애,성일순,김지영",절대평가, ,,간호학과-간호학,"{'수': '인하대병원', '금': '인하대병원'}"
2418,NUR3030-001,NUR3030,1,통합간호시뮬레이션실습1,3,1.0,전공필수,[ 0  0  0  0  0 30  0],"이은진,최승우",절대평가, ,,간호학과-간호학,{'토': '시뮬레이션'}
2419,NUR3030-002,NUR3030,2,통합간호시뮬레이션실습1,3,1.0,전공필수,[  0   0   0   0   0 480   0],"이은진,김지영",절대평가, ,,간호학과-간호학,{'토': '시뮬레이션'}
2420,NUR3030-003,NUR3030,3,통합간호시뮬레이션실습1,3,1.0,전공필수,[ 0  0  0  0  0 30  0],"이은진,강나래",절대평가, ,,간호학과-간호학,{'토': '시뮬레이션'}
2421,NUR3030-004,NUR3030,4,통합간호시뮬레이션실습1,3,1.0,전공필수,[  0   0   0   0   0 480   0],"이은진,서민희,이은주,임보애",절대평가, ,,간호학과-간호학,{'토': '시뮬레이션'}
2422,NUR3031-001,NUR3031,1,정신간호학실습1,4,1.0,전공필수,[  0   0   0   0   0 126   0],"송은애,김수정",절대평가, ,,간호학과-간호학,{'토': '인하대병원'}
2423,NUR3031-002,NUR3031,2,정신간호학실습1,4,1.0,전공필수,[  0   0   0   0   0 126   0],"송은애,김수정",절대평가, ,,간호학과-간호학,{'토': '인하대병원'}
2424,NUR3031-003,NUR3031,3,정신간호학실습1,4,1.0,전공필수,[      0 3670030       0       0       0 3670030       0],"송은애,김수정",절대평가, ,,간호학과-간호학,"{'화': '인하대병원', '토': '인하대병원'}"
2425,NUR3032-001,NUR3032,1,중환자간호입문,3,2.0,전공선택,[7864320       0       0       0       0       0       0],김화순,상대평가, ,,간호학과-간호학,{'월': '5남551'}
2428,NUR4009-001,NUR4009,1,성인간호학실습 3,4,1.0,전공필수,[8064    0    0    0    0    0    0],"임은주,조옥자,정혜실",절대평가, ,,간호학과-간호학,{'월': '인하대병원'}
2429,NUR4009-002,NUR4009,2,성인간호학실습 3,4,1.0,전공필수,[8064    0    0    0    0    0    0],"임은주,정혜실,이소연",절대평가, ,,간호학과-간호학,{'월': '인하대병원'}
2430,NUR4009-003,NUR4009,3,성인간호학실습 3,4,1.0,전공필수,[3670912       0       0 3670912       0       0       0],"임은주,정혜실,이효심",절대평가, ,,간호학과-간호학,"{'월': '인하대병원', '목': '인하대병원'}"
2431,NUR4014-001,NUR4014,1,지역사회간호학실습 1,4,1.0,전공필수,[   0    0    0    0 8064    0    0],"함옥경,이지연",절대평가, ,,간호학과-간호학,{'금': '외부실습'}
2432,NUR4014-002,NUR4014,2,지역사회간호학실습 1,4,1.0,전공필수,[   0    0    0    0 8064    0    0],"함옥경,이지연",절대평가, ,,간호학과-간호학,{'금': '외부실습'}
2433,NUR4014-003,NUR4014,3,지역사회간호학실습 1,4,1.0,전공필수,[      0       0       0       0 3677184       0       0],"함옥경,이지연",절대평가, ,,간호학과-간호학,{'금': '외부실습'}
2434,NUR4016-001,NUR4016,1,간호관리학 1,4,3.0,전공필수,[14  0  0 14  0  0  0],"임지영,송성숙",상대평가, ,,간호학과-간호학,"{'월': '5남554', '목': '5남554'}"
2435,NUR4016-002,NUR4016,2,간호관리학 1,4,3.0,전공필수,[112   0   0 112   0   0   0],"임지영,송성숙",상대평가, ,,간호학과-간호학,"{'월': '5남554', '목': '5남554'}"
2436,NUR4017-001,NUR4017,1,간호관리학 2,4,2.0,전공필수,[ 0 30  0  0  0  0  0],손연주,상대평가, ,,간호학과-간호학,{'화': '5남554'}
2437,NUR4017-002,NUR4017,2,간호관리학 2,4,2.0,전공필수,[ 0  0 30  0  0  0  0],손연주,상대평가, ,,간호학과-간호학,{'수': '5남554'}
2438,NUR4024-001,NUR4024,1,지역사회간호학 2,4,3.0,전공필수,[   0 7168    0 7168    0    0    0],"함옥경,이지연",상대평가, ,,간호학과-간호학,"{'화': '5남554', '목': '5남554'}"
2439,NUR4024-002,NUR4024,2,지역사회간호학 2,4,3.0,전공필수,[    0 57344     0 57344     0     0     0],"함옥경,이지연",상대평가, ,,간호학과-간호학,"{'화': '5남554', '목': '5남554'}"
