,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
167,ARE1403-001,ARE1403,1,건축공학개론,1,3.0,전공필수,[  0   0   0   0 126   0   0],"김영석,정성훈,김의종,조재완,김창혁",상대평가, ,,건축학부-건축공학,{'금': '4-421'}
168,ARE1403-002,ARE1403,2,건축공학개론,1,3.0,전공필수,[    0     0     0     0 64512     0     0],"양재근,조재훈,조재완,최민지",상대평가, ,,건축학부-건축공학,{'금': '4-421'}
169,ARE2105-001,ARE2105,1,건축구조역학,2,3.0,전공필수,[465920 465920      0      0      0      0      0],김창혁,상대평가,선수,,건축학부-건축공학,"{'월': '2남409', '화': '2남409'}"
170,ARE2105-002,ARE2105,2,건축구조역학,2,3.0,전공필수,[57344 57344     0     0     0     0     0],김창혁,상대평가,선수,,건축학부-건축공학,"{'월': '2남409', '화': '2남409'}"
171,ARE2203-001,ARE2203,1,건축환경-열환경,2,3.0,전공선택,[126   0 126   0   0   0   0],조재훈,상대평가,선수,4.0,건축학부-건축공학,"{'월': '2남409', '수': '2남409'}"
172,ARE2303-001,ARE2303,1,건축일반구조 및 재료,2,3.0,전공선택,[  0   0   0   0 126   0   0],조영호,상대평가, ,4.33,건축학부-건축공학,{'금': '2남409'}
173,ARE3108-001,ARE3108,1,철근콘크리트 건축구조,3,3.0,전공선택,[  0 112 112   0   0   0   0],정성훈,상대평가,선수,5.0,건축학부-건축공학,"{'화': '2남409', '수': '2남409'}"
174,ARE3108-002,ARE3108,2,철근콘크리트 건축구조,3,3.0,전공선택,[    0 57344 57344     0     0     0     0],정성훈,상대평가,선수,5.0,건축학부-건축공학,"{'화': '4-421', '수': '4-421'}"
175,ARE3207-002,ARE3207,2,건축설비,3,3.0,전공필수,[8064    0 8064    0    0    0    0],김의종,상대평가,선수,5.0,건축학부-건축공학,"{'월': '4-421', '수': '4-421'}"
176,ARE3307-001,ARE3307,1,건축법규,3,3.0,전공선택,[    0     0     0     0 64512     0     0],조영호,상대평가, ,4.75,건축학부-건축공학,{'금': '2남409'}
177,ARE3403-001,ARE3403,1,건축공학일반설계,3,3.0,전공필수,[       0        0 33030144        0        0        0        0],문봉호,상대평가,선수,,건축학부-건축공학,{'수': '2남229'}
178,ARE4209-001,ARE4209,1,건물에너지시뮬레이션,4,3.0,전공선택,[465920      0      0 465920      0      0      0],조재완,상대평가,선수,5.0,건축학부-건축공학,"{'월': '4-421', '목': '4-421'}"
179,ARE4309-001,ARE4309,1,공정관리,4,3.0,전공선택,[ 0 14 14  0  0  0  0],고용호,절대평가,"영어,English,선수",,건축학부-건축공학,"{'화': '4-421', '수': '4-421'}"
180,ARE4310-001,ARE4310,1,"건설사업관리-시공,운영,유지관리",4,3.0,전공선택,[7168 7168    0    0    0    0    0],김영석,상대평가, ,4.5,건축학부-건축공학,"{'월': '4-421', '화': '4-421'}"
181,ARE4410-001,ARE4410,1,건축공학종합설계,4,4.0,전공필수,[  0   0   0 510   0   0   0],"김영석,조재훈,김의종,최민지",Pass/Fail,선수,,건축학부-건축공학,{'목': '4-421A'}
182,ARE4410-002,ARE4410,2,건축공학종합설계,4,4.0,전공필수,[  0   0   0 510   0   0   0],"김영석,양재근,조재훈,김창혁",Pass/Fail,선수,,건축학부-건축공학,{'목': '4-421B'}
183,ARE4410-003,ARE4410,3,건축공학종합설계,4,4.0,전공필수,[  0   0   0 510   0   0   0],"정성훈,조재훈,조재완",Pass/Fail,선수,,건축학부-건축공학,{'목': '4-421C'}
184,ARE4410-004,ARE4410,4,건축공학종합설계,4,4.0,전공필수,[  0   0   0 510   0   0   0],"정성훈,양재근,조재훈,최민지",Pass/Fail,선수,,건축학부-건축공학,{'목': '4-421D'}
185,ARE4410-005,ARE4410,5,건축공학종합설계,4,4.0,전공필수,[  0   0   0 510   0   0   0],"조재훈,김의종,김창혁,최민지",Pass/Fail,선수,,건축학부-건축공학,{'목': '4-421동'}
