,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
131,ARC1201-001,ARC1201,1,건축설계 1,1,3.0,전공필수,[2096640       0       0       0       0       0       0],홍승완,절대평가,"영어,English",3.8,건축학부-건축학,{'월': '2남414A'}
132,ARC1201-002,ARC1201,2,건축설계 1,1,3.0,전공필수,[2096640       0       0       0       0       0       0],정혜진,절대평가,"영어,English",4.6,건축학부-건축학,{'월': '2남414B'}
133,ARC1201-003,ARC1201,3,건축설계 1,1,3.0,전공필수,[2096640       0       0       0       0       0       0],박유진,절대평가,"영어,English",4.33,건축학부-건축학,{'월': '2남414C'}
134,ARC1201-004,ARC1201,4,건축설계 1,1,3.0,전공필수,[2096640       0       0       0       0       0       0],강제용,절대평가,"영어,English",5.0,건축학부-건축학,{'월': '2남414D'}
135,ARC2002-001,ARC2002,1,디지털미디어 1,2,3.0,전공필수,[    0 64512     0     0     0     0     0],홍승완,절대평가,"영어,English",4.5,건축학부-건축학,{'화': '2남430A'}
136,ARC2002-002,ARC2002,2,디지털미디어 1,2,3.0,전공필수,[    0     0 64512     0     0     0     0],홍승완,절대평가,"영어,English",4.5,건축학부-건축학,{'수': '2남430A'}
137,ARC2102-001,ARC2102,1,한국건축사,2,3.0,전공필수,[  0 126   0   0   0   0   0],도윤수,상대평가, ,4.25,건축학부-건축학,{'화': '2남414'}
138,ARC2203-001,ARC2203,1,건축설계 3,2,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김광호,배연수",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-422A', '목': '4-422A'}"
139,ARC2203-002,ARC2203,2,건축설계 3,2,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"최민욱,김형섭",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-422B', '목': '4-422B'}"
140,ARC2203-003,ARC2203,3,건축설계 3,2,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"최성훈,최주희",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-422C', '목': '4-422C'}"
141,ARC2203-004,ARC2203,4,건축설계 3,2,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김윤수,이동진",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-422D', '목': '4-422D'}"
142,ARC2203-006,ARC2203,6,건축설계 3,2,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"박범진,장익수",절대평가,선수,,건축학부-건축학,"{'월': '2남512D', '목': '2남512D'}"
143,ARC2302-001,ARC2302,1,건축환경계획,2,3.0,전공필수,[  0 896 896   0   0   0   0],김형섭,상대평가, ,4.0,건축학부-건축학,"{'화': '2남414', '수': '2남414'}"
144,ARC3104-001,ARC3104,1,근대건축사,3,3.0,전공필수,[    0     0     0     0 64512     0     0],이홍규,상대평가, ,,건축학부-건축학,{'금': '2남414'}
145,ARC3105-001,ARC3105,1,건축디자인방법론,3,3.0,전공필수,[  0 126   0   0   0   0   0],정경준,상대평가, ,,건축학부-건축학,{'화': '60주년-507'}
146,ARC3106-001,ARC3106,1,주거계획,3,3.0,전공선택,[   0 7168 7168    0    0    0    0],조민정,상대평가, ,,건축학부-건축학,"{'화': '2남414', '수': '2남414'}"
147,ARC3205-001,ARC3205,1,건축설계 5,3,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"임종엽,정우석",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-407A', '목': '4-407A'}"
148,ARC3205-002,ARC3205,2,건축설계 5,3,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김경배,이형진",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-407B', '목': '4-407B'}"
149,ARC3205-003,ARC3205,3,건축설계 5,3,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"박지영,윤용권",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-407C', '목': '4-407C'}"
150,ARC3205-004,ARC3205,4,건축설계 5,3,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"정웅기,이화숙",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-407D', '목': '4-407D'}"
151,ARC3304-001,ARC3304,1,건축재료,3,3.0,전공필수,[  0   0   0   0 126   0   0],정혜진,상대평가, ,5.0,건축학부-건축학,{'금': '60주년-108'}
152,ARC4110-001,ARC4110,1,건축이론,4,3.0,전공선택,[112   0   0 112   0   0   0],임종엽,상대평가, ,,건축학부-건축학,"{'월': '2남414', '목': '2남414'}"
153,ARC4115-001,ARC4115,1,실내건축계획,4,3.0,전공선택,[      0       0 4128768       0       0       0       0],김광호,상대평가,"대상학년은 4학년이나, 5학년도 수강해도 무방함.",,건축학부-건축학,{'수': '2남414'}
154,ARC4116-001,ARC4116,1,도시설계,4,3.0,전공필수,[  0   0 126   0   0   0   0],김경배,상대평가, ,,건축학부-건축학,{'수': '2남414'}
155,ARC4207-001,ARC4207,1,건축설계 7,4,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"조민정,변승용",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '2남420B', '목': '2남420B'}"
156,ARC4207-002,ARC4207,2,건축설계 7,4,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"정혜진,서정주",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '2남420C', '목': '2남420C'}"
157,ARC4207-003,ARC4207,3,건축설계 7,4,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김재석,김옥현",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '2남420동', '목': '2남420동'}"
158,ARC4207-004,ARC4207,4,건축설계 7,4,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김효진,전재우",절대평가,"영어,English,선수",,건축학부-건축학,"{'월': '2남420F', '목': '2남420F'}"
159,ARC4209-001,ARC4209,1,건축설계 9,5,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김광호,김경배,김효진,최성훈",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '2남512A', '목': '2남512A'}"
160,ARC4209-002,ARC4209,2,건축설계 9,5,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"박진호,박지영,김영수,박민환",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '2남512B', '목': '2남512B'}"
161,ARC4209-003,ARC4209,3,건축설계 9,5,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"임종엽,박지영,김효진,김윤겸",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '2남420G', '목': '2남420G'}"
162,ARC4209-004,ARC4209,4,건축설계 9,5,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"조민정,변승용,김영수,최성훈",절대평가,선수,,건축학부-건축학,"{'월': '2남420H', '목': '2남420H'}"
163,ARC4306-001,ARC4306,1,건축시공과 관리,4,3.0,전공필수,[       0 33030144        0        0        0        0        0],신영근,상대평가, ,,건축학부-건축학,{'화': '2남414'}
164,ARC4307-001,ARC4307,1,친환경건축,4,3.0,전공필수,[   0    0    0    0 1008    0    0],"박지영,김형섭",상대평가, ,,건축학부-건축학,{'금': '2남414'}
165,ARC4309-001,ARC4309,1,BIM설계와 시공,5,3.0,전공선택,[        0         0 264241152         0         0         0         0],홍승완,절대평가,"영어,English",,건축학부-건축학,{'수': '2남430A'}
166,ARC4311-001,ARC4311,1,건축과 조경,4,3.0,전공선택,[    0     0     0     0 64512     0     0],정혜진,상대평가, ,5.0,건축학부-건축학,{'금': '60주년-101'}
