,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
296,BUS2101-001,BUS2101,1,재무관리,전체,3.0,전공필수,[     0 458752 458752      0      0      0      0],양진영,절대평가,"영어,English",3.95,경영학과-경영학,"{'화': '6-325', '수': '6-325'}"
297,BUS2101-002,BUS2101,2,재무관리,전체,3.0,전공필수,[910 910   0   0   0   0   0],손규현,상대평가, ,4.54,경영학과-경영학,"{'월': '6-320', '화': '6-320'}"
298,BUS2101-003,BUS2101,3,재무관리,전체,3.0,전공필수,[   0    0 7168    0  112    0    0],정진영,상대평가, ,3.53,경영학과-경영학,"{'수': '6-226', '금': '6-220'}"
299,BUS2101-004,BUS2101,4,재무관리,전체,3.0,전공필수,[      0 4128768       0       0       0       0       0],최동현,상대평가, ,2.52,경영학과-경영학,{'화': '6-526'}
300,BUS2201-001,BUS2201,1,조직행동,전체,3.0,전공필수,[8064    0    0 8064    0    0    0],강대석,상대평가, ,3.03,경영학과-경영학,"{'월': '6-226', '목': '6-226'}"
301,BUS2201-002,BUS2201,2,조직행동,전체,3.0,전공필수,[7280    0    0 7280    0    0    0],강대석,상대평가, ,3.03,경영학과-경영학,"{'월': '6-226', '목': '6-226'}"
302,BUS2201-003,BUS2201,3,조직행동,전체,3.0,전공필수,[  0   0   0 126   0   0   0],홍계훈,상대평가, ,3.94,경영학과-경영학,{'목': '6-126'}
303,BUS2201-004,BUS2201,4,조직행동,전체,3.0,전공필수,[     0      0      0 516096      0      0      0],조민정,상대평가, ,4.85,경영학과-경영학,{'목': '6-521'}
304,BUS2201-005,BUS2201,5,조직행동,전체,3.0,전공필수,[126   0   0   0   0   0   0],민정원,절대평가,"영어,English",4.83,기타-원어강의,{'월': '6-327'}
305,BUS2301-001,BUS2301,1,재무회계,전체,3.0,전공필수,[   0    0 7168 7168    0    0    0],이수정,절대평가,"영어,English",3.5,경영학과-경영학,"{'수': '6-527', '목': '6-527'}"
306,BUS2301-002,BUS2301,2,재무회계,전체,3.0,전공필수,[     0 516096      0      0      0      0      0],배성미,상대평가, ,4.15,경영학과-경영학,{'화': '6-320'}
307,BUS2301-003,BUS2301,3,재무회계,전체,3.0,전공필수,[     0      0 516096      0      0      0      0],배성미,상대평가, ,4.15,경영학과-경영학,{'수': '6-521'}
308,BUS2301-004,BUS2301,4,재무회계,전체,3.0,전공필수,[896 896   0   0   0   0   0],윤선주,상대평가, ,4.41,경영학과-경영학,"{'월': '6-325', '화': '6-325'}"
309,BUS2303-001,BUS2303,1,관리회계,전체,3.0,전공선택,[7168    0 7168    0    0    0    0],조형진,상대평가, ,4.75,경영학과-경영학,"{'월': '6-625', '수': '6-625'}"
310,BUS2304-001,BUS2304,1,원가회계,전체,3.0,전공선택,[  0   0   0 126   0   0   0],안재환,상대평가, ,4.95,경영학과-경영학,{'목': '6-325'}
311,BUS2304-002,BUS2304,2,원가회계,전체,3.0,전공선택,[     0      0      0 516096      0      0      0],안재환,절대평가,"영어,English",4.95,경영학과-경영학,{'목': '6-320'}
