,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
915,ECO1101-001,ECO1101,1,경제원론 1,전체,3.0,전공필수,[7168    0 7168    0    0    0    0],이상원,상대평가, ,3.93,경제학과-경제학,"{'월': '6-520', '수': '6-520'}"
916,ECO1101-002,ECO1101,2,경제원론 1,전체,3.0,전공필수,[7168    0    0 7168    0    0    0],신일순,상대평가, ,4.4,경제학과-경제학,"{'월': '6-426', '목': '6-426'}"
917,ECO1101-003,ECO1101,3,경제원론 1,전체,3.0,전공필수,[  0 896 896   0   0   0   0],정세은,절대평가,"영어,English",4.89,경제학과-경제학,"{'화': '6-425', '수': '6-425'}"
919,ECO2201-002,ECO2201,2,미시경제학,전체,3.0,전공필수,[7168    0 7168    0    0    0    0],김진방,상대평가, ,3.74,경제학과-경제학,"{'월': '6-425', '수': '6-425'}"
920,ECO2201-003,ECO2201,3,미시경제학,전체,3.0,전공필수,[112   0   0 112   0   0   0],신일순,상대평가, ,4.2,경제학과-경제학,"{'월': '6-520', '목': '6-520'}"
921,ECO2202-001,ECO2202,1,거시경제학,전체,3.0,전공필수,[896   0 896   0   0   0   0],장원창,상대평가, ,3.39,경제학과-경제학,"{'월': '6-520', '수': '6-520'}"
922,ECO2211-001,ECO2211,1,경제정보분석,전체,3.0,전공선택,[458752      0 458752      0      0      0      0],이상원,상대평가, ,1.0,경제학과-경제학,"{'월': '6-426', '수': '6-326'}"
923,ECO2222-001,ECO2222,1,경제사,전체,3.0,전공선택,[    0     0     0     0 64512     0     0],전보강,상대평가, ,4.31,경제학과-경제학,{'금': '6-425'}
924,ECO3212-001,ECO3212,1,응용계량경제학,전체,3.0,전공선택,[    0 25472     0   896     0     0     0],천소라,절대평가, ,,경제학과-경제학,"{'화': '6-326', '목': '6-520'}"
925,ECO3243-001,ECO3243,1,경제학을 위한 프로그래밍,전체,3.0,전공선택,[1572976       0     112       0       0       0       0],윤영진,절대평가, ,4.38,경제학과-경제학,"{'월': '6-326', '수': '6-425'}"
926,ECO3271-001,ECO3271,1,후생경제학,전체,3.0,전공선택,[    0 57344     0 57344     0     0     0],강병구,상대평가, ,3.43,경제학과-경제학,"{'화': '6-425', '목': '6-425'}"
927,ECO3305-001,ECO3305,1,현대경제학,전체,3.0,전공선택,[14  0 14  0  0  0  0],매츠,절대평가,"영어,English",4.8,기타-원어강의,"{'월': '6-426', '수': '6-426'}"
928,ECO3305-002,ECO3305,2,현대경제학,전체,3.0,전공선택,[ 0 14  0 14  0  0  0],매츠,절대평가,"영어,English",4.8,기타-원어강의,"{'화': '6-426', '목': '6-426'}"
929,ECO3337-001,ECO3337,1,국제무역론,전체,3.0,전공선택,[   0 7168    0 7168    0    0    0],윤명수,절대평가,"영어,English",4.0,기타-원어강의,"{'화': '6-520', '목': '6-520'}"
930,ECO3343-001,ECO3343,1,노동경제학,전체,3.0,전공선택,[    0 57344     0 57344     0     0     0],윤명수,절대평가,"영어,English",2.74,기타-원어강의,"{'화': '6-520', '목': '6-520'}"
931,ECO3344-001,ECO3344,1,기술경제론,전체,3.0,전공선택,[896   0 896   0   0   0   0],오준병,상대평가, ,4.19,경제학과-경제학,"{'월': '6-426', '수': '6-426'}"
932,ECO3347-001,ECO3347,1,게임이론,전체,3.0,전공선택,[7168    0 7168    0    0    0    0],오준병,상대평가, ,4.16,경제학과-경제학,"{'월': '6-427', '수': '6-427'}"
933,ECO3352-001,ECO3352,1,자원환경경제학,전체,3.0,전공선택,[112   0  14   0   0   0   0],서현덕,상대평가, ,4.5,경제학과-경제학,"{'월': '6-426', '수': '6-520'}"
934,ECO3361-001,ECO3361,1,화폐금융론,전체,3.0,전공선택,[126   0 126   0   0   0   0],서현덕,상대평가, ,4.79,경제학과-경제학,"{'월': '6-520', '수': '6-520'}"
935,ECO3362-001,ECO3362,1,금융투자론,전체,3.0,전공선택,[57344     0 57344     0     0     0     0],장원창,상대평가, ,2.42,경제학과-경제학,"{'월': '6-520', '수': '6-520'}"
936,ECO3374-001,ECO3374,1,조세론,전체,3.0,전공선택,[   0 7168    0 7168    0    0    0],강병구,상대평가, ,2.86,경제학과-경제학,"{'화': '6-425', '목': '6-425'}"
937,ECO3382-001,ECO3382,1,한국경제론,전체,3.0,전공선택,[896   0 896   0   0   0   0],유만식,상대평가, ,4.45,경제학과-경제학,"{'월': '9-317', '수': '9-317'}"
938,ECO3383-001,ECO3383,1,경제체제론,전체,3.0,전공선택,[57344     0 57344     0     0     0     0],김진방,상대평가, ,4.75,경제학과-경제학,"{'월': '6-425', '수': '6-425'}"
939,ECO3387-001,ECO3387,1,경제성장론,전체,3.0,전공선택,[  0   0   0 112 112   0   0],전보강,상대평가, ,3.79,경제학과-경제학,"{'목': '6-425', '금': '6-425'}"
