,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2639,PSE2011-001,PSE2011,1,물리화학 1,2,3.0,전공필수,[458752      0 458752      0      0      0      0],강홍석,상대평가, ,4.8,고분자공학과-고분자공학,"{'월': '2북666', '수': '2북666'}"
2640,PSE2011-002,PSE2011,2,물리화학 1,2,3.0,전공필수,[458752      0 458752      0      0      0      0],오동엽,상대평가, ,,고분자공학과-고분자공학,"{'월': '2북664', '수': '2북664'}"
2641,PSE2041-001,PSE2041,1,유기화학 1,2,3.0,전공필수,[7280    0 7280    0    0    0    0],진형준,상대평가, ,4.15,고분자공학과-고분자공학,"{'월': '2북666', '수': '2북666'}"
2642,PSE2041-002,PSE2041,2,유기화학 1,2,3.0,전공필수,[1008    0 1008    0    0    0    0],진형준,상대평가, ,4.15,고분자공학과-고분자공학,"{'월': '2북666', '수': '2북666'}"
2643,PSE2060-001,PSE2060,1,재료과학,2,3.0,전공선택,[   0 7280    0 7280    0    0    0],권용구,상대평가, ,4.08,고분자공학과-고분자공학,"{'화': '2북666', '목': '2북666'}"
2644,PSE2180-001,PSE2180,1,생명과 고분자,2,3.0,전공선택,[  0 896   0 896   0   0   0],신광수,상대평가, ,,고분자공학과-고분자공학,"{'화': '2북664', '목': '2북664'}"
2645,PSE3110-001,PSE3110,1,반응공학,3,3.0,전공선택,[896   0 896   0   0   0   0],최우혁,상대평가, ,4.72,고분자공학과-고분자공학,"{'월': '2북664', '수': '2북664'}"
2646,PSE3120-001,PSE3120,1,유기반응의 이해,3,3.0,전공선택,[57344     0 57344     0     0     0     0],이진균,상대평가, ,4.62,고분자공학과-고분자공학,"{'월': '2북664', '수': '2북664'}"
2647,PSE3170-001,PSE3170,1,고분자기기분석,3,3.0,전공선택,[   0 7280    0 7280    0    0    0],권용구,상대평가, ,3.73,고분자공학과-고분자공학,"{'화': '2북666', '목': '2북666'}"
2648,PSE3181-001,PSE3181,1,고분자물리화학,3,3.0,전공필수,[14  0 14  0  0  0  0],김상원,상대평가, ,4.38,고분자공학과-고분자공학,"{'월': '2북666', '수': '2북666'}"
2649,PSE3191-001,PSE3191,1,고분자화학,3,3.0,전공필수,[7168    0 7168    0    0    0    0],이진균,상대평가, ,5.0,고분자공학과-고분자공학,"{'월': '2북664', '수': '2북664'}"
2650,PSE3191-002,PSE3191,2,고분자화학,3,3.0,전공필수,[57344     0 57344     0     0     0     0],오동엽,상대평가, ,,고분자공학과-고분자공학,"{'월': '2북666', '수': '2북666'}"
2651,PSE4010-001,PSE4010,1,고분자나노복합재료,4,3.0,전공선택,[14  0 14  0  0  0  0],김희중,상대평가, ,3.0,고분자공학과-고분자공학,"{'월': '2북664', '수': '2북664'}"
2652,PSE4060-001,PSE4060,1,기능성신소재,4,3.0,전공선택,[    0 64512     0     0     0     0     0],김철희,상대평가, ,3.92,고분자공학과-고분자공학,{'화': '2북664'}
2653,PSE4171-001,PSE4171,1,고분자종합설계,4,2.0,전공필수,[     0 983040      0      0      0      0      0],이진균,상대평가, ,5.0,고분자공학과-고분자공학,{'화': '2북666'}
2654,PSE4171-002,PSE4171,2,고분자종합설계,4,2.0,전공필수,[     0 983040      0      0      0      0      0],진형준,상대평가, ,,고분자공학과-고분자공학,{'화': '2북664'}
2655,PSE4171-003,PSE4171,3,고분자종합설계,4,2.0,전공필수,[     0 983040      0      0      0      0      0],권용구,상대평가, ,,고분자공학과-고분자공학,{'화': '2북575'}
2656,PSE4181-001,PSE4181,1,고분자실험 2,4,2.0,전공필수,[  0 510   0   0   0   0   0],최우혁,절대평가, ,5.0,고분자공학과-고분자공학,{'화': '2북470B'}
2657,PSE4181-002,PSE4181,2,고분자실험 2,4,2.0,전공필수,[2088960       0       0       0       0       0       0],김상원,절대평가, ,,고분자공학과-고분자공학,{'월': '2북470B'}
2658,PSE4181-003,PSE4181,3,고분자실험 2,4,2.0,전공필수,[      0       0 2088960       0       0       0       0],신광수,절대평가, ,,고분자공학과-고분자공학,{'수': '2북470B'}
2659,PSE4181-004,PSE4181,4,고분자실험 2,4,2.0,전공필수,[  0   0   0 510   0   0   0],강홍석,절대평가, ,5.0,고분자공학과-고분자공학,{'목': '2북470B'}
2660,PSE4190-001,PSE4190,1,고분자합성,4,3.0,전공선택,[112   0 112   0   0   0   0],이진균,상대평가, ,5.0,고분자공학과-고분자공학,"{'월': '2북664', '수': '2북664'}"
2661,PSE4210-001,PSE4210,1,전자 재료 및 소자,4,3.0,전공선택,[8064    0 8064    0    0    0    0],김상원,상대평가, ,,고분자공학과-고분자공학,"{'월': '2북666', '수': '2북666'}"
