,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
1773,GEO1011-001,GEO1011,1,공간정보공학개론,1,3.0,전공필수,[    0     0     0     0 64512     0     0],"박수홍,김태정,박관동,홍성철,최강혁,최광열",상대평가, ,,공간정보공학과-공간정보공학,{'금': '4-320'}
1774,GEO2003-001,GEO2003,1,공간위치결정,2,3.0,전공필수,[240   0 240   0   0   0   0],최강혁,절대평가, ,2.0,공간정보공학과-공간정보공학,"{'월': '4-320', '수': '4-320'}"
1775,GEO2010-001,GEO2010,1,객체지향프로그램,2,3.0,전공필수,[983040      0 983040      0      0      0      0],홍성철,절대평가, ,2.82,공간정보공학과-공간정보공학,"{'월': '4-336', '수': '4-336'}"
1778,GEO2121-001,GEO2121,1,도시공간구조,2,3.0,전공선택,[  0 112   0 112   0   0   0],최광열,상대평가, ,,공간정보공학과-공간정보공학,"{'화': '4-320', '목': '4-320'}"
1779,GEO3001-001,GEO3001,1,공간정보 진로세미나,3,1.0,전공필수,[24576     0     0     0     0     0     0],"박수홍,김태정,박관동,홍성철,최강혁,최광열",상대평가, ,,공간정보공학과-공간정보공학,{'월': '4-320'}
1780,GEO3101-001,GEO3101,1,위성영상처리,3,3.0,전공선택,[  0   0   0   0 510   0   0],김선화,절대평가,선수,,공간정보공학과-공간정보공학,{'금': '4-336'}
1781,GEO3102-001,GEO3102,1,공간분석,3,3.0,전공선택,[   0 7920 7920    0    0    0    0],홍성철,절대평가,선수,5.0,공간정보공학과-공간정보공학,"{'화': '4-336', '수': '4-336'}"
1782,GEO3105-001,GEO3105,1,사진측량학,3,3.0,전공필수,[7680    0    0 7680    0    0    0],김태정,절대평가, ,3.67,공간정보공학과-공간정보공학,"{'월': '4-320', '목': '4-320'}"
1783,GEO3131-001,GEO3131,1,교통체계분석 및 계획,3,3.0,전공선택,[      0       0 1966080 1966080       0       0       0],최광열,절대평가, ,,공간정보공학과-공간정보공학,"{'수': '4-320', '목': '4-336'}"
1784,GEO3206-001,GEO3206,1,GPS응용,3,3.0,전공선택,[983040 983040      0      0      0      0      0],박관동,절대평가,선수,3.67,공간정보공학과-공간정보공학,"{'월': '4-320', '화': '4-320'}"
1785,GEO3307-001,GEO3307,1,위치기반 앱 프로그래밍,3,3.0,전공선택,[240   0   0 240   0   0   0],김태정,절대평가,선수,4.08,공간정보공학과-공간정보공학,"{'월': '4-336', '목': '4-336'}"
1786,GEO3320-001,GEO3320,1,공간자료구조,3,3.0,전공선택,[     0      0 122880 122880      0      0      0],박수홍,절대평가, ,4.0,공간정보공학과-공간정보공학,"{'수': '4-320', '목': '4-336'}"
1787,GEO3380-001,GEO3380,1,데이터베이스,3,3.0,전공선택,[   0 7920 7920    0    0    0    0],박수홍,절대평가, ,2.0,공간정보공학과-공간정보공학,"{'화': '4-336', '수': '4-336'}"
1788,GEO4010-001,GEO4010,1,공간정보종합설계,4,3.0,전공필수,[     0 516096      0      0      0      0      0],최광열,절대평가,선수,,기타-원어강의,{'화': '4-335'}
1789,GEO4212-001,GEO4212,1,지적측량,4,3.0,전공선택,[  0   0   0   0 126   0   0],이정빈,상대평가, ,2.0,공간정보공학과-공간정보공학,{'금': '4-320'}
