,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
78,ACE9501-004,ACE9501,4,다학년 연구프로젝트 1,전체,1.0,전공선택,[      0 1572864       0       0       0       0       0],김학일,절대평가,"영어,English",,기타-원어강의,{'화': '7-601'}
79,ACE9501-005,ACE9501,5,다학년 연구프로젝트 1,전체,1.0,전공선택,[      0 1572864       0       0       0       0       0],"정대용,이선곤",Pass/Fail, ,5.0,공과대학(FVE)-미래자동차공학,{'화': '60주년-612'}
83,ACE9503-004,ACE9503,4,다학년 연구프로젝트 3,전체,1.0,전공선택,[      0 1572864       0       0       0       0       0],김학일,절대평가,"영어,English",,기타-원어강의,{'화': '7-601'}
84,ACE9503-005,ACE9503,5,다학년 연구프로젝트 3,전체,1.0,전공선택,[      0 1572864       0       0       0       0       0],"정대용,이선곤",Pass/Fail, ,,공과대학(FVE)-미래자동차공학,{'화': '60주년-612'}
1255,FVE2005-001,FVE2005,1,친환경차시스템공학개론,전체,3.0,전공선택,[  0 112   0 112   0   0   0],남찬진,상대평가, ,5.0,공과대학(FVE)-미래자동차공학,"{'화': '60주년-710', '목': '60주년-710'}"
1256,FVE2007-001,FVE2007,1,Python프로그래밍,전체,3.0,전공선택,[30  0 30  0  0  0  0],류춘우,절대평가, ,4.08,공과대학(FVE)-미래자동차공학,"{'월': '5남240', '수': '5남240'}"
1257,FVE2010-001,FVE2010,1,미래자동차 디자인,전체,3.0,전공선택,[      0 4128768       0       0       0       0       0],최지은,절대평가, ,,공과대학(FVE)-미래자동차공학,{'화': '60주년-507'}
1258,FVE3002-001,FVE3002,1,자동제어,전체,3.0,전공선택,[126 126   0   0   0   0   0],김광기,상대평가,"영어,English",3.52,기타-원어강의,"{'월': '하-224', '화': '하-224'}"
1259,FVE3004-001,FVE3004,1,전자회로,전체,3.0,전공선택,[    0     0     0 57344    14     0     0],전재훈,상대평가, ,5.0,공과대학(FVE)-미래자동차공학,"{'목': '하-224', '금': '하-132'}"
1260,FVE3010-001,FVE3010,1,객체지향프로그래밍,전체,3.0,전공선택,[     0 122880      0      0    240      0      0],허혜선,절대평가, ,,공과대학(FVE)-미래자동차공학,"{'화': '하-228', '금': '6-326'}"
1261,FVE3010-003,FVE3010,3,객체지향프로그래밍,전체,3.0,전공선택,[480   0 480   0   0   0   0],류춘우,절대평가, ,5.0,공과대학(FVE)-미래자동차공학,"{'월': '5남240', '수': '5남240'}"
1262,FVE3011-001,FVE3011,1,자동차인공지능,전체,3.0,전공선택,[  0   0   0 510   0   0   0],최학남,절대평가, ,,공과대학(FVE)-미래자동차공학,{'목': '5남240'}
1263,FVE3015-001,FVE3015,1,마이크로프로세서응용,전체,3.0,전공선택,[    0     0     0 64512     0     0     0],류춘우,절대평가, ,,공과대학(FVE)-미래자동차공학,{'목': '7-601'}
