,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
940,EDC1100-001,EDC1100,1,교육철학및교육사,전체,2.0,교직과정,[   0    0    0 7680    0    0    0],정기섭,절대평가, 
941,EDC1100-002,EDC1100,2,교육철학및교육사,전체,2.0,교직과정,[30  0  0  0  0  0  0],윤혜성,절대평가, 
942,EDC1100-003,EDC1100,3,교육철학및교육사,전체,2.0,교직과정,[7680    0    0    0    0    0    0],윤혜성,절대평가, 
943,EDC1101-001,EDC1101,1,교육학개론,전체,2.0,교직과정,[122880      0      0      0      0      0      0],윤혜성,절대평가, 
944,EDC1101-002,EDC1101,2,교육학개론,전체,2.0,교직과정,[     0      0      0      0 122880      0      0],최종인,절대평가, 
945,EDC1104-001,EDC1104,1,교육심리,전체,2.0,교직과정,[   0    0 7680    0    0    0    0],정윤경,절대평가, 
946,EDC1104-002,EDC1104,2,교육심리,전체,2.0,교직과정,[  0 240   0   0   0   0   0],정윤경,절대평가, 
947,EDC1104-003,EDC1104,3,교육심리,전체,2.0,교직과정,[   0 7680    0    0    0    0    0],정윤경,절대평가, 
948,EDC1105-001,EDC1105,1,교육사회,전체,2.0,교직과정,[     0      0 122880      0      0      0      0],배을규,절대평가, 
949,EDC1105-002,EDC1105,2,교육사회,전체,2.0,교직과정,[240   0   0   0   0   0   0],박성희,절대평가, 
950,EDC1105-003,EDC1105,3,교육사회,전체,2.0,교직과정,[      0       0       0 7864320       0       0       0],강선희,절대평가, 
958,EDC2101-001,EDC2101,1,교육과정,전체,2.0,교직과정,[  0 240   0   0   0   0   0],조현영,절대평가, 
959,EDC2101-002,EDC2101,2,교육과정,전체,2.0,교직과정,[240   0   0   0   0   0   0],박진희,절대평가, 
960,EDC2103-001,EDC2103,1,교육방법 및 교육공학,전체,2.0,교직과정,[      0       0       0 7864320       0       0       0],홍영일,절대평가, 
961,EDC2103-002,EDC2103,2,교육방법 및 교육공학,전체,2.0,교직과정,[      0       0 7864320       0       0       0       0],홍영일,절대평가, 
962,EDC2107-001,EDC2107,1,특수교육학개론,전체,2.0,교직과정,[15360     0     0     0     0     0     0],민기연,절대평가, 
963,EDC2107-002,EDC2107,2,특수교육학개론,전체,2.0,교직과정,[  0 240   0   0   0   0   0],정귀순,절대평가, 
964,EDC2107-003,EDC2107,3,특수교육학개론,전체,2.0,교직과정,[    0 15360     0     0     0     0     0],정귀순,절대평가, 
965,EDC3102-002,EDC3102,2,교육평가,전체,2.0,교직과정,[  0 480   0   0   0   0   0],강혜영,절대평가, 
966,EDC3102-003,EDC3102,3,교육평가,전체,2.0,교직과정,[   0 7680    0    0    0    0    0],강혜영,절대평가, 
967,EDC3106-001,EDC3106,1,교육행정 및 교육경영,전체,2.0,교직과정,[7680    0    0    0    0    0    0],강경석,절대평가, 
968,EDC3106-002,EDC3106,2,교육행정 및 교육경영,전체,2.0,교직과정,[   0    0 7680    0    0    0    0],강경석,절대평가, 
969,EDC3106-003,EDC3106,3,교육행정 및 교육경영,전체,2.0,교직과정,[122880      0      0      0      0      0      0],고광혁,절대평가, 
970,EDC3106-004,EDC3106,4,교육행정 및 교육경영,전체,2.0,교직과정,[  0   0 480   0   0   0   0],강경석,절대평가, 
971,EDC3118-001,EDC3118,1,학생 생활지도 및 상담,4,2.0,교직과정,[7864320       0       0       0       0       0       0],전미경,절대평가, 
972,EDC3311-001,EDC3311,1,학교폭력예방 및 학생의 이해,전체,2.0,교직과정,[7680    0    0    0    0    0    0],정윤경,절대평가, 
973,EDC3311-002,EDC3311,2,학교폭력예방 및 학생의 이해,전체,2.0,교직과정,[     0      0 122880      0      0      0      0],지은,절대평가, 
974,EDC3311-003,EDC3311,3,학교폭력예방 및 학생의 이해,전체,2.0,교직과정,[   0    0    0 7680    0    0    0],김병준,절대평가, 
975,EDC3311-004,EDC3311,4,학교폭력예방 및 학생의 이해,전체,2.0,교직과정,[     0      0      0      0 122880      0      0],조상현,절대평가, 
