,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
918,ECO2201-001,ECO2201,1,미시경제학,2,3.0,전공필수,[    0 57344     0 57344     0     0     0],이명헌,상대평가, ,3.25,국제통상학과-국제통상학,"{'화': '6-522', '목': '6-522'}"
2009,INT1103-001,INT1103,1,무역학원론,1,3.0,전공선택,[       0 33030144        0        0        0        0        0],홍진영,상대평가, ,4.14,국제통상학과-국제통상학,{'화': '6-624'}
2010,INT1111-001,INT1111,1,경상수학,1,3.0,전공선택,[896   0 896   0   0   0   0],한민수,상대평가, ,4.0,국제통상학과-국제통상학,"{'월': '6-622', '수': '6-622'}"
2011,INT2039-001,INT2039,1,중국어독해연습 1,2,3.0,전공선택,[   0 7168    0 7168    0    0    0],김수진,절대평가, ,,국제통상학과-국제통상학,"{'화': '6-622', '목': '6-622'}"
2012,INT2049-001,INT2049,1,일본어독해연습 1,2,3.0,전공선택,[  0   0   0   0 126   0   0],박경희,절대평가,일본어，Japanese,,국제통상학과-국제통상학,{'금': '6-624'}
2016,INT2110-001,INT2110,1,Business English,2,3.0,전공선택,[458752      0 458752      0      0      0      0],브로케티,절대평가,English,4.37,기타-원어강의,"{'월': '6-622', '수': '6-622'}"
2017,INT2110-002,INT2110,2,Business English,2,3.0,전공선택,[    0 57344     0 57344     0     0     0],브로케티,절대평가,English,4.37,국제통상학과-국제통상학,"{'화': '6-622', '목': '6-622'}"
2018,INT2202-001,INT2202,1,국제상무론,2,3.0,전공선택,[126   0 126   0   0   0   0],박민규,상대평가, ,3.16,국제통상학과-국제통상학,"{'월': '6-624', '수': '6-624'}"
2019,INT2241-001,INT2241,1,국제통상의 이해,2,3.0,전공선택,[     0      0 516096      0      0      0      0],조정란,상대평가, ,4.27,국제통상학과-국제통상학,{'수': '6-624'}
2020,INT2241-002,INT2241,2,국제통상의 이해,2,3.0,전공선택,[     0      0      0 516096      0      0      0],조정란,상대평가, ,4.27,국제통상학과-국제통상학,{'목': '6-624'}
2021,INT2265-001,INT2265,1,관세법,2,3.0,전공선택,[126   0 126   0   0   0   0],박민규,상대평가, ,3.41,국제통상학과-국제통상학,"{'월': '6-624', '수': '6-624'}"
2022,INT2267-001,INT2267,1,e-비즈니스관리,2,3.0,전공선택,[     0      0 516096      0      0      0      0],최용록,상대평가, ,1.33,국제통상학과-국제통상학,{'수': '6-522'}
2023,INT2315-001,INT2315,1,무역관계법,2,3.0,전공선택,[57344     0 57344     0     0     0     0],박민규,상대평가, ,3.22,국제통상학과-국제통상학,"{'월': '6-622', '수': '6-622'}"
2024,INT2526-001,INT2526,1,일본사회와 문화,2,3.0,전공선택,[    0     0     0     0 64512     0     0],박경희,상대평가, ,4.15,국제통상학과-국제통상학,{'금': '6-624'}
2025,INT3055-001,INT3055,1,실용중국어 5,3,3.0,전공선택,[   0    0 8064    0 8064    0    0],김종현,절대평가, ,,국제통상학과-국제통상학,"{'수': '6-522', '금': '6-522'}"
2026,INT3211-001,INT3211,1,국제무역론,3,3.0,전공필수,[ 0 14  0 14  0  0  0],한민수,절대평가,영어，English,2.83,국제통상학과-국제통상학,"{'화': '6-622', '목': '6-622'}"
2027,INT3261-001,INT3261,1,무역전시산업론,4,3.0,전공선택,[  0   0   0 126   0   0   0],신한용,상대평가, ,3.68,국제통상학과-국제통상학,{'목': '6-624'}
2028,INT3316-001,INT3316,1,국제보험론,3,3.0,전공선택,[   0    0    0    0 8064    0    0],설두평,상대평가, ,3.5,국제통상학과-국제통상학,{'금': '6-622'}
2029,INT3429-001,INT3429,1,글로벌시장분석,3,3.0,전공선택,[126   0 126   0   0   0   0],이준엽,상대평가, ,3.67,국제통상학과-국제통상학,"{'월': '6-522', '수': '6-522'}"
2030,INT3601-001,INT3601,1,국제통상의 미래와 진로,4,2.0,전공선택,[   0 1536    0    0    0    0    1],"김웅희,김연준",Pass/Fail, ,5.0,국제통상학과-국제통상학,"{'셀': '웹강의', '화': '6-624'}"
2031,INT4120-001,INT4120,1,경제통합론,4,3.0,전공선택,[      0       0       0       0 4128768       0       0],박호신,상대평가, ,,국제통상학과-국제통상학,{'금': '6-624'}
2032,INT4132-001,INT4132,1,자원경제학,4,3.0,전공선택,[     0 458752      0 458752      0      0      0],이명헌,상대평가, ,2.57,국제통상학과-국제통상학,"{'화': '6-522', '목': '6-522'}"
2033,INT4217-001,INT4217,1,글로벌 E-Commerce의 이해와 실습,4,3.0,전공선택,[     0      0      0      0 516096      0      0],하동호,상대평가, ,4.07,국제통상학과-국제통상학,{'금': '60주년-108'}
2034,INT4244-001,INT4244,1,FTA원산지론,4,3.0,전공선택,[     0 516096      0      0      0      0      0],조정란,상대평가, ,4.35,국제통상학과-국제통상학,{'화': '6-624'}
2035,INT4432-001,INT4432,1,중국과 세계경제,4,3.0,전공선택,[126   0 126   0   0   0   0],이준엽,상대평가, ,,국제통상학과-국제통상학,"{'월': '6-522', '수': '6-522'}"
