,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
340,BUS3101-003,BUS3101,3,투자론,2,3.0,전공선택,[57344     0 57344     0     0     0     0],전성주,절대평가,"영어, English",4.29,기타-원어강의,"{'월': '6-624', '수': '6-626'}"
1792,GFB2101-003,GFB2101,3,미시경제,2,3.0,전공필수,[  0   0 126   0   0   0   0],최동걸,상대평가, ,,글로벌금융학과-글로벌금융학,{'수': '6-220'}
1794,GFB2103-001,GFB2103,1,비즈니스영어 1,2,3.0,전공필수,[112   0   0 112   0   0   0],존홀,상대평가,English,3.1,기타-원어강의,"{'월': '6-626', '목': '6-626'}"
1795,GFB2103-002,GFB2103,2,비즈니스영어 1,2,3.0,전공필수,[896   0   0 896   0   0   0],존홀,상대평가,English,3.1,글로벌금융학과-글로벌금융학,"{'월': '6-626', '목': '6-626'}"
1796,GFB2104-001,GFB2104,1,비즈니스영어 2,2,3.0,전공필수,[516096      0      0      0      0      0      0],존홀,상대평가,English,3.04,글로벌금융학과-글로벌금융학,{'월': '6-626'}
1797,GFB3101-001,GFB3101,1,금융실무영어,3,3.0,전공선택,[     0      0      0 516096      0      0      0],존홀,절대평가,English,4.41,글로벌금융학과-글로벌금융학,{'목': '6-626'}
1798,GFB3103-001,GFB3103,1,금융실무의 이해,3,3.0,전공선택,[       0        0        0 33030144        0        0        0],장환,상대평가, ,4.25,글로벌금융학과-글로벌금융학,{'목': '6-626'}
1799,GFB3104-001,GFB3104,1,금융세미나,3,3.0,전공선택,[   0 7168 7168    0    0    0    0],이민환,Pass/Fail, ,3.33,글로벌금융학과-글로벌금융학,"{'화': '6-626', '수': '6-626'}"
1800,GFB3201-001,GFB3201,1,파생상품,3,3.0,전공필수,[     0      0 516096      0      0      0      0],김성국,상대평가, ,1.0,글로벌금융학과-글로벌금융학,{'수': '60주년-509'}
1801,GFB3401-001,GFB3401,1,금융기관경영,3,3.0,전공선택,[ 0 14  0 14  0  0  0],이재형,절대평가,"영어,English",4.46,글로벌금융학과-글로벌금융학,"{'화': '60주년-509', '목': '60주년-509'}"
1802,GFB3403-001,GFB3403,1,화폐금융,3,3.0,전공선택,[458752      0 458752      0      0      0      0],전성주,절대평가,"영어,English",4.74,글로벌금융학과-글로벌금융학,"{'월': '6-624', '수': '6-626'}"
1803,GFB3404-001,GFB3404,1,주식 및 채권분석,3,3.0,전공선택,[      0 3670016 3670016       0       0       0       0],양진영,절대평가,"영어,English",4.5,기타-원어강의,"{'화': '6-626', '수': '6-626'}"
1804,GFB3405-001,GFB3405,1,국제금융,3,3.0,전공선택,[126   0 126   0   0   0   0],한재준,절대평가,"영어,English",5.0,기타-원어강의,"{'월': '6-626', '수': '6-626'}"
1805,GFB4103-001,GFB4103,1,재무금융 특강,4,3.0,전공선택,[516096      0      0      0      0      0      0],한동주,상대평가, ,5.0,글로벌금융학과-글로벌금융학,{'월': '6-522'}
1806,GFB4104-001,GFB4104,1,핀테크금융,4,3.0,전공선택,[     0      0      0 516096      0      0      0],장환,상대평가, ,4.2,글로벌금융학과-글로벌금융학,{'목': '60주년-507'}
1807,GFB4111-001,GFB4111,1,금융데이터로 본 금융시장의 이해,4,3.0,전공선택,[  0 112   0 112   0   0   0],이재형,절대평가, ,,글로벌금융학과-글로벌금융학,"{'화': '60주년-509', '목': '60주년-509'}"
1808,GFB4301-001,GFB4301,1,자산운용,4,3.0,전공선택,[     0 516096      0      0      0      0      0],윤여준,상대평가, ,4.57,글로벌금융학과-글로벌금융학,{'화': '6-626'}
