,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,department
245,BNF2201-001,BNF2201,1,금융시장론,2,3.0,전공필수,[      0       0       0       0       0 2064384       0],이기환,상대평가, ,금융투자학과-금융투자학
246,BNF2303-001,BNF2303,1,회계원론,2,3.0,전공필수,[    0     0     0     0     0 32256     0],강경이,절대평가, ,금융투자학과-금융투자학
247,BNF2303-002,BNF2303,2,회계원론,2,3.0,전공필수,[        0         0         0 132120576         0         0         0],강경이,절대평가, ,금융투자학과-금융투자학
248,BNF3101-001,BNF3101,1,기업재무론,3,3.0,전공선택,[        0         0         0 132120576         0         0         0],강재택,상대평가, ,금융투자학과-금융투자학
249,BNF3103-001,BNF3103,1,국제재무론,3,3.0,전공선택,[    0     0     0     0     0 32256     0],이기환,상대평가, ,금융투자학과-금융투자학
250,BNF3104-001,BNF3104,1,20대를 위한 증권투자론,전체,3.0,전공선택,[0 0 0 0 0 0 1],이기환,상대평가, ,기타-E-Learning
251,BNF3302-001,BNF3302,1,중급회계,3,3.0,전공선택,[      0       0       0       0       0 2064384       0],강경이,상대평가, ,금융투자학과-금융투자학
252,BNF3401-001,BNF3401,1,부동산금융의이해,3,3.0,전공선택,[  0   0   0   0   0 126   0],강상선,상대평가, ,금융투자학과-금융투자학
253,BNF4101-001,BNF4101,1,파생상품,4,3.0,전공선택,[        0 132120576         0         0         0         0         0],이기환,상대평가, ,금융투자학과-금융투자학
254,BNF4202-001,BNF4202,1,국제금융시장,4,3.0,전공선택,[    0     0     0     0     0 32256     0],강재택,상대평가, ,금융투자학과-금융투자학
255,BNF4304-001,BNF4304,1,회계정보처리론,4,3.0,전공선택,[  0   0   0   0   0 126   0],강경이,절대평가, ,금융투자학과-금융투자학
256,BNF4402-001,BNF4402,1,재테크설계,전체,3.0,전공선택,[0 0 0 0 0 0 1],이기환,상대평가, ,금융투자학과-금융투자학
257,BNF4501-001,BNF4501,1,서비스마케팅,4,3.0,전공선택,[      0       0       0       0       0 2064384       0],성준현,상대평가, ,금융투자학과-금융투자학
258,BNF9005-001,BNF9005,1,다학년 연구프로젝트 1,3,3.0,전공선택,[        0         0         0         0         0 132120576         0],이기환,Pass/Fail, ,금융투자학과-금융투자학
259,BNF9005-002,BNF9005,2,다학년 연구프로젝트 1,3,3.0,전공선택,[        0         0         0         0         0 132120576         0],강재택,Pass/Fail, ,금융투자학과-금융투자학
260,BNF9007-001,BNF9007,1,다학년 연구프로젝트 3,4,3.0,전공선택,[        0         0         0         0 132120576         0         0],이기환,Pass/Fail, ,금융투자학과-금융투자학
261,BNF9007-002,BNF9007,2,다학년 연구프로젝트 3,4,3.0,전공선택,[        0         0         0         0         0 132120576         0],강경이,Pass/Fail, ,금융투자학과-금융투자학
