,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2184,MEG2073-001,MEG2073,1,전기회로및실습,2,3.0,전공선택,[  983040        0 15728640        0        0        0        0],김진걸,절대평가, ,,기계공학과-기계공학,"{'월': '2북363A', '수': '2북378B'}"
2185,MEG2073-002,MEG2073,2,전기회로및실습,2,3.0,전공선택,[     0      0 983040 983040      0      0      0],김진걸,절대평가, ,,기계공학과-기계공학,"{'수': '2북364', '목': '2북378B'}"
2186,MEG2074-001,MEG2074,1,재료과학,2,3.0,전공선택,[  0 112   0 112   0   0   0],강태준,상대평가,선수,,기계공학과-기계공학,"{'화': '2북274', '목': '2북274'}"
2187,MEG2074-002,MEG2074,2,재료과학,2,3.0,전공선택,[     0 465920      0 465920      0      0      0],김성은,상대평가,선수,,기계공학과-기계공학,"{'화': '2북367', '목': '2북367'}"
2188,MEG2076-001,MEG2076,1,선형대수,2,3.0,전공선택,[     0 516096      0 516096      0      0      0],신현성,상대평가, ,,기계공학과-기계공학,"{'화': '2북274', '목': '2북274'}"
2189,MEG2076-002,MEG2076,2,선형대수,2,3.0,전공선택,[  0 896 896   0   0   0   0],노정훈,상대평가, ,,기계공학과-기계공학,"{'화': '2북364', '수': '2북364'}"
2190,MEG2101-001,MEG2101,1,재료역학 1,2,3.0,전공필수,[58240 58240     0     0     0     0     0],범현규,상대평가,선수,,기계공학과-기계공학,"{'월': '2북367', '화': '2북367'}"
2191,MEG2101-002,MEG2101,2,재료역학 1,2,3.0,전공필수,[58240 58240     0     0     0     0     0],범현규,상대평가,선수,,기계공학과-기계공학,"{'월': '2북367', '화': '2북367'}"
2192,MEG2101-003,MEG2101,3,재료역학 1,2,3.0,전공필수,[7168    0 7168    0    0    0    0],신현성,상대평가,선수,,기계공학과-기계공학,"{'월': '2북274', '수': '2북274'}"
2193,MEG2101-004,MEG2101,4,재료역학 1,2,3.0,전공필수,[     0 516096      0 516096      0      0      0],비벡쿠마르,절대평가,"English,선수",,기계공학과-기계공학,"{'화': '2북364', '목': '2북364'}"
2194,MEG2101-005,MEG2101,5,재료역학 1,2,3.0,전공필수,[   0 7280    0 7280    0    0    0],비벡쿠마르,절대평가,"English,선수",,기계공학과-기계공학,"{'화': '2북370', '목': '2북370'}"
2195,MEG2120-001,MEG2120,1,열역학 1,2,3.0,전공필수,[112   0 112   0   0   0   0],이창언,상대평가,선수,,기계공학과-기계공학,"{'월': '2북365', '수': '2북365'}"
2196,MEG2120-002,MEG2120,2,열역학 1,2,3.0,전공필수,[896   0 896   0   0   0   0],김동섭,상대평가,선수,,기계공학과-기계공학,"{'월': '2북274', '수': '2북274'}"
2197,MEG2120-003,MEG2120,3,열역학 1,2,3.0,전공필수,[112   0 112   0   0   0   0],주현철,상대평가,선수,,기계공학과-기계공학,"{'월': '2북274', '수': '2북274'}"
2198,MEG2120-004,MEG2120,4,열역학 1,2,3.0,전공필수,[    0 57344     0 57344     0     0     0],박일웅,상대평가,선수,,기계공학과-기계공학,"{'화': '2북370', '목': '2북370'}"
2199,MEG2160-001,MEG2160,1,동역학 1,2,3.0,전공필수,[7168    0 7168    0    0    0    0],윤상희,상대평가,선수,,기계공학과-기계공학,"{'월': '2북370', '수': '2북370'}"
2200,MEG2160-002,MEG2160,2,동역학 1,2,3.0,전공필수,[458752      0 458752      0      0      0      0],윤상희,상대평가,선수,,기계공학과-기계공학,"{'월': '2북370', '수': '2북370'}"
2201,MEG2160-003,MEG2160,3,동역학 1,2,3.0,전공필수,[   0 7182    0 7182    0    0    0],김호욱,상대평가,선수,,기계공학과-기계공학,"{'화': '2북367', '목': '2북367'}"
2202,MEG2160-004,MEG2160,4,동역학 1,2,3.0,전공필수,[     0  57344      0 458752      0      0      0],김호욱,상대평가,선수,,기계공학과-기계공학,"{'화': '2북274', '목': '2북370'}"
2203,MEG3013-001,MEG3013,1,전산제도,3,3.0,전공선택,[  0   0   0   0 510   0   0],황병복,절대평가,"영어,English,선수",,기계공학과-기계공학,{'금': '2북370'}
2204,MEG3013-002,MEG3013,2,전산제도,3,3.0,전공선택,[     0      0      0      0 261120      0      0],황병복,절대평가,"영어,English,선수",,기계공학과-기계공학,{'금': '2북370'}
2205,MEG3013-003,MEG3013,3,전산제도,3,3.0,전공선택,[  0   0   0 510   0   0   0],이선곤,절대평가,선수,,기계공학과-기계공학,{'목': '2북378A'}
2206,MEG3013-004,MEG3013,4,전산제도,3,3.0,전공선택,[  0   0   0   0 510   0   0],이선곤,절대평가,선수,,기계공학과-기계공학,{'금': '2북378A'}
2207,MEG3077-001,MEG3077,1,수치해석,3,3.0,전공선택,[896   0 896   0   0   0   0],이상승,절대평가,"영어,English,선수",,기계공학과-기계공학,"{'월': '2북370', '수': '2북370'}"
2208,MEG3077-002,MEG3077,2,수치해석,3,3.0,전공선택,[   0 1008    0 1008    0    0    0],박일웅,상대평가,선수,,기계공학과-기계공학,"{'화': '2북364', '목': '2북364'}"
2209,MEG3078-001,MEG3078,1,기계공학실험A,3,2.0,전공필수,[  0   0   0   0 510   0   0],유병훈,절대평가,선수,,기계공학과-기계공학,{'금': '2북378B'}
2210,MEG3078-002,MEG3078,2,기계공학실험A,3,2.0,전공필수,[     0      0      0      0 130560      0      0],김성은,절대평가,선수,,기계공학과-기계공학,{'금': '2북378B'}
2211,MEG3079-001,MEG3079,1,기계공학실험B,3,2.0,전공필수,[  0   0 510   0   0   0   0],정동수,절대평가,선수,,기계공학과-기계공학,{'수': '2북378B'}
2212,MEG3079-002,MEG3079,2,기계공학실험B,3,2.0,전공필수,[     0      0 130560      0      0      0      0],박일웅,절대평가,선수,,기계공학과-기계공학,{'수': '2북378B'}
2213,MEG3080-001,MEG3080,1,생산공정 및 3D프린팅 실험,3,1.0,전공필수,[ 0 30  0  0  0  0  0],이은상,절대평가,선수,,기계공학과-기계공학,{'화': '2북378B'}
2214,MEG3080-002,MEG3080,2,생산공정 및 3D프린팅 실험,3,1.0,전공필수,[ 0  0  0 30  0  0  0],이현택,절대평가,선수,,기계공학과-기계공학,{'목': '2북378B'}
2215,MEG3080-003,MEG3080,3,생산공정 및 3D프린팅 실험,3,1.0,전공필수,[  0   0   0 480   0   0   0],양현진,절대평가,선수,,기계공학과-기계공학,{'목': '2북378B'}
2216,MEG3104-001,MEG3104,1,기계요소설계,3,3.0,전공선택,[57344     0 57344     0     0     0     0],김재환,상대평가,선수,,기계공학과-기계공학,"{'월': '2북365', '수': '2북365'}"
2217,MEG3104-002,MEG3104,2,기계요소설계,3,3.0,전공선택,[   0 7182    0 7182    0    0    0],이철희,상대평가,선수,,기계공학과-기계공학,"{'화': '2북365', '목': '2북365'}"
2218,MEG3104-003,MEG3104,3,기계요소설계,3,3.0,전공선택,[     0      0      0      0 516096      0      0],이선곤,상대평가,선수,,기계공학과-기계공학,{'금': '2북367'}
2219,MEG3106-001,MEG3106,1,기계재료,3,3.0,전공선택,[7168    0 7168    0    0    0    0],이현택,상대평가,선수,,기계공학과-기계공학,"{'월': '2북365', '수': '2북365'}"
2220,MEG3110-001,MEG3110,1,기계공작법 1,3,3.0,전공선택,[57344 57344     0     0     0     0     0],이은상,상대평가,선수,,기계공학과-기계공학,"{'월': '2북364', '화': '2북364'}"
2221,MEG3110-002,MEG3110,2,기계공작법 1,3,3.0,전공선택,[   0 7182    0 7182    0    0    0],양현진,상대평가,선수,,기계공학과-기계공학,"{'화': '2북370', '목': '2북370'}"
2222,MEG3110-003,MEG3110,3,기계공작법 1,3,3.0,전공선택,[   0 1008    0 1008    0    0    0],유병훈,상대평가,선수,,기계공학과-기계공학,"{'화': '2북367', '목': '2북367'}"
2223,MEG3116-001,MEG3116,1,기구학,3,3.0,전공선택,[458752      0 458752      0      0      0      0],이현택,상대평가, ,,기계공학과-기계공학,"{'월': '2북365', '수': '2북365'}"
2224,MEG3123-001,MEG3123,1,파워트레인공학,3,3.0,전공선택,[   0 1008    0 1008    0    0    0],이대엽,상대평가, ,,기계공학과-기계공학,"{'화': '2북365', '목': '2북365'}"
2225,MEG3151-001,MEG3151,1,유체역학 2,3,3.0,전공선택,[126   0 126   0   0   0   0],이승배,상대평가,선수,,기계공학과-기계공학,"{'월': '2북364', '수': '2북364'}"
2226,MEG3151-002,MEG3151,2,유체역학 2,3,3.0,전공선택,[112   0 112   0   0   0   0],김선민,상대평가,선수,,기계공학과-기계공학,"{'월': '2북370', '수': '2북370'}"
2227,MEG3151-003,MEG3151,3,유체역학 2,3,3.0,전공선택,[     0      0 516096      0      0      0      0],이경은,상대평가,선수,,기계공학과-기계공학,{'수': '2북367'}
2228,MEG3162-001,MEG3162,1,동역학 2,3,3.0,전공선택,[  0   0   0   0 126   0   0],이우식,상대평가,선수,,기계공학과-기계공학,{'금': '2북364'}
2229,MEG3165-001,MEG3165,1,자동제어,3,3.0,전공선택,[126   0 126   0   0   0   0],김기우,상대평가,선수,,기계공학과-기계공학,"{'월': '2북367', '수': '2북367'}"
2230,MEG3165-002,MEG3165,2,자동제어,3,3.0,전공선택,[57344     0 57344     0     0     0     0],김기우,상대평가,선수,,기계공학과-기계공학,"{'월': '2북370', '수': '2북370'}"
2231,MEG3175-001,MEG3175,1,확률및통계,3,3.0,전공선택,[  0   0   0 126   0   0   0],엄태원,상대평가, ,,기계공학과-기계공학,{'목': '2북367'}
2232,MEG3175-002,MEG3175,2,확률및통계,3,3.0,전공선택,[  0   0   0   0 126   0   0],엄태원,상대평가, ,,기계공학과-기계공학,{'금': '2북274'}
2233,MEG3175-003,MEG3175,3,확률및통계,3,3.0,전공선택,[    0     0     0     0 64512     0     0],엄태원,상대평가, ,,기계공학과-기계공학,{'금': '2북364'}
2234,MEG3185-001,MEG3185,1,기계공학일반설계 1,3,3.0,전공선택,[  0   0   0   0 126   0   0],정동수,절대평가,"영어,English,선수",,기계공학과-기계공학,{'금': '2북374A'}
2235,MEG3185-002,MEG3185,2,기계공학일반설계 1,3,3.0,전공선택,[       0        0 33030144        0        0        0        0],주현철,상대평가,선수,,기계공학과-기계공학,{'수': '2북378A'}
2236,MEG3211-001,MEG3211,1,기계공작법 2,3,3.0,전공선택,[7168    0 7168    0    0    0    0],유병훈,상대평가, ,,기계공학과-기계공학,"{'월': '2북367', '수': '2북367'}"
2237,MEG4080-001,MEG4080,1,기계공학종합설계,4,3.0,전공필수,[       0        0        0        0 33030144        0        0],"김동섭,김선민,이상승,김호욱",Pass/Fail,선수,,기계공학과-기계공학,{'금': '2북365'}
2238,MEG4080-002,MEG4080,2,기계공학종합설계,4,3.0,전공필수,[       0        0 33030144        0        0        0        0],조종두,Pass/Fail,선수,,기계공학과-기계공학,{'수': '2북367'}
2239,MEG4080-003,MEG4080,3,기계공학종합설계,4,3.0,전공필수,[       0 33030144        0        0        0        0        0],이철희,Pass/Fail,선수,,기계공학과-기계공학,{'화': '2북365'}
2240,MEG4080-004,MEG4080,4,기계공학종합설계,4,3.0,전공필수,[       0 33030144        0        0        0        0        0],김홍근,Pass/Fail,선수,,기계공학과-기계공학,{'화': '2북367'}
2241,MEG4080-005,MEG4080,5,기계공학종합설계,4,3.0,전공필수,[       0        0        0 33030144        0        0        0],박일웅,Pass/Fail,선수,,기계공학과-기계공학,{'목': '2북367'}
2242,MEG4080-006,MEG4080,6,기계공학종합설계,4,3.0,전공필수,[       0 33030144        0        0        0        0        0],이상권,Pass/Fail,선수,,기계공학과-기계공학,{'화': '2북364'}
2243,MEG4103-001,MEG4103,1,구조역학,4,3.0,전공선택,[  0   0 112   0 112   0   0],조종두,상대평가,선수,,기계공학과-기계공학,"{'수': '2북367', '금': '2북367'}"
2244,MEG4104-001,MEG4104,1,초소형기계시스템,4,3.0,전공선택,[   0 7168    0 7168    0    0    0],강태준,상대평가, ,,기계공학과-기계공학,"{'화': '2북274', '목': '2북274'}"
2245,MEG4112-001,MEG4112,1,CAD/CAM,4,3.0,전공선택,[     0 516096      0      0      0      0      0],이철희,Pass/Fail,선수,,기계공학과-기계공학,{'화': '2북378A'}
2246,MEG4112-002,MEG4112,2,CAD/CAM,4,3.0,전공선택,[516096      0      0      0      0      0      0],이광희,Pass/Fail,선수,,기계공학과-기계공학,{'월': '2북378A'}
2247,MEG4129-001,MEG4129,1,발전플랜트 공학,4,3.0,전공선택,[57344     0 57344     0     0     0     0],김동섭,상대평가,선수,,기계공학과-기계공학,"{'월': '2북274', '수': '2북274'}"
2248,MEG4153-001,MEG4153,1,유압공학,4,3.0,전공선택,[7280    0    0 7280    0    0    0],이승배,상대평가,선수,,기계공학과-기계공학,"{'월': '2북364', '목': '2북364'}"
2249,MEG4161-001,MEG4161,1,선형시스템,4,3.0,전공선택,[896   0   0  14   0   0   0],김호욱,절대평가,"영어,English,선수",,기계공학과-기계공학,"{'월': '2북365', '목': '2북370'}"
2250,MEG4183-001,MEG4183,1,기계공학특수연구 1,4,3.0,전공선택,[   0    0    0    0 8064    0    0],김동섭,Pass/Fail,선수,,기계공학과-기계공학,{'금': '2북274'}
2251,MEG4183-002,MEG4183,2,기계공학특수연구 1,4,3.0,전공선택,[    0 57344     0 57344     0     0     0],"양현진,유병훈",Pass/Fail,선수,,기계공학과-기계공학,"{'화': '2북365', '목': '2북365'}"
2252,MEG4254-001,MEG4254,1,전산유체공학,4,3.0,전공선택,[516096      0      0      0      0      0      0],이경은,절대평가,"영어, English,선수",,기계공학과-기계공학,{'월': '2북374A'}
