,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
466,CDN1001-001,CDN1001,1,H.O.S.T. 미디어랩 1,전체,1.0,전공선택,[384   0   0   0   0   0   0],강희라,Pass/Fail,PS 교과목,,디자인융합학과-디자인융합학,{'월': '서-121'}
467,CDN1001-002,CDN1001,2,H.O.S.T. 미디어랩 1,전체,1.0,전공선택,[  0   0 384   0   0   0   0],조영민,Pass/Fail,PS 교과목,5.0,디자인융합학과-디자인융합학,{'수': '서-121'}
468,CDN1001-003,CDN1001,3,H.O.S.T. 미디어랩 1,전체,1.0,전공선택,[     0      0      0 393216      0      0      0],심윤선,Pass/Fail,PS 교과목,5.0,디자인융합학과-디자인융합학,{'목': '서-114'}
469,CDN1003-001,CDN1003,1,H.O.S.T. 미디어랩 3,전체,1.0,전공선택,[  0   0   0   0 384   0   0],성상희,Pass/Fail,PS 교과목,4.0,디자인융합학과-디자인융합학,{'금': '서-110'}
470,CDN1003-002,CDN1003,2,H.O.S.T. 미디어랩 3,전체,1.0,전공선택,[   0    0    0    0 1536    0    0],성상희,Pass/Fail,PS 교과목,4.0,디자인융합학과-디자인융합학,{'금': '서-110'}
471,CDN1003-003,CDN1003,3,H.O.S.T. 미디어랩 3,전체,1.0,전공선택,[   0    0    0    0 6144    0    0],성상희,Pass/Fail,PS 교과목,4.0,디자인융합학과-디자인융합학,{'금': '서-110'}
472,CDN1310-001,CDN1310,1,디자인의 원리,1,3.0,전공선택,[    0 64512     0     0     0     0     0],김선미,절대평가,(초빙교수)특수교과목,3.06,디자인융합학과-디자인융합학,{'화': '서-110'}
473,CDN1310-002,CDN1310,2,디자인의 원리,1,3.0,전공선택,[      0 4128768       0       0       0       0       0],김선미,절대평가,(초빙교수)특수교과목,3.06,디자인융합학과-디자인융합학,{'화': '서-110'}
474,CDN1310-003,CDN1310,3,디자인의 원리,1,3.0,전공선택,[    0     0     0 64512     0     0     0],김선미,절대평가,(초빙교수)특수교과목,3.06,디자인융합학과-디자인융합학,{'목': '서-116'}
475,CDN1310-004,CDN1310,4,디자인의 원리,1,3.0,전공선택,[      0       0       0 4128768       0       0       0],김선미,절대평가,(초빙교수)특수교과목,3.06,디자인융합학과-디자인융합학,{'목': '서-116'}
476,CDN1320-001,CDN1320,1,사진과영상,1,3.0,전공선택,[   0 1008    0    0    0    0    0],이승언,절대평가, ,2.0,디자인융합학과-디자인융합학,{'화': '서-116'}
477,CDN1320-002,CDN1320,2,사진과영상,1,3.0,전공선택,[      0 4128768       0       0       0       0       0],이승언,절대평가, ,2.0,디자인융합학과-디자인융합학,{'화': '서-116'}
478,CDN1320-003,CDN1320,3,사진과영상,1,3.0,전공선택,[4128768       0       0       0       0       0       0],한수지,절대평가, ,,디자인융합학과-디자인융합학,{'월': '서-116'}
480,CDN2111-002,CDN2111,2,스마트Eco디자인,2,3.0,전공선택,[64512     0     0     0     0     0     0],심윤선,절대평가, ,3.0,디자인융합학과-디자인융합학,{'월': '서-114'}
481,CDN2111-003,CDN2111,3,스마트Eco디자인,2,3.0,전공선택,[    0     0     0 64512     0     0     0],심윤선,절대평가, ,3.0,디자인융합학과-디자인융합학,{'목': '서-114'}
482,CDN2126-001,CDN2126,1,디자인세미나,2,3.0,전공선택,[112   0 112   0   0   0   0],강현주,상대평가, ,4.33,디자인융합학과-디자인융합학,"{'월': '서-110', '수': '서-110'}"
483,CDN2126-002,CDN2126,2,디자인세미나,2,3.0,전공선택,[   0 7168    0    0 7168    0    0],김나운,상대평가, ,5.0,디자인융합학과-디자인융합학,"{'화': '서-116', '금': '서-116'}"
484,CDN2126-003,CDN2126,3,디자인세미나,2,3.0,전공선택,[   0    0    0    0 1008    0    0],김나운,상대평가, ,5.0,디자인융합학과-디자인융합학,{'금': '서-116'}
485,CDN2220-001,CDN2220,1,캐릭터디자인,2,3.0,전공선택,[    0     0     0 64512     0     0     0],주마나몽,절대평가, ,3.5,디자인융합학과-디자인융합학,{'목': '서-122'}
486,CDN2220-002,CDN2220,2,캐릭터디자인,2,3.0,전공선택,[      0       0       0 4128768       0       0       0],주마나몽,절대평가, ,3.5,디자인융합학과-디자인융합학,{'목': '서-122'}
489,CDN2314-001,CDN2314,1,타이포그래피,2,3.0,전공선택,[64512     0     0     0     0     0     0],김수정,절대평가, ,4.3,디자인융합학과-디자인융합학,{'월': '서-110'}
490,CDN2314-002,CDN2314,2,타이포그래피,2,3.0,전공선택,[4128768       0       0       0       0       0       0],김수정,절대평가, ,4.3,디자인융합학과-디자인융합학,{'월': '서-110'}
491,CDN2314-003,CDN2314,3,타이포그래피,2,3.0,전공선택,[    0     0 64512     0     0     0     0],김진희,절대평가, ,,디자인융합학과-디자인융합학,{'수': '서-110'}
492,CDN2314-004,CDN2314,4,타이포그래피,2,3.0,전공선택,[      0       0 4128768       0       0       0       0],김진희,절대평가, ,,디자인융합학과-디자인융합학,{'수': '서-110'}
493,CDN2501-001,CDN2501,1,AR/VR 디자인,3,3.0,전공선택,[  0   0   0   0 126   0   0],박조이,절대평가, ,,디자인융합학과-디자인융합학,{'금': '서-122'}
494,CDN2501-002,CDN2501,2,AR/VR 디자인,3,3.0,전공선택,[    0     0     0     0 64512     0     0],박조이,절대평가, ,,디자인융합학과-디자인융합학,{'금': '서-122'}
495,CDN3115-001,CDN3115,1,지역사회와디자인,3,3.0,전공필수,[  0 126   0   0   0   0   0],진나래,절대평가, ,2.31,디자인융합학과-디자인융합학,{'화': '서-114'}
496,CDN3115-002,CDN3115,2,지역사회와디자인,3,3.0,전공필수,[    0 64512     0     0     0     0     0],진나래,절대평가, ,2.31,디자인융합학과-디자인융합학,{'화': '서-114'}
497,CDN3115-003,CDN3115,3,지역사회와디자인,3,3.0,전공필수,[      0 4128768       0       0       0       0       0],진나래,절대평가, ,2.31,디자인융합학과-디자인융합학,{'화': '서-114'}
498,CDN3253-002,CDN3253,2,엔터테인먼트영상디자인,3,3.0,전공선택,[    0 64512     0     0     0     0     0],이수정,절대평가, ,,디자인융합학과-디자인융합학,{'화': '서-122'}
499,CDN3311-002,CDN3311,2,라이프시스템디자인,3,3.0,전공선택,[     0      0 516096      0      0      0      0],심윤선,절대평가, ,4.17,디자인융합학과-디자인융합학,{'수': '서-122'}
500,CDN3318-001,CDN3318,1,아이덴티티디자인,3,3.0,전공선택,[   0    0 8064    0    0    0    0],성상희,절대평가, ,3.67,디자인융합학과-디자인융합학,{'수': '서-116'}
501,CDN3318-002,CDN3318,2,아이덴티티디자인,3,3.0,전공선택,[     0      0 516096      0      0      0      0],성상희,절대평가, ,3.67,디자인융합학과-디자인융합학,{'수': '서-116'}
502,CDN3322-002,CDN3322,2,디자인프로그래밍,3,3.0,전공선택,[   0 8064    0    0    0    0    0],강희라,절대평가, ,4.29,디자인융합학과-디자인융합학,{'화': '서-121'}
503,CDN3329-001,CDN3329,1,UI 디자인,3,3.0,전공선택,[64512     0     0     0     0     0     0],김민영,절대평가, ,,디자인융합학과-디자인융합학,{'월': '서-122'}
504,CDN3329-002,CDN3329,2,UI 디자인,3,3.0,전공선택,[4128768       0       0       0       0       0       0],김민영,절대평가, ,,디자인융합학과-디자인융합학,{'월': '서-122'}
505,CDN3331-001,CDN3331,1,퍼블릭케이션 디자인,3,3.0,전공선택,[  0   0 126   0   0   0   0],권기홍,절대평가, ,4.4,디자인융합학과-디자인융합학,{'수': '서-114'}
506,CDN3331-002,CDN3331,2,퍼블릭케이션 디자인,3,3.0,전공선택,[   0    0 8064    0    0    0    0],권기홍,절대평가, ,4.4,디자인융합학과-디자인융합학,{'수': '서-114'}
507,CDN4347-001,CDN4347,1,그래픽프로젝트,4,3.0,전공선택,[  0   0   0 126   0   0   0],조영민,Pass/Fail, ,,디자인융합학과-디자인융합학,{'목': '서-110'}
508,CDN4347-002,CDN4347,2,그래픽프로젝트,4,3.0,전공선택,[    0     0     0 64512     0     0     0],조영민,Pass/Fail, ,,디자인융합학과-디자인융합학,{'목': '서-110'}
509,CDN4347-003,CDN4347,3,그래픽프로젝트,4,3.0,전공선택,[      0       0       0 4128768       0       0       0],조영민,Pass/Fail, ,,디자인융합학과-디자인융합학,{'목': '서-110'}
510,CDN4356-001,CDN4356,1,미디어콘텐츠프로젝트,4,3.0,전공선택,[126   0   0   0   0   0   0],강희라,Pass/Fail, ,,디자인융합학과-디자인융합학,{'월': '서-121'}
511,CDN4356-002,CDN4356,2,미디어콘텐츠프로젝트,4,3.0,전공선택,[64512     0     0     0     0     0     0],강희라,Pass/Fail, ,,디자인융합학과-디자인융합학,{'월': '서-121'}
512,CDN4356-003,CDN4356,3,미디어콘텐츠프로젝트,4,3.0,전공선택,[4128768       0       0       0       0       0       0],심윤선,Pass/Fail, ,,디자인융합학과-디자인융합학,{'월': '서-114'}
