,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2162,MCT2101-001,MCT2101,1,정역학,2,3.0,전공필수,[  0   0   0   0   0 126   0],최종호,상대평가, ,5.0,메카트로닉스공학과-메카트로닉스공학,{'토': '6-426'}
2163,MCT2103-001,MCT2103,1,CAD/CAM,2,3.0,전공필수,[        0 132120576         0         0         0         0         0],최종호,절대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'화': '60주년-809'}
2164,MCT2103-002,MCT2103,2,CAD/CAM,2,3.0,전공필수,[        0         0 132120576         0         0         0         0],최종호,절대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'수': '60주년-809'}
2165,MCT2601-001,MCT2601,1,회로이론,2,3.0,전공필수,[      0       0       0       0       0 2064384       0],정건옥,상대평가, ,3.75,메카트로닉스공학과-메카트로닉스공학,{'토': '6-426'}
2166,MCT3101-001,MCT3101,1,동역학,3,3.0,전공선택,[    0     0     0     0     0 32256     0],최종호,상대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'토': '9-203'}
2167,MCT3107-001,MCT3107,1,기구학,4,3.0,전공선택,[  0   0   0   0   0 126   0],정달도,상대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'토': 'M-301'}
2168,MCT3302-001,MCT3302,1,전산기계해석공학,3,3.0,전공선택,[        0         0         0 132120576         0         0         0],최종호,절대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'목': '6-326'}
2169,MCT3605-001,MCT3605,1,임베디드시스템응용,3,3.0,전공선택,[        0 132120576         0         0         0         0         0],정건옥,절대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'화': 'M-203'}
2170,MCT3605-002,MCT3605,2,임베디드시스템응용,3,3.0,전공선택,[        0         0 132120576         0         0         0         0],정건옥,절대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'수': 'M-203'}
2171,MCT3606-001,MCT3606,1,액츄에이터개론,3,3.0,전공선택,[      0       0       0       0       0 2064384       0],이우형,상대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'토': '9-203'}
2172,MCT4102-001,MCT4102,1,자동제어,3,3.0,전공선택,[  0   0   0   0   0 126   0],서정민,상대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'토': 'M-205'}
2173,MCT4103-001,MCT4103,1,전기기기,4,3.0,전공선택,[    0     0     0     0     0 32256     0],서정민,상대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'토': 'M-205'}
2174,MCT4107-001,MCT4107,1,센서및계측공학,4,3.0,전공선택,[        0         0 132120576         0         0         0         0],정달도,상대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'수': 'M-205'}
2175,MCT4108-001,MCT4108,1,메카트로닉스 시스템설계,4,3.0,전공선택,[      0       0       0       0       0 2064384       0],최종호,상대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'토': '6-326'}
2176,MCT4605-001,MCT4605,1,펌웨어개발,4,3.0,전공선택,[        0         0         0 132120576         0         0         0],이우형,절대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'목': 'M-203'}
2177,MCT4605-002,MCT4605,2,펌웨어개발,4,3.0,전공선택,[        0         0         0         0 132120576         0         0],이우형,절대평가, ,,메카트로닉스공학과-메카트로닉스공학,{'금': 'M-203'}
2178,MCT9003-001,MCT9003,1,공학프로젝트 3,4,3.0,전공선택,[        0         0         0         0         0 132120576         0],정건옥,Pass/Fail, ,,메카트로닉스공학과-메카트로닉스공학,{'토': 'M-301'}
2179,MCT9003-002,MCT9003,2,공학프로젝트 3,4,3.0,전공선택,[        0         0         0         0         0 132120576         0],이우형,Pass/Fail, ,,메카트로닉스공학과-메카트로닉스공학,{'토': 'M-306'}
2180,MCT9003-003,MCT9003,3,공학프로젝트 3,4,3.0,전공선택,[        0         0         0         0         0 132120576         0],최종호,Pass/Fail, ,,메카트로닉스공학과-메카트로닉스공학,{'토': '9-303'}
2181,MCT9005-001,MCT9005,1,공학프로젝트 1,3,3.0,전공선택,[132120576         0         0         0         0         0         0],정건옥,Pass/Fail, ,,메카트로닉스공학과-메카트로닉스공학,{'월': 'M-203'}
2182,MCT9005-002,MCT9005,2,공학프로젝트 1,3,3.0,전공선택,[132120576         0         0         0         0         0         0],이우형,Pass/Fail, ,,메카트로닉스공학과-메카트로닉스공학,{'월': 'M-205'}
2183,MCT9005-003,MCT9005,3,공학프로젝트 1,3,3.0,전공선택,[132120576         0         0         0         0         0         0],최종호,Pass/Fail, ,,메카트로닉스공학과-메카트로닉스공학,{'월': 'M-301'}
