,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
434,CCM1213-001,CCM1213,1,플롯유형론,2,3.0,전공선택,[112   0 112   0   0   0   0],김만수,상대평가, ,3.68,문화콘텐츠문화경영학과-문화콘텐츠문화경영학,"{'월': '5남533', '수': '5남533'}"
435,CCM1213-002,CCM1213,2,플롯유형론,2,3.0,전공선택,[7168    0 7168    0    0    0    0],김만수,상대평가, ,3.68,문화콘텐츠문화경영학과-문화콘텐츠문화경영학,"{'월': '5남533', '수': '5남533'}"
436,CCM1214-001,CCM1214,1,테크놀로지와 문화예술,2,3.0,전공선택,[     0      0 516096      0      0      0      0],윤나라,절대평가, ,5.0,문화콘텐츠문화경영학과-문화콘텐츠문화경영학,{'수': '5남532'}
437,CCM1315-001,CCM1315,1,만화와 문학,3,3.0,전공선택,[112 112   0   0   0   0   0],김세리,상대평가, ,4.53,문화콘텐츠문화경영학과-문화콘텐츠문화경영학,"{'월': '5남505', '화': '5남505'}"
438,CCM1316-001,CCM1316,1,문화 기호와 상상력,3,3.0,전공선택,[112   0   0 112   0   0   0],이수진,상대평가, ,3.94,문화콘텐츠문화경영학과-문화콘텐츠문화경영학,"{'월': '5남535', '목': '5남535'}"
439,CCM1417-001,CCM1417,1,신화와 문화콘텐츠,4,3.0,전공선택,[  0 112   0 112   0   0   0],강수환,상대평가, ,4.4,문화콘텐츠문화경영학과-문화콘텐츠문화경영학,"{'화': '5남532', '목': '5남532'}"
440,CCM1417-002,CCM1417,2,신화와 문화콘텐츠,4,3.0,전공선택,[   0 7168    0 7168    0    0    0],강수환,상대평가, ,4.4,문화콘텐츠문화경영학과-문화콘텐츠문화경영학,"{'화': '5남532', '목': '5남532'}"
441,CCM1419-001,CCM1419,1,디지털 시대의 문화예술,4,3.0,전공선택,[     0 516096      0      0      0      0      0],윤나라,상대평가, ,3.67,문화콘텐츠문화경영학과-문화콘텐츠문화경영학,{'화': '5남532'}
442,CCM2111-001,CCM2111,1,문화답사 기획실습,1,3.0,전공필수,[     0 516096      0      0      0      0      0],이수진,Pass/Fail, ,,문화콘텐츠문화경영학과-문화콘텐츠문화경영학,{'화': '5남535'}
443,CCM2111-002,CCM2111,2,문화답사 기획실습,1,3.0,전공필수,[     0 516096      0      0      0      0      0],육상효,Pass/Fail, ,,문화콘텐츠문화경영학과-문화콘텐츠문화경영학,{'화': '5남331'}
