,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2592,PHY2001-001,PHY2001,1,고전역학 1,2,3.0,전공필수,[   0 1008    0 1008    0    0    0],허남정,상대평가, ,4.0,물리학과-물리학,"{'화': '5동408', '목': '5동408'}"
2593,PHY2012-001,PHY2012,1,전자기학 2,2,3.0,전공필수,[58240 58240     0     0     0     0     0],유석재,상대평가, ,2.5,물리학과-물리학,"{'월': '5동207A', '화': '5동207A'}"
2594,PHY2017-001,PHY2017,1,전자물리학,2,3.0,전공선택,[   0 7168    0 7168    0    0    0],정종훈,상대평가, ,,물리학과-물리학,"{'화': '5동207A', '목': '5동207A'}"
2595,PHY2051-001,PHY2051,1,현대물리학,2,3.0,전공선택,[     0 459648 459648      0      0      0      0],유석재,상대평가, ,5.0,물리학과-물리학,"{'화': '5동207A', '수': '5동207A'}"
2596,PHY2100-001,PHY2100,1,기하광학,3,3.0,전공선택,[58240     0     0 58240     0     0     0],류한열,상대평가, ,,물리학과-물리학,"{'월': '5동207A', '목': '5동207A'}"
2597,PHY2204-001,PHY2204,1,수리물리학 1,2,3.0,전공필수,[  0 112   0   0 112   0   0],최민석,상대평가, ,,물리학과-물리학,"{'화': '5동207B', '금': '5동207B'}"
2598,PHY2501-001,PHY2501,1,전자물리실험,2,1.0,전공필수,[    0     0 15360     0     0     0     0],정종훈,절대평가, ,1.0,물리학과-물리학,{'수': '5동316B'}
2599,PHY2501-002,PHY2501,2,전자물리실험,2,1.0,전공필수,[     0      0 983040      0      0      0      0],정종훈,절대평가, ,1.0,물리학과-물리학,{'수': '5동316B'}
2600,PHY2520-001,PHY2520,1,현대물리실험,2,1.0,전공필수,[15360     0     0     0     0     0     0],유석재,절대평가, ,,물리학과-물리학,{'월': '5동311'}
2601,PHY2520-002,PHY2520,2,현대물리실험,2,1.0,전공필수,[983040      0      0      0      0      0      0],유석재,절대평가, ,,물리학과-물리학,{'월': '5동311'}
2602,PHY3021-001,PHY3021,1,양자물리학 1,3,3.0,전공필수,[7168 7168    0    0    0    0    0],이병찬,상대평가, ,5.0,물리학과-물리학,"{'월': '5동405', '화': '5동405'}"
2603,PHY3031-001,PHY3031,1,열 및 통계역학 1,3,3.0,전공필수,[ 112    0 7168    0    0    0    0],박혜진,상대평가, ,5.0,물리학과-물리학,"{'월': '5동207A', '수': '5동207B'}"
2604,PHY3312-001,PHY3312,1,레이저 및 양자광학,3,3.0,전공선택,[   0 1008    0    0 1008    0    0],노재우,상대평가, ,4.75,물리학과-물리학,"{'화': '5동207A', '금': '5동207A'}"
2605,PHY3401-001,PHY3401,1,신소재물리학,3,3.0,전공선택,[   0 1008    0 1008    0    0    0],허윤,상대평가, ,,물리학과-물리학,"{'화': '5동207B', '목': '5동207B'}"
2606,PHY3514-001,PHY3514,1,광학실험,3,2.0,전공필수,[      0       0 2088960       0       0       0       0],류한열,절대평가, ,2.33,물리학과-물리학,{'수': '5동311'}
2607,PHY3514-002,PHY3514,2,광학실험,3,2.0,전공필수,[     0      0      0      0 261120      0      0],류한열,절대평가, ,2.33,물리학과-물리학,{'금': '5동311'}
2608,PHY4236-001,PHY4236,1,빅데이터 물리학 및 실습,4,3.0,전공선택,[  7168      0 516096      0      0      0      0],이재우,절대평가,"영어, English",,물리학과-물리학,"{'월': '5동116A', '수': '5남238'}"
2609,PHY4404-001,PHY4404,1,반도체물리학,4,3.0,전공선택,[   0 7168    0 7168    0    0    0],이근섭,절대평가,"영어, English",3.83,물리학과-물리학,"{'화': '5동207B', '목': '5동207B'}"
2610,PHY4501-001,PHY4501,1,핵물리학,4,3.0,전공선택,[    0 58240     0 58240     0     0     0],울룩백약시,절대평가,English,4.0,물리학과-물리학,"{'화': '5동207B', '목': '5동207B'}"
2611,PHY4822-001,PHY4822,1,물리학 종합설계,3,3.0,전공필수,[     0 458752      0 458752      0      0      0],이민백,상대평가, ,,물리학과-물리학,"{'화': '5동408', '목': '5동408'}"
