,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,department
710,COM1100-001,COM1100,1,커뮤니케이션학개론,전체,3.0,전공필수,[   0    0    0    0 8064    0    0],성지연,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
711,COM1100-002,COM1100,2,커뮤니케이션학개론,전체,3.0,전공필수,[     0      0 516096      0      0      0      0],김수연,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
712,COM2200-001,COM2200,1,저널리즘개론,전체,3.0,전공필수,[     0      0      0      0 516096      0      0],성지연,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
713,COM2300-001,COM2300,1,방송학개론,전체,3.0,전공필수,[  0   0   0   0 126   0   0],김승월,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
714,COM2300-002,COM2300,2,방송학개론,전체,3.0,전공필수,[     0      0      0      0 516096      0      0],심용운,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
715,COM2351-001,COM2351,1,영상기획,2,3.0,전공선택,[   0 7168    0 7168    0    0    0],박인규,절대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
716,COM2400-001,COM2400,1,광고학개론,전체,3.0,전공필수,[   0    0    0 7168   14    0    0],문성준,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
717,COM2400-002,COM2400,2,광고학개론,전체,3.0,전공필수,[  0 126   0   0   0   0   0],박재항,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
718,COM2432-001,COM2432,1,PR론,전체,3.0,전공선택,[  0   0   0 126   0   0   0],홍순언,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
719,COM2432-002,COM2432,2,PR론,전체,3.0,전공선택,[     0      0      0 516096      0      0      0],홍순언,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
720,COM3104-001,COM3104,1,디지털저널리즘제작,전체,3.0,전공선택,[   0 8064    0    0    0    0    0],김수연,절대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
721,COM3222-001,COM3222,1,미디어와 문화정책,전체,3.0,전공선택,[   0    0    0    0 8064    0    0],김지연,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
722,COM3233-001,COM3233,1,글로벌 리더십 커뮤니케이션,전체,3.0,전공선택,[  0   0   0   0 126   0   0],심민선,절대평가,"영어, English",미디어커뮤니케이션학과-미디어커뮤니케이션학
723,COM3323-001,COM3323,1,디지털콘텐츠제작,전체,3.0,전공선택,[   0    0 8064    0    0    0    0],최희진,절대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
724,COM3331-001,COM3331,1,Media Narratives,전체,3.0,전공선택,[  0 896   0 896   0   0   0],호세다비드,절대평가,English,기타-원어강의
725,COM3341-001,COM3341,1,탐사저널리즘,전체,3.0,전공선택,[  0 112   0 112   0   0   0],박인규,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
726,COM3414-001,COM3414,1,광고홍보전략론,전체,3.0,전공선택,[     0 516096      0      0      0      0      0],박재항,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
727,COM3433-002,COM3433,2,판매촉진전략,전체,3.0,전공선택,[  0   0   0 896 112   0   0],문성준,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
728,COM4211-001,COM4211,1,미디어경영론,3,3.0,전공선택,[   0    0    0    0 8064    0    0],김대호,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
729,COM4221-001,COM4221,1,언론정보법제론,전체,3.0,전공선택,[112   0 112   0   0   0   0],하주용,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
730,COM4231-001,COM4231,1,설득커뮤니케이션,전체,3.0,전공선택,[516096      0      0      0      0      0      0],채정화,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
731,COM4313-001,COM4313,1,방송뉴스시사심화실습,전체,3.0,전공선택,[  0   0 126   0   0   0   0],최삼호,절대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
732,COM4321-001,COM4321,1,Orientalism in Media & Culture,전체,3.0,전공선택,[   0 7168    0 7168    0    0    0],호세다비드,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
733,COM4411-001,COM4411,1,소비자행동론,3,3.0,전공선택,[516096      0      0      0      0      0      0],김상훈,상대평가, ,미디어커뮤니케이션학과-미디어커뮤니케이션학
