,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
1809,HIS1002-001,HIS1002,1,역사학입문,1,3.0,전공필수,[896   0 896   0   0   0   0],이주영,상대평가, ,,사학과-사학,"{'월': '5남501', '수': '5남501'}"
1810,HIS2006-001,HIS2006,1,동양어 원전읽기,2,3.0,전공필수,[  0 112   0 112   0   0   0],최병욱,상대평가, ,4.19,사학과-사학,"{'화': '5동502', '목': '5남405'}"
1811,HIS2103-001,HIS2103,1,문화로 보는 역사,전체,3.0,전공선택,[64512     0 64512     0     0     0     0],김경화,상대평가, ,4.62,사학과-사학,"{'월': '5남501', '수': '5남501'}"
1812,HIS2104-001,HIS2104,1,선사문화의 이해,전체,3.0,전공선택,[516096      0      0      0      0      0      0],김현준,상대평가, ,,사학과-사학,{'월': '5남501'}
1813,HIS2115-001,HIS2115,1,지역문화탐구 2,전체,3.0,전공선택,[14 14  0  0  0  0  0],우경섭,Pass/Fail, ,5.0,사학과-사학,"{'월': '5동502', '화': '5동502'}"
1814,HIS2201-001,HIS2201,1,한국고대사,전체,3.0,전공선택,[112   0 112   0   0   0   0],김경화,상대평가, ,4.0,사학과-사학,"{'월': '5남501', '수': '5남501'}"
1815,HIS2207-001,HIS2207,1,인천지역사,전체,3.0,전공선택,[   0 7168 7168    0    0    0    0],임학성,상대평가, ,4.63,사학과-사학,"{'화': '5남501', '수': '5남501'}"
1816,HIS2301-001,HIS2301,1,동아시아 고대문명,전체,3.0,전공선택,[  0   0 112 112   0   0   0],이준갑,상대평가, ,4.75,사학과-사학,"{'수': '5동502', '목': '5동502'}"
1817,HIS3007-001,HIS3007,1,서양어 원전읽기,3,3.0,전공필수,[   0    0 8064 8064    0    0    0],이주영,상대평가, ,5.0,사학과-사학,"{'수': '5동502', '목': '5동502'}"
1818,HIS3107-001,HIS3107,1,여성사,전체,3.0,전공선택,[   0 8064    0    0    0    0    0],이시연,상대평가, ,4.0,사학과-사학,{'화': '5동502'}
1819,HIS3208-001,HIS3208,1,한국종교문화사,전체,3.0,전공선택,[     0      0      0 516096      0      0      0],양인성,상대평가, ,4.83,사학과-사학,{'목': '5동502'}
1820,HIS3306-001,HIS3306,1,동아시아 전통사회 확립,전체,3.0,전공선택,[  0 896   0 896   0   0   0],이준갑,상대평가, ,5.0,사학과-사학,"{'화': '5남501', '목': '5남501'}"
1821,HIS3403-001,HIS3403,1,서양근대사 1,전체,3.0,전공선택,[     0 516096      0      0      0      0      0],이시연,상대평가, ,4.2,사학과-사학,{'화': '5동502'}
1822,HIS4002-001,HIS4002,1,역사학 논문작성법,4,3.0,전공필수,[ 0  0 14 14  0  0  0],이준갑,상대평가, ,,사학과-사학,"{'수': '5동502', '목': '5동502'}"
1823,HIS4209-001,HIS4209,1,한국사회경제사,전체,3.0,전공선택,[    0 57344   896     0     0     0     0],임학성,상대평가, ,4.92,사학과-사학,"{'화': '5남501', '수': '5동502'}"
1824,HIS4210-001,HIS4210,1,한국대외관계사,전체,3.0,전공선택,[14 14  0  0  0  0  0],성동기,상대평가, ,,사학과-사학,"{'월': '5남501', '화': '5남501'}"
1825,HIS4309-001,HIS4309,1,일본의 역사와 문화,전체,3.0,전공선택,[    0     0     0     0 64512     0     0],윤현명,상대평가, ,4.67,사학과-사학,{'금': '5남501'}
