,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
977,EDC4108-002,EDC4108,2,교직실무,4,2.0,교직과정,[      0 7864320       0       0       0       0       0],박지연,절대평가, ,4.0,사회교육과-사회교육,{'화': '서-228'}
982,EDC4109-006,EDC4109,6,교육실습,4,2.0,교직과정,[  0   0 480   0   0   0   0],정이화,절대평가, ,,사회교육과-사회교육,{'수': '서-308'}
983,EDC4109-007,EDC4109,7,교육실습,4,2.0,교직과정,[   0    0 7680    0    0    0    0],정이화,절대평가, ,,사회교육과-사회교육,{'수': '서-308'}
2729,SSE1111-001,SSE1111,1,정치와 사회,1,3.0,전공필수,[516096      0      0      0      0      0      0],정동준,상대평가, ,4.89,사회교육과-사회교육,{'월': '서-237A'}
2730,SSE1111-002,SSE1111,2,정치와 사회,1,3.0,전공필수,[     0 516096      0      0      0      0      0],정동준,상대평가, ,4.89,사회교육과-사회교육,{'화': '서-228'}
2731,SSE1131-001,SSE1131,1,인간과 사회,2,3.0,전공필수,[516096      0      0      0      0      0      0],"김지훈,이태정",상대평가, ,,사회교육과-사회교육,{'월': '서-308'}
2732,SSE1131-002,SSE1131,2,인간과 사회,2,3.0,전공필수,[33030144        0        0        0        0        0        0],"김지훈,이태정",상대평가, ,,사회교육과-사회교육,{'월': '서-308'}
2733,SSE1241-001,SSE1241,1,문화와 교육,1,3.0,전공선택,[  0 126   0   0   0   0   0],"김영순,정경희",상대평가, ,,사회교육과-사회교육,{'화': '서-228'}
2734,SSE1241-002,SSE1241,2,문화와 교육,1,3.0,전공선택,[  0 126   0   0   0   0   0],"김영순,정경희",상대평가, ,,사회교육과-사회교육,{'화': '서-308'}
2735,SSE1251-001,SSE1251,1,법교육 개론,1,3.0,전공선택,[    0     0     0     0 64512     0     0],김경래,상대평가, ,,사회교육과-사회교육,{'금': '서-228'}
2736,SSE2101-001,SSE2101,1,통합사회교육론,3,3.0,전공선택,[   0    0    0    0 1008    0    0],김경래,상대평가, ,,사회교육과-사회교육,{'금': '서-308'}
2737,SSE2243-001,SSE2243,1,한국문화의 창의적 탐색,2,3.0,전공선택,[     0      0      0 516096      0      0      0],정경희,상대평가, ,4.71,사회교육과-사회교육,{'목': '서-237A'}
2738,SSE2252-001,SSE2252,1,범죄와 형벌,2,3.0,전공선택,[     0 516096      0      0      0      0      0],김계황,상대평가, ,5.0,사회교육과-사회교육,{'화': '서-237A'}
2739,SSE2261-001,SSE2261,1,사회과 평가론,2,3.0,전공선택,[     0      0      0 516096      0      0      0],박선미,절대평가, ,4.75,사회교육과-사회교육,{'목': '서-228'}
2740,SSE2371-001,SSE2371,1,인문지리학,2,3.0,전공선택,[8064    0    0    0    0    0    0],김종혁,상대평가, ,5.0,사회교육과-사회교육,{'월': '서-308'}
2741,SSE3132-001,SSE3132,1,사회과학방법론,3,3.0,전공필수,[     0 516096      0      0      0      0      0],"김지훈,이태정",상대평가, ,,사회교육과-사회교육,{'화': '서-308'}
2742,SSE3132-002,SSE3132,2,사회과학방법론,3,3.0,전공필수,[       0 33030144        0        0        0        0        0],"김지훈,이태정",상대평가, ,,사회교육과-사회교육,{'화': '서-308'}
2743,SSE3222-001,SSE3222,1,경제교육과 국가경제,3,3.0,전공선택,[7168    0 7168    0    0    0    0],장경호,상대평가, ,2.67,사회교육과-사회교육,"{'월': '서-228', '수': '서-228'}"
2744,SSE4164-001,SSE4164,1,사회과 논리 및 논술,3,3.0,전공필수,[516096      0      0      0      0      0      0],박선미,절대평가, ,5.0,사회교육과-사회교육,{'월': '서-228'}
2745,SSE4164-002,SSE4164,2,사회과 논리 및 논술,3,3.0,전공필수,[     0      0      0 516096      0      0      0],정혜온,절대평가, ,4.2,사회교육과-사회교육,{'목': '서-308'}
2746,SSE4224-001,SSE4224,1,시장경제의 탐구와 연습,4,3.0,전공선택,[57344     0 57344     0     0     0     0],장경호,상대평가, ,1.67,사회교육과-사회교육,"{'월': '5동208A', '수': '5동208A'}"
2747,SSE4314-001,SSE4314,1,비교민주주의론,4,3.0,전공선택,[  0   0   0 126   0   0   0],정혜온,상대평가, ,4.0,사회교육과-사회교육,{'목': '서-308'}
2748,SSE4351-001,SSE4351,1,사회문제와 법,4,3.0,전공선택,[126   0   0   0   0   0   0],정상우,상대평가, ,5.0,사회교육과-사회교육,{'월': '서-308'}
