,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2770,SWE1102-001,SWE1102,1,인간행동과 사회환경,1,3.0,전공필수,[516096      0      0      0      0      0      0],김용진,상대평가, ,3.56,사회복지학과-사회복지학,{'월': '9-306'}
2771,SWE2105-001,SWE2105,1,사회복지법제와 실천,2,3.0,전공필수,[112   0   0 112   0   0   0],이재원,상대평가, ,,사회복지학과-사회복지학,"{'월': '9-504', '목': '9-504'}"
2772,SWE2106-001,SWE2106,1,지역사회복지론,2,3.0,전공필수,[  0   0 510   0   0   0   0],김승수,절대평가, ,2.92,사회복지학과-사회복지학,{'수': '60주년-507'}
2773,SWE2207-001,SWE2207,1,사회복지와 인권,2,3.0,전공선택,[  0 126   0   0   0   0   0],황순찬,상대평가, ,,사회복지학과-사회복지학,{'화': '6-427'}
2774,SWE3101-001,SWE3101,1,사회복지실천기술론,3,3.0,전공필수,[14  0  0 14  0  0  0],유창민,절대평가,선수,4.33,사회복지학과-사회복지학,"{'월': '9-504', '목': '9-504'}"
2775,SWE3102-001,SWE3102,1,사회복지현장실습,3,3.0,전공필수,[     0      0      0 516096      0      0      0],유창민,절대평가, ,,사회복지학과-사회복지학,{'목': '9-504'}
2776,SWE3103-001,SWE3103,1,사회복지행정론,3,3.0,전공필수,[7168    0    0 7168    0    0    0],이재원,상대평가, ,4.86,사회복지학과-사회복지학,"{'월': '9-504', '목': '9-504'}"
2777,SWE3202-001,SWE3202,1,아동복지론,3,3.0,전공선택,[516096      0      0      0      0      0      0],이충권,상대평가, ,4.82,사회복지학과-사회복지학,{'월': '9-504'}
2778,SWE3205-001,SWE3205,1,노인복지론,3,3.0,전공선택,[     0      0 516096      0      0      0      0],정락여,상대평가, ,3.0,사회복지학과-사회복지학,{'수': 'M-301'}
2779,SWE3206-001,SWE3206,1,의료사회복지론,3,3.0,전공선택,[     0 516096      0      0      0      0      0],김현희,상대평가, ,4.33,사회복지학과-사회복지학,{'화': '9-504'}
2780,SWE3207-001,SWE3207,1,프로그램 개발과 평가,3,3.0,전공선택,[240   0   0 240   0   0   0],"이충권,이재원",절대평가, ,,사회복지학과-사회복지학,"{'월': '6-427', '목': '6-427'}"
2781,SWE4103-001,SWE4103,1,사회복지역사,4,3.0,전공필수,[7168    0    0 7168    0    0    0],윤홍식,상대평가, ,,사회복지학과-사회복지학,"{'월': '9-505', '목': '9-505'}"
2782,SWE4201-001,SWE4201,1,자원봉사론,4,3.0,전공선택,[     0      0 516096      0      0      0      0],김승수,절대평가, ,3.8,사회복지학과-사회복지학,{'수': 'M-206'}
2783,SWE4206-001,SWE4206,1,정신건강사회복지론,4,3.0,전공선택,[     0 516096      0      0      0      0      0],황순찬,상대평가, ,,사회복지학과-사회복지학,{'화': '60주년-606'}
