,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
678,CIV1611-001,CIV1611,1,건설재료실험,1,3.0,전공필수,[      0 7864560       0 7864560       0       0       0],정진훈,절대평가, ,4.59,사회인프라공학과-사회인프라공학,"{'화': '2남228', '목': '2남228'}"
679,CIV1611-002,CIV1611,2,건설재료실험,1,3.0,전공필수,[7872000 7872000       0       0       0       0       0],정진훈,절대평가, ,4.59,사회인프라공학과-사회인프라공학,"{'월': '2남228', '화': '2남228'}"
680,CIV1611-003,CIV1611,3,건설재료실험,1,3.0,전공필수,[      0 7864320 7864320       0       0       0       0],정진훈,절대평가, ,4.59,사회인프라공학과-사회인프라공학,"{'화': '2남228', '수': '2남227'}"
681,CIV2020-001,CIV2020,1,건설인공지능,2,3.0,전공필수,[     0      0 516096      0      0      0      0],박연철,절대평가, ,4.6,사회인프라공학과-사회인프라공학,{'수': '5동116A'}
683,CIV2101-001,CIV2101,1,역학의 기초,2,3.0,전공필수,[7280 7280    0    0    0    0    0],황원섭,상대평가, ,4.78,사회인프라공학과-사회인프라공학,"{'월': '2남227', '화': '2남227'}"
684,CIV2101-002,CIV2101,2,역학의 기초,2,3.0,전공필수,[7280 7280    0    0    0    0    0],박연철,상대평가, ,,사회인프라공학과-사회인프라공학,"{'월': '2남227', '화': '2남227'}"
685,CIV2311-001,CIV2311,1,기초수리학,2,3.0,전공필수,[896 896   0   0   0   0   0],김경훈,상대평가, ,3.5,사회인프라공학과-사회인프라공학,"{'월': '2남227', '화': '2남227'}"
686,CIV2311-002,CIV2311,2,기초수리학,2,3.0,전공필수,[     0      0      0 516096      0      0      0],이준형,상대평가, ,4.92,사회인프라공학과-사회인프라공학,{'목': '2남227'}
687,CIV2411-001,CIV2411,1,환경공학 및 실험,2,3.0,전공필수,[7987200 7987200       0       0       0       0       0],김동훈,절대평가,"영어,English",3.22,기타-원어강의,"{'월': '2남227', '화': '2남227'}"
688,CIV2411-002,CIV2411,2,환경공학 및 실험,2,3.0,전공필수,[7987200 7987200       0       0       0       0       0],김동훈,절대평가,"영어,English",3.22,사회인프라공학과-사회인프라공학,"{'월': '2남227', '화': '2남227'}"
689,CIV2511-001,CIV2511,1,측량학 및 실습,2,3.0,전공필수,[  0   0   0   0 510   0   0],박준구,절대평가, ,4.86,사회인프라공학과-사회인프라공학,{'금': '2남225'}
690,CIV2511-002,CIV2511,2,측량학 및 실습,2,3.0,전공필수,[     0      0      0      0 261120      0      0],박준구,절대평가, ,4.86,사회인프라공학과-사회인프라공학,{'금': '2남225'}
692,CIV3100-001,CIV3100,1,구조해석,3,3.0,전공선택,[1008 1008    0    0    0    0    0],이종한,절대평가,"영어,English,선수",3.6,기타-원어강의,"{'월': '2남225', '화': '2남225'}"
693,CIV3150-001,CIV3150,1,철근콘크리트설계,3,3.0,전공선택,[  0 112 112   0   0   0   0],이종한,절대평가, ,4.75,사회인프라공학과-사회인프라공학,"{'화': '2남225', '수': '2남225'}"
694,CIV3150-002,CIV3150,2,철근콘크리트설계,3,3.0,전공선택,[465920 465920      0      0      0      0      0],이종한,상대평가, ,4.75,사회인프라공학과-사회인프라공학,"{'월': '2남228', '화': '2남228'}"
