,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2689,SIM1404-001,SIM1404,1,고객관계관리,2,3.0,전공선택,[  0   0   0   0   0 126   0],정승민,상대평가, ,4.0,산업경영학과-산업경영학,{'토': '9-406'}
2690,SIM2202-001,SIM2202,1,소비자행동론,2,3.0,전공선택,[    0     0     0     0     0 32256     0],이재진,상대평가, ,4.5,산업경영학과-산업경영학,{'토': '9-403'}
2691,SIM2302-001,SIM2302,1,기업경영분석,2,3.0,전공선택,[        0         0 132120576         0         0         0         0],서창수,상대평가, ,,산업경영학과-산업경영학,{'수': '9-217'}
2692,SIM2401-001,SIM2401,1,ESG경영,전체,3.0,전공선택,[132120576         0         0         0         0         0         0],김성건,상대평가, ,,산업경영학과-산업경영학,{'월': 'M-322'}
2693,SIM3102-001,SIM3102,1,인적자원관리,전체,3.0,전공선택,[0 0 0 0 0 0 1],김성건,상대평가,타 단과대학 학생 대상,4.6,산업경영학과-산업경영학,{'셀': '웹강의'}
2694,SIM3102-002,SIM3102,2,인적자원관리,3,3.0,전공선택,[  0   0   0   0   0 126   0],김성건,상대평가,산업경영학과 학생 대상,4.6,산업경영학과-산업경영학,{'토': '9-303'}
2695,SIM3201-001,SIM3201,1,마케팅커뮤니케이션,3,3.0,전공선택,[    0     0     0     0     0 32256     0],성준현,상대평가, ,,산업경영학과-산업경영학,{'토': '9-303'}
2696,SIM3202-001,SIM3202,1,브랜드전략,4,3.0,전공선택,[  0   0   0   0   0 126   0],이재진,상대평가, ,,산업경영학과-산업경영학,{'토': 'M-206'}
2697,SIM3203-001,SIM3203,1,마케팅인사이트,전체,3.0,전공선택,[0 0 0 0 0 0 1],이재진,상대평가,타 단과대학 학생 대상,4.86,산업경영학과-산업경영학,{'셀': '웹강의'}
2698,SIM3204-001,SIM3204,1,마케팅채널관리,전체,3.0,전공선택,[  0   0   0   0   0 126   0],곽지훈,상대평가, ,,산업경영학과-산업경영학,{'토': '9-306'}
2699,SIM3303-001,SIM3303,1,경영과 데이터베이스,3,3.0,전공선택,[        0 132120576         0         0         0         0         0],서창수,절대평가, ,,산업경영학과-산업경영학,{'화': 'M-303'}
2700,SIM3303-002,SIM3303,2,경영과 데이터베이스,3,3.0,전공선택,[        0         0 132120576         0         0         0         0],정승민,절대평가, ,,산업경영학과-산업경영학,{'수': 'M-303'}
2701,SIM4302-001,SIM4302,1,비즈니스 이노베이션,전체,3.0,전공선택,[0 0 0 0 0 0 1],정승민,상대평가,타 단과대학 학생 대상,,기타-E-Learning,{'셀': '웹강의'}
2702,SIM4302-002,SIM4302,2,비즈니스 이노베이션,4,3.0,전공선택,[        0         0         0 132120576         0         0         0],정승민,상대평가,산업경영학과 학생 대상,,산업경영학과-산업경영학,{'목': '9-217'}
2703,SIM4401-001,SIM4401,1,국제경영,4,3.0,전공선택,[    0     0     0     0     0 32256     0],이성준,상대평가, ,,산업경영학과-산업경영학,{'토': '9-306'}
2704,SIM9003-001,SIM9003,1,현장프로젝트3,4,3.0,전공선택,[        0         0         0         0         0 132120576         0],서창수,Pass/Fail, ,,산업경영학과-산업경영학,{'토': '9-306'}
2705,SIM9003-002,SIM9003,2,현장프로젝트3,4,3.0,전공선택,[        0         0         0         0 132120576         0         0],서창수,Pass/Fail, ,,산업경영학과-산업경영학,{'금': '9-203'}
2706,SIM9006-001,SIM9006,1,현장프로젝트1,3,3.0,전공선택,[        0         0         0         0         0 132120576         0],이재진,Pass/Fail, ,,산업경영학과-산업경영학,{'토': '9-406'}
2707,SIM9006-002,SIM9006,2,현장프로젝트1,3,3.0,전공선택,[        0         0         0         0         0 132120576         0],김성건,Pass/Fail, ,,산업경영학과-산업경영학,{'토': 'M-203'}
2708,SIM9006-003,SIM9006,3,현장프로젝트1,3,3.0,전공선택,[        0         0         0         0         0 132120576         0],정승민,Pass/Fail, ,,산업경영학과-산업경영학,{'토': '9-403'}
2709,SIM9006-004,SIM9006,4,현장프로젝트1,3,3.0,전공선택,[        0         0         0         0 132120576         0         0],김성건,Pass/Fail, ,,산업경영학과-산업경영학,{'금': 'M-303'}
