,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
273,BTE1201-001,BTE1201,1,창의적생명공학설계,2,3.0,전공필수,[  0 126   0   0   0   0   0],양윤정,Pass/Fail, ,3.64,생명공학과-생명공학,{'화': '2동252'}
274,BTE1201-002,BTE1201,2,창의적생명공학설계,2,3.0,전공필수,[  0   0   0 126   0   0   0],김민식,Pass/Fail, ,,생명공학과-생명공학,{'목': '2동256'}
275,BTE2101-001,BTE2101,1,유기화학 1,2,3.0,전공필수,[     0      0 459648 459648      0      0      0],임현규,절대평가,"영어,English,선수",4.0,기타-원어강의,"{'수': '2동256', '목': '2동256'}"
276,BTE2102-001,BTE2102,1,물리화학,2,3.0,전공필수,[  0 896   0   0 896   0   0],부지윤,상대평가, ,5.0,생명공학과-생명공학,"{'화': '2동256', '금': '2동256'}"
277,BTE2102-002,BTE2102,2,물리화학,2,3.0,전공필수,[    0 57344     0     0 57344     0     0],부지윤,상대평가, ,5.0,생명공학과-생명공학,"{'화': '2동256', '금': '2동256'}"
278,BTE2105-001,BTE2105,1,미생물학,2,3.0,전공필수,[112   0 112   0   0   0   0],"김응수,임현규",상대평가,선수,4.5,생명공학과-생명공학,"{'월': '2동252', '수': '2동252'}"
279,BTE2105-002,BTE2105,2,미생물학,2,3.0,전공필수,[7168    0 7168    0    0    0    0],"김응수,임현규",상대평가,선수,4.5,생명공학과-생명공학,"{'월': '2동252', '수': '2동252'}"
280,BTE3101-001,BTE3101,1,생물화학공학,3,3.0,전공필수,[458752    112      0      0      0      0      0],신화성,상대평가,선수,,생명공학과-생명공학,"{'월': '2동252', '화': '2동256'}"
281,BTE3101-002,BTE3101,2,생물화학공학,3,3.0,전공필수,[7182 7182    0    0    0    0    0],백영빈,절대평가,"영어,English,선수",5.0,기타-원어강의,"{'월': '2동256', '화': '2동256'}"
282,BTE3109-001,BTE3109,1,세포배양공학,4,3.0,전공선택,[458864      0 458864      0      0      0      0],백종윤,절대평가,"영어,English",4.29,기타-원어강의,"{'월': '2동256', '수': '2동256'}"
283,BTE3110-001,BTE3110,1,생물공학실험 1,3,2.0,전공필수,[      0 2088960       0       0       0       0       0],백종윤,절대평가,선수,,생명공학과-생명공학,{'화': 'C-106'}
284,BTE3110-002,BTE3110,2,생물공학실험 1,3,2.0,전공필수,[      0       0       0 2088960       0       0       0],백종윤,절대평가,선수,,생명공학과-생명공학,{'목': 'C-106'}
285,BTE3110-003,BTE3110,3,생물공학실험 1,3,2.0,전공필수,[  0   0   0   0 510   0   0],임현규,절대평가,선수,,생명공학과-생명공학,{'금': 'C-106'}
286,BTE3112-001,BTE3112,1,생물반응공학,3,3.0,전공선택,[     0 465920 465920      0      0      0      0],권순조,절대평가,"영어,English",4.5,기타-원어강의,"{'화': '2동252', '수': '2동252'}"
287,BTE3113-001,BTE3113,1,단백질공학,3,3.0,전공선택,[     0 516096      0      0      0      0      0],양윤정,절대평가,"영어,English",4.5,기타-원어강의,{'화': '2북465'}
288,BTE3205-001,BTE3205,1,유전공학,3,3.0,전공선택,[57344     0 57344     0     0     0     0],김응수,상대평가, ,,생명공학과-생명공학,"{'월': '2동256', '수': '2동256'}"
289,BTE4101-001,BTE4101,1,생물정보학 및 실습,3,3.0,전공선택,[240   0  30   0   0   0   0],홍성주,절대평가,선수,5.0,생명공학과-생명공학,"{'월': '2동256', '수': '6-326'}"
290,BTE4101-002,BTE4101,2,생물정보학 및 실습,3,3.0,전공선택,[ 240    0 1920    0    0    0    0],홍성주,절대평가,선수,5.0,생명공학과-생명공학,"{'월': '2동256', '수': '6-326'}"
291,BTE4103-001,BTE4103,1,세포생물학,4,3.0,전공선택,[     0 516096      0      0      0      0      0],김동일,상대평가, ,4.0,생명공학과-생명공학,{'화': '2동252'}
292,BTE4201-001,BTE4201,1,생명공학종합설계,4,3.0,전공필수,[       0        0        0 33030144        0        0        0],정우진,Pass/Fail,선수,,생명공학과-생명공학,{'목': '2동252'}
293,BTE4205-001,BTE4205,1,생체재료공학,4,3.0,전공선택,[   0    0    0 8064 8064    0    0],정우진,상대평가, ,3.91,생명공학과-생명공학,"{'목': '2동252', '금': '2동252'}"
294,BTE4206-001,BTE4206,1,바이오산업현장개론,4,2.0,전공선택,[   0    0 7680    0    0    0    0],허윤석,Pass/Fail, ,,생명공학과-생명공학,{'수': '2동256'}
295,BTE4209-001,BTE4209,1,조직공학,4,3.0,전공선택,[57344     0 57344     0     0     0     0],권순조,절대평가,"영어,English",,기타-원어강의,"{'월': '2동252', '수': '2동252'}"
