,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
734,CON1001-001,CON1001,1,소비자와 시장경제,1,3.0,전공필수,[  0 896 896   0   0   0   0],이종희,상대평가, ,3.93,소비자학과-소비자학,"{'화': '9-505', '수': '9-505'}"
735,CON1301-001,CON1301,1,미래테크놀로지와소비생활,1,3.0,전공선택,[ 14   0 112   0   0   0   0],여정희,상대평가, ,3.64,소비자학과-소비자학,"{'월': '9-505', '수': '9-504'}"
736,CON2202-001,CON2202,1,가계위험관리와 보험,2,3.0,전공선택,[    0     0 57344 57344     0     0     0],정용주,상대평가, ,4.0,소비자학과-소비자학,"{'수': '9-505', '목': '9-505'}"
737,CON2203-001,CON2203,1,소비자재무설계,2,3.0,전공선택,[  0 112 112   0   0   0   0],이종희,상대평가, ,4.22,소비자학과-소비자학,"{'화': '9-505', '수': '9-505'}"
738,CON2403-001,CON2403,1,소비자의사결정,2,3.0,전공선택,[7168    0 7168    0    0    0    0],이은희,상대평가, ,3.82,소비자학과-소비자학,"{'월': '9-203', '수': '9-217'}"
739,CON2407-001,CON2407,1,소비콘텐츠 영상제작,2,3.0,전공선택,[    0     0     0     0 32640     0     0],김지혜,절대평가, ,5.0,소비자학과-소비자학,{'금': '6-426'}
740,CON2602-001,CON2602,1,소비트렌드분석,2,3.0,전공선택,[  0   0   0 126   0   0   0],여정희,상대평가, ,3.75,소비자학과-소비자학,{'목': '9-602'}
741,CON3103-001,CON3103,1,소비자 데이터베이스의 이해와 실무,3,3.0,전공선택,[  0   0 896 896   0   0   0],정용주,상대평가, ,,소비자학과-소비자학,"{'수': '9-406', '목': '9-504'}"
742,CON3402-001,CON3402,1,소비자교육,3,3.0,전공선택,[     0      0 516096      0      0      0      0],조홍제,상대평가, ,5.0,소비자학과-소비자학,{'수': '7-614'}
743,CON3501-001,CON3501,1,소비자분쟁해결 기초,3,3.0,전공선택,[     0      0      0 516096      0      0      0],이호규,상대평가, ,3.96,소비자학과-소비자학,{'목': '7-614'}
744,CON3605-001,CON3605,1,소비자와 상품기획 및 관리,3,3.0,전공선택,[     0 516096      0      0      0      0      0],황진주,상대평가, ,1.92,소비자학과-소비자학,{'화': '7-614'}
745,CON3607-001,CON3607,1,소비자정량분석 및 실습,3,3.0,전공필수,[      0       0       0       0 2088960       0       0],조향숙,절대평가, ,4.77,소비자학과-소비자학,{'금': '9-501'}
746,CON4004-001,CON4004,1,소비자학 논문설계 및 작성,4,3.0,전공선택,[  0   0 126   0   0   0   0],조향숙,상대평가, ,4.07,소비자학과-소비자학,{'수': '9-501'}
747,CON4004-002,CON4004,2,소비자학 논문설계 및 작성,4,3.0,전공선택,[  0   0   0   0 126   0   0],조향숙,상대평가, ,4.07,소비자학과-소비자학,{'금': '9-501'}
748,CON4111-001,CON4111,1,행동재무학,4,3.0,전공선택,[     0      0      0      0 516096      0      0],장경영,상대평가, ,,소비자학과-소비자학,{'금': '9-504'}
749,CON4201-001,CON4201,1,세금설계,4,3.0,전공선택,[  0 126   0   0   0   0   0],양재영,상대평가, ,3.77,소비자학과-소비자학,{'화': '9-317'}
750,CON4301-001,CON4301,1,소비자와 미디어,4,3.0,전공선택,[     0      0      0 516096      0      0      0],황진주,상대평가, ,4.38,소비자학과-소비자학,{'목': '60주년-610'}
751,CON4302-001,CON4302,1,소비자빅데이터분석,4,3.0,전공선택,[   0    0    0    0 8064    0    0],정지영,상대평가, ,,소비자학과-소비자학,{'금': '9-501'}
752,CON4304-001,CON4304,1,소비자만족과 소비자중심경영,4,3.0,전공선택,[57344     0 57344     0     0     0     0],심상훈,상대평가, ,3.0,소비자학과-소비자학,"{'월': '9-217', '수': '9-217'}"
753,CON4604-001,CON4604,1,공유경제와 소비자,4,3.0,전공선택,[896   0 896   0   0   0   0],여정희,상대평가, ,3.8,소비자학과-소비자학,"{'월': '9-504', '수': '9-504'}"
