,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2079,ITC1201-001,ITC1201,1,컴퓨터공학기초,1,3.0,전공필수,[14680064        0        0        0        0       14        0],남춘성,절대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,"{'월': 'M-303', '토': '60주년-809'}"
2080,ITC1201-002,ITC1201,2,컴퓨터공학기초,1,3.0,전공필수,[117440512         0         0         0         0       112         0],남춘성,절대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,"{'월': 'M-303', '토': '60주년-809'}"
2081,ITC1206-001,ITC1206,1,객체지향프로그래밍 2,2,3.0,전공선택,[      0       0       0       0 1835008   28672       0],김종훈,절대평가, ,5.0,소프트웨어융합공학과-소프트웨어융합공학,"{'금': 'M-301', '토': '5남240'}"
2082,ITC1207-001,ITC1207,1,프로그래밍 기초,1,3.0,전공선택,[14680064        0        0        0        0       14        0],김종훈,절대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,"{'월': 'M-206', '토': '60주년-808'}"
2083,ITC1207-002,ITC1207,2,프로그래밍 기초,1,3.0,전공선택,[117440512         0         0         0         0       112         0],김종훈,절대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,"{'월': 'M-206', '토': '60주년-808'}"
2084,ITC2203-001,ITC2203,1,인터넷프로그래밍,전체,3.0,전공선택,[14680064        0        0        0        0     3584        0],차상진,절대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,"{'월': '9-203', '토': '5남238'}"
2085,ITC2203-002,ITC2203,2,인터넷프로그래밍,전체,3.0,전공선택,[117440512         0         0         0         0     28672         0],차상진,절대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,"{'월': '9-203', '토': '5남238'}"
2086,ITC2207-001,ITC2207,1,C언어응용,2,3.0,전공필수,[14680064        0        0        0        0   229376        0],김태간,절대평가, ,5.0,소프트웨어융합공학과-소프트웨어융합공학,"{'월': 'M-306', '토': '5동116A'}"
2087,ITC2207-002,ITC2207,2,C언어응용,2,3.0,전공필수,[117440512         0         0         0         0   1835008         0],김태간,절대평가, ,5.0,소프트웨어융합공학과-소프트웨어융합공학,"{'월': 'M-306', '토': '5동116A'}"
2088,ITC3211-001,ITC3211,1,IoT프로그래밍,3,3.0,전공선택,[      0       0       0       0       0 2064384       0],박승보,절대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,{'토': 'M-203'}
2089,ITC3402-001,ITC3402,1,오퍼레이팅시스템,3,3.0,전공선택,[      0       0       0       0       0 2064384       0],성낙현,상대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,{'토': '9-403'}
2090,ITC3407-001,ITC3407,1,데이터베이스,2,3.0,전공선택,[       0        0 14680064        0        0   229376        0],김종훈,상대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,"{'수': 'M-206', '토': '5남240'}"
2091,ITC3407-002,ITC3407,2,데이터베이스,2,3.0,전공선택,[        0         0 117440512         0         0   1835008         0],김종훈,상대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,"{'수': 'M-206', '토': '5남240'}"
2092,ITC3601-001,ITC3601,1,소프트웨어공학,3,3.0,전공선택,[    0     0     0     0     0 32256     0],김태간,상대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,{'토': '5동116A'}
2093,ITC4056-001,ITC4056,1,클라이언트프로그래밍,4,3.0,전공선택,[  0   0   0   0   0 126   0],조향덕,절대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,{'토': '2북465'}
2094,ITC4402-001,ITC4402,1,컴퓨터 그래픽스 활용,2,3.0,전공선택,[  0   0   0   0   0 126   0],박승보,절대평가, ,,소프트웨어융합공학과-소프트웨어융합공학,{'토': 'M-322'}
2095,ITC4604-001,ITC4604,1,HCI,4,3.0,전공선택,[    0     0     0     0     0 32256     0],남춘성,절대평가, ,5.0,소프트웨어융합공학과-소프트웨어융합공학,{'토': '6-326'}
2096,ITC4604-002,ITC4604,2,HCI,4,3.0,전공선택,[        0         0         0 132120576         0         0         0],남춘성,절대평가, ,5.0,소프트웨어융합공학과-소프트웨어융합공학,{'목': '60주년-809'}
2097,ITC4611-001,ITC4611,1,인공지능,3,3.0,전공선택,[        0         0         0 132120576         0         0         0],박승보,절대평가, ,3.0,소프트웨어융합공학과-소프트웨어융합공학,{'목': 'M-303'}
