,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2348,MTH2003-001,MTH2003,1,미분방정식 1,2,3.0,전공선택,[    0 57344     0 57344     0     0     0],권희대,상대평가, ,4.33,수학과-수학,"{'화': '5동213A', '목': '5동213A'}"
2349,MTH2004-001,MTH2004,1,집합론,2,3.0,전공선택,[  0 112   0 112   0   0   0],송용진,상대평가, ,4.0,수학과-수학,"{'화': '5동213A', '목': '5동213A'}"
2350,MTH2005-001,MTH2005,1,해석학1,2,3.0,전공필수,[   0 7680    0 7680    0    0    0],강현배,절대평가, ,4.5,수학과-수학,"{'화': '5동210B', '목': '5동210B'}"
2351,MTH2005-002,MTH2005,2,해석학1,2,3.0,전공필수,[7680    0 7680    0    0    0    0],고승찬,절대평가, ,,수학과-수학,"{'월': '5동213A', '수': '5동213A'}"
2352,MTH2012-001,MTH2012,1,선형대수학 1,2,3.0,전공필수,[57344     0 57344     0     0     0     0],김린기,상대평가, ,3.0,수학과-수학,"{'월': '5동213A', '수': '5동213A'}"
2353,MTH2012-002,MTH2012,2,선형대수학 1,2,3.0,전공필수,[   0    0 7280    0 7280    0    0],최광석,상대평가, ,,수학과-수학,"{'수': '5동210B', '금': '5동210B'}"
2354,MTH2504-001,MTH2504,1,파이썬스런파이썬,2,3.0,전공선택,[240   0 240   0   0   0   0],김도완,절대평가, ,,수학과-수학,"{'월': '5북213', '수': '5북213'}"
2355,MTH2602-001,MTH2602,1,수학과컴퓨터,2,3.0,전공선택,[   0 1920    0 1920    0    0    0],김미영,절대평가, ,,수학과-수학,"{'화': '5동213A', '목': '5동213A'}"
2356,MTH3103-001,MTH3103,1,복소해석학 1,3,3.0,전공선택,[57344     0 57344     0     0     0     0],정해원,상대평가, ,3.55,수학과-수학,"{'월': '5동210B', '수': '5동210B'}"
2357,MTH3221-001,MTH3221,1,대수학 1,3,3.0,전공선택,[  0 126   0   0 126   0   0],이익권,상대평가, ,3.3,수학과-수학,"{'화': '5동210B', '금': '5동210B'}"
2358,MTH3301-001,MTH3301,1,위상수학 1,3,3.0,전공선택,[112   0 112   0   0   0   0],현윤석,상대평가, ,,수학과-수학,"{'월': '5동213A', '수': '5동213A'}"
2359,MTH3400-001,MTH3400,1,이산수학과 그래프이론,3,3.0,전공선택,[  0 126   0 126   0   0   0],신희성,상대평가, ,4.5,수학과-수학,"{'화': '5동210A', '목': '5동210A'}"
2360,MTH3502-001,MTH3502,1,인공지능을 위한 수학 1,3,3.0,전공선택,[7680    0 7680    0    0    0    0],현윤석,절대평가, ,4.43,수학과-수학,"{'월': '5북213', '수': '5북213'}"
2361,MTH3622-001,MTH3622,1,수치해석학,3,3.0,전공선택,[   0 1008    0 1008    0    0    0],조태창,상대평가, ,,수학과-수학,"{'화': '5동210A', '목': '5동210A'}"
2362,MTH4110-001,MTH4110,1,실해석학,4,3.0,전공선택,[896   0 896   0   0   0   0],정해원,상대평가, ,,수학과-수학,"{'월': '5동210B', '수': '5동210B'}"
2363,MTH4311-001,MTH4311,1,미분기하학 1,4,3.0,전공선택,[    0 57344     0     0 57344     0     0],최광석,상대평가, ,5.0,수학과-수학,"{'화': '5동210A', '금': '5동210A'}"
2364,MTH4400-001,MTH4400,1,조합론,4,3.0,전공선택,[458752      0 458752      0      0      0      0],김린기,상대평가, ,4.0,수학과-수학,"{'월': '5동213A', '수': '5동213A'}"
2365,MTH4511-001,MTH4511,1,편미분방정식,4,3.0,전공선택,[126   0   0   0 126   0   0],이현대,상대평가, ,,수학과-수학,"{'월': '5동213A', '금': '5동213A'}"
2366,MTH4760-001,MTH4760,1,네트워크 최적화,4,3.0,전공선택,[7168    0 7168    0    0    0    0],김도완,상대평가, ,5.0,수학과-수학,"{'월': '5동210B', '수': '5동210B'}"
