,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
987,EDC4109-011,EDC4109,11,교육실습,4,2.0,교직과정,[  0   0 240   0   0   0   0],권나영,절대평가, ,,수학교육과-수학교육,{'수': '서-341'}
1090,EMT1125-001,EMT1125,1,미분적분학1 및 연습,1,4.0,전공필수,[  0   0 504   0 504   0   0],박제남,절대평가, ,3.17,수학교육과-수학교육,"{'수': '서-328', '금': '서-328'}"
1091,EMT1135-001,EMT1135,1,집합론,1,3.0,전공선택,[458752      0      0 458752      0      0      0],유원석,상대평가, ,,수학교육과-수학교육,"{'월': '서-243A', '목': '서-243A'}"
1092,EMT1234-001,EMT1234,1,수학논리 및 논술,1,3.0,전공선택,[     0      0 516096      0      0      0      0],김상훈,상대평가, ,,수학교육과-수학교육,{'수': '서-328'}
1093,EMT2241-001,EMT2241,1,선형대수,2,3.0,전공필수,[ 0 14  0 14  0  0  0],남궁정일,상대평가, ,,수학교육과-수학교육,"{'화': '서-243A', '목': '서-243A'}"
1094,EMT2241-002,EMT2241,2,선형대수,2,3.0,전공필수,[896   0   0 896   0   0   0],유원석,상대평가, ,,수학교육과-수학교육,"{'월': '서-341', '목': '서-341'}"
1095,EMT2243-001,EMT2243,1,해석학,2,3.0,전공필수,[   0 7168    0 7168    0    0    0],명성,상대평가, ,,수학교육과-수학교육,"{'화': '서-243A', '목': '서-243A'}"
1096,EMT2243-002,EMT2243,2,해석학,2,3.0,전공필수,[   0 7168    0 7168    0    0    0],남궁정일,상대평가, ,,수학교육과-수학교육,"{'화': '서-341', '목': '서-341'}"
1097,EMT2347-001,EMT2347,1,확률 및 통계,2,3.0,전공필수,[    0     0 57344 57344     0     0     0],박진호,상대평가, ,3.0,수학교육과-수학교육,"{'수': '서-243A', '목': '서-243A'}"
1098,EMT3341-001,EMT3341,1,현대대수학,3,3.0,전공필수,[57344 57344     0     0     0     0     0],명성,상대평가, ,5.0,수학교육과-수학교육,"{'월': '서-328', '화': '서-328'}"
1099,EMT3343-001,EMT3343,1,위상수학,3,3.0,전공필수,[   0 7168    0 7168    0    0    0],이윤원,상대평가, ,4.67,수학교육과-수학교육,"{'화': '서-328', '목': '서-328'}"
1100,EMT3343-002,EMT3343,2,위상수학,3,3.0,전공필수,[458752 458752      0      0      0      0      0],이윤원,상대평가, ,4.67,수학교육과-수학교육,"{'월': '서-341', '화': '서-341'}"
1101,EMT3345-001,EMT3345,1,복소해석학,3,3.0,전공필수,[  0 112   0 112   0   0   0],남궁정일,상대평가, ,,수학교육과-수학교육,"{'화': '서-341', '목': '서-341'}"
1102,EMT3349-001,EMT3349,1,미분기하학,3,3.0,전공필수,[7168    0 7168    0    0    0    0],이윤원,상대평가, ,5.0,수학교육과-수학교육,"{'월': '서-328', '수': '서-328'}"
1103,EMT3351-001,EMT3351,1,융합형 수학과 교육과정,2,3.0,전공선택,[     0      0     96 122880      0      0      0],"권나영,김소민",상대평가, ,,수학교육과-수학교육,"{'수': '서-243A', '목': '서-341'}"
1104,EMT3352-001,EMT3352,1,학교수학 평가 이론과 실제,3,3.0,전공필수,[     0      0 516096      0      0      0      0],김소민,상대평가, ,,수학교육과-수학교육,{'수': '서-341'}
1105,EMT4434-001,EMT4434,1,현대수학의 이해,4,3.0,전공선택,[1008 1008    0    0    0    0    0],"이윤원,명성",상대평가, ,,수학교육과-수학교육,"{'월': '서-243A', '화': '서-243A'}"
