,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2121,KIN1001-001,KIN1001,1,스포츠과학개론,1,3.0,전공필수,[  0 126   0   0   0   0   0],"김민규,성종훈",상대평가, ,,스포츠과학과-스포츠과학,{'화': '5남333'}
2122,KIN1002-001,KIN1002,1,여가학,2,3.0,전공필수,[   0    0    0 1008    0    0    0],박수정,상대평가, ,,스포츠과학과-스포츠과학,{'목': '5동116A'}
2123,KIN1002-002,KIN1002,2,여가학,2,3.0,전공필수,[     0      0      0 516096      0      0      0],"박수정,윤채빈",상대평가, ,,스포츠과학과-스포츠과학,{'목': '5동116A'}
2124,KIN1014-001,KIN1014,1,스포츠산업론,전체,3.0,전공선택,[     0 516096      0      0      0      0      0],고은하,상대평가, ,,스포츠과학과-스포츠과학,{'화': '5서560B'}
2125,KIN1017-001,KIN1017,1,인체기능해부학,1,3.0,전공필수,[  0   0 126   0   0   0   0],성종훈,절대평가,"영어, English",,스포츠과학과-스포츠과학,{'수': '5서556'}
2126,KIN1018-001,KIN1018,1,수영,1,1.0,전공선택,[   0    0    0    0 7680    0    0],서정은,절대평가, ,4.0,스포츠과학과-스포츠과학,{'금': '5남225A'}
2127,KIN1101-001,KIN1101,1,발육발달및노화,3,3.0,전공선택,[  0   0 126   0   0   0   0],곽효범,절대평가,"영어, English",5.0,스포츠과학과-스포츠과학,{'수': '5서560B'}
2128,KIN2020-001,KIN2020,1,하계스포츠세미나,2,2.0,전공선택,[33030144        0        0        0        0        0        0],박동호,절대평가, ,,스포츠과학과-스포츠과학,{'월': '5서556'}
2129,KIN2020-002,KIN2020,2,하계스포츠세미나,2,2.0,전공선택,[       0 33030144        0        0        0        0        0],박수정,절대평가, ,4.0,스포츠과학과-스포츠과학,{'화': '5서556'}
2130,KIN2020-003,KIN2020,3,하계스포츠세미나,2,2.0,전공선택,[       0        0 33030144        0        0        0        0],곽효범,절대평가, ,,스포츠과학과-스포츠과학,{'수': '5서556'}
2131,KIN2020-004,KIN2020,4,하계스포츠세미나,2,2.0,전공선택,[       0        0        0 33030144        0        0        0],박찬민,절대평가, ,,스포츠과학과-스포츠과학,{'목': '5서560B'}
2132,KIN2103-001,KIN2103,1,운동생리학,2,3.0,전공필수,[  0 126   0   0   0   0   0],곽효범,절대평가,"영어, English",4.93,기타-원어강의,{'화': '5서556'}
2133,KIN3001-001,KIN3001,1,스포츠사회학,2,3.0,전공필수,[516096      0      0      0      0      0      0],김우성,상대평가, ,2.37,스포츠과학과-스포츠과학,{'월': '5서556'}
2134,KIN3007-001,KIN3007,1,웨이트트레이닝,3,1.0,전공선택,[      0       0       0 1966080       0       0       0],노성환,절대평가, ,,스포츠과학과-스포츠과학,{'목': '5서160'}
2135,KIN3016-001,KIN3016,1,스포츠전문영어,4,2.0,전공선택,[    0     0     0     0 15360     0     0],크리스틀,절대평가,English,5.0,기타-원어강의,{'금': '5서556'}
2136,KIN3019-001,KIN3019,1,골프,3,1.0,전공선택,[  0 120   0   0   0   0   0],박동호,절대평가, ,,스포츠과학과-스포츠과학,{'화': '5남225A'}
2137,KIN3019-002,KIN3019,2,골프,3,1.0,전공선택,[122880      0      0      0      0      0      0],박찬민,절대평가, ,5.0,스포츠과학과-스포츠과학,{'월': '5남225A'}
2138,KIN3019-003,KIN3019,3,골프,3,1.0,전공선택,[  0 120   0   0   0   0   0],"박수정,서호정",상대평가, ,,스포츠과학과-스포츠과학,{'화': '5서560B'}
2139,KIN3101-001,KIN3101,1,트레이닝방법론,3,3.0,전공선택,[     0 516096      0      0      0      0      0],박동호,상대평가, ,5.0,스포츠과학과-스포츠과학,{'화': '5서556'}
2140,KIN3107-001,KIN3107,1,운동상해및테이핑,3,3.0,전공선택,[     0      0      0      0 516096      0      0],김형철,절대평가, ,,스포츠과학과-스포츠과학,{'금': '5남225A'}
2141,KIN3115-001,KIN3115,1,운동손상학,3,3.0,전공선택,[     0      0 261120      0      0      0      0],성종훈,절대평가,"영어, English",4.0,스포츠과학과-스포츠과학,{'수': '5서556'}
2142,KIN3208-001,KIN3208,1,스포츠마케팅,전체,3.0,전공선택,[  0   0   0 126   0   0   0],박찬민,상대평가, ,3.0,스포츠과학과-스포츠과학,{'목': '5서556'}
2143,KIN3212-001,KIN3212,1,해양레저관광론,4,3.0,전공선택,[  0   0 126   0   0   0   0],김민규,상대평가, ,,스포츠과학과-스포츠과학,{'수': '5남333'}
2144,KIN3216-001,KIN3216,1,실버스포츠지도론,3,3.0,전공선택,[510   0   0   0   0   0   0],서정은,절대평가, ,3.0,스포츠과학과-스포츠과학,{'월': '5서560B'}
2145,KIN4104-001,KIN4104,1,운동치료방법론,4,3.0,전공선택,[     0 516096      0      0      0      0      0],성종훈,상대평가, ,,스포츠과학과-스포츠과학,{'화': '5남333'}
2146,KIN4208-001,KIN4208,1,스포츠판례연구,4,3.0,전공선택,[126   0   0   0   0   0   0],박찬민,상대평가, ,,스포츠과학과-스포츠과학,{'월': '5서556'}
2147,KIN4209-001,KIN4209,1,융합스포츠정책론,4,2.0,전공선택,[ 0  0  0 30  0  0  0],김민규,절대평가, ,,스포츠과학과-스포츠과학,{'목': '5서560B'}
2148,KIN4210-001,KIN4210,1,스포츠와IoT,4,3.0,전공선택,[     0      0 130560      0      0      0      0],김민규,절대평가, ,,스포츠과학과-스포츠과학,{'수': '5서560B'}
