,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
1171,FAN2106-001,FAN2106,1,공중보건학,2,3.0,전공선택,[  0   0 126   0   0   0   0],박미나,상대평가, ,3.9,식품영양학과-식품영양학,{'수': '1-534'}
1172,FAN2108-001,FAN2108,1,식품영양유기화학,2,3.0,전공선택,[     0      0 516096      0      0      0      0],노신정,상대평가, ,5.0,식품영양학과-식품영양학,{'수': '1-435'}
1173,FAN2302-001,FAN2302,1,기초영양생화학,2,3.0,전공선택,[  0   0   0 126   0   0   0],박미나,상대평가, ,4.33,식품영양학과-식품영양학,{'목': '1-435'}
1174,FAN2401-001,FAN2401,1,조리원리 및 실습,2,3.0,전공선택,[     0      0      0      0 261120      0      0],김혜영,절대평가, ,,식품영양학과-식품영양학,{'금': '1-307'}
1175,FAN3203-001,FAN3203,1,고급식품학,3,3.0,전공선택,[57344    14     0     0     0     0     0],이상미,상대평가, ,5.0,식품영양학과-식품영양학,"{'월': '1-307', '화': '1-534'}"
1176,FAN3204-001,FAN3204,1,식품미생물학실험,3,2.0,전공선택,[    0     0     0 64512     0     0     0],정현정,절대평가, ,4.0,식품영양학과-식품영양학,{'목': '504'}
1177,FAN3306-001,FAN3306,1,고급영양학,3,3.0,전공선택,[1008 1008    0    0    0    0    0],신다연,상대평가, ,4.64,식품영양학과-식품영양학,"{'월': '1-534', '화': '1-534'}"
1178,FAN3307-001,FAN3307,1,영양교육 및 상담실습,3,3.0,전공선택,[     0 261120      0      0      0      0      0],이수경,절대평가, ,,식품영양학과-식품영양학,{'화': '1-307'}
1179,FAN3307-002,FAN3307,2,영양교육 및 상담실습,3,3.0,전공선택,[     0      0 261120      0      0      0      0],이수경,절대평가, ,,식품영양학과-식품영양학,{'수': '1-307'}
1180,FAN3308-001,FAN3308,1,생애주기영양학,3,3.0,전공선택,[7280    0 7280    0    0    0    0],이수경,상대평가, ,4.8,식품영양학과-식품영양학,"{'월': '1-307', '수': '1-307'}"
1181,FAN4208-001,FAN4208,1,식품분석 및 실험,4,3.0,전공필수,[     0 261120      0      0      0      0      0],이상미,절대평가, ,5.0,식품영양학과-식품영양학,{'화': '1-534'}
1182,FAN4208-002,FAN4208,2,식품분석 및 실험,4,3.0,전공필수,[     0      0 261120      0      0      0      0],이상미,절대평가, ,5.0,식품영양학과-식품영양학,{'수': '1-534'}
1183,FAN4209-001,FAN4209,1,식품가공학,4,3.0,전공선택,[  0   0   0 126   0   0   0],노정해,상대평가, ,5.0,식품영양학과-식품영양학,{'목': '1-307'}
1184,FAN4210-001,FAN4210,1,발효식품학,3,3.0,전공선택,[1008    0 1008    0    0    0    0],정현정,상대평가, ,5.0,식품영양학과-식품영양학,"{'월': '1-435', '수': '1-435'}"
1185,FAN4211-001,FAN4211,1,식품위생법규,4,2.0,전공선택,[  0   0 240   0   0   0   0],최은희,상대평가, ,4.0,식품영양학과-식품영양학,{'수': '5서460'}
1186,FAN4310-001,FAN4310,1,식사요법 및 실습,4,3.0,전공선택,[261120      0      0      0      0      0      0],신다연,절대평가, ,5.0,식품영양학과-식품영양학,{'월': '1-534'}
1187,FAN4416-001,FAN4416,1,단체급식,4,3.0,전공선택,[  0   0   0   0 126   0   0],김혜영,상대평가, ,4.0,식품영양학과-식품영양학,{'금': '1-534'}
1188,FAN4417-001,FAN4417,1,식품영양세미나,4,1.0,전공필수,[0 0 6 0 0 0 0],"이수경,정현정,신다연,이상미",Pass/Fail, ,,식품영양학과-식품영양학,{'수': '1-435'}
