,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2253,MSE2001-001,MSE2001,1,재료과학 1,2,3.0,전공필수,[465920      0      0 465920      0      0      0],조원승,상대평가,선수,4.27,신소재공학과-신소재공학,"{'월': '5서260', '목': '5서260'}"
2254,MSE2001-002,MSE2001,2,재료과학 1,2,3.0,전공필수,[     0      0 465920 465920      0      0      0],조원승,상대평가,선수,4.27,신소재공학과-신소재공학,"{'수': '5서255', '목': '5서255'}"
2255,MSE2001-003,MSE2001,3,재료과학 1,2,3.0,전공필수,[7280 7280    0    0    0    0    0],이기안,상대평가,선수,3.68,신소재공학과-신소재공학,"{'월': '5서255', '화': '5서255'}"
2256,MSE2003-001,MSE2003,1,물리화학 1,2,3.0,전공필수,[     0 516096 516096      0      0      0      0],예종필,절대평가,"영어,English,선수",4.59,기타-원어강의,"{'화': '5서452', '수': '5서452'}"
2257,MSE2003-002,MSE2003,2,물리화학 1,2,3.0,전공필수,[112   0 112   0   0   0   0],이정환,절대평가,"영어,English,선수",4.29,기타-원어강의,"{'월': '5서252', '수': '5서252'}"
2258,MSE2003-003,MSE2003,3,물리화학 1,2,3.0,전공필수,[ 0 14  0 14  0  0  0],김상현,절대평가,"영어,English,선수",4.56,신소재공학과-신소재공학,"{'화': '5서260', '목': '5서260'}"
2259,MSE2005-001,MSE2005,1,재료역학,2,3.0,전공필수,[465920 465920      0      0      0      0      0],조원승,상대평가, ,4.09,신소재공학과-신소재공학,"{'월': '5서260', '화': '5서260'}"
2260,MSE2005-002,MSE2005,2,재료역학,2,3.0,전공필수,[7168    0 7168    0    0    0    0],박현순,상대평가, ,4.3,신소재공학과-신소재공학,"{'월': '5서252', '수': '5서252'}"
2261,MSE2005-003,MSE2005,3,재료역학,2,3.0,전공필수,[     0 516096      0      0      0      0      0],김목순,상대평가, ,4.76,신소재공학과-신소재공학,{'화': '5서252'}
2262,MSE2006-001,MSE2006,1,결정학,2,3.0,전공필수,[    0 57456 57456     0     0     0     0],김상섭,상대평가, ,2.94,신소재공학과-신소재공학,"{'화': '5서252', '수': '5서252'}"
2263,MSE2006-002,MSE2006,2,결정학,2,3.0,전공필수,[   0 8064 8064    0    0    0    0],김상섭,상대평가, ,2.94,신소재공학과-신소재공학,"{'화': '5서252', '수': '5서252'}"
2264,MSE2006-003,MSE2006,3,결정학,2,3.0,전공필수,[  0 112   0 112   0   0   0],이상진,상대평가, ,5.0,신소재공학과-신소재공학,"{'화': '5서452', '목': '5서452'}"
2265,MSE2009-001,MSE2009,1,물리금속학,3,3.0,전공선택,[112   0 112   0   0   0   0],김윤준,절대평가,"영어,English",4.2,기타-원어강의,"{'월': '5서260', '수': '5서260'}"
2266,MSE3001-001,MSE3001,1,재료공학실험 1,3,2.0,전공필수,[  0   0   0   0 510   0   0],조원승,절대평가, ,5.0,신소재공학과-신소재공학,{'금': '5서252'}
2267,MSE3001-002,MSE3001,2,재료공학실험 1,3,2.0,전공필수,[  0   0   0   0 510   0   0],김상섭,절대평가, ,,신소재공학과-신소재공학,{'금': '5서255'}
2268,MSE3001-003,MSE3001,3,재료공학실험 1,3,2.0,전공필수,[  0   0   0   0 510   0   0],최리노,절대평가, ,,신소재공학과-신소재공학,{'금': '5서452'}
2269,MSE3001-004,MSE3001,4,재료공학실험 1,3,2.0,전공필수,[  0   0   0   0 510   0   0],현승균,절대평가, ,4.25,신소재공학과-신소재공학,{'금': '5서351'}
2270,MSE3001-005,MSE3001,5,재료공학실험 1,3,2.0,전공필수,[  0   0   0   0 510   0   0],이기안,절대평가, ,4.5,신소재공학과-신소재공학,{'금': '5서353'}
2271,MSE3001-006,MSE3001,6,재료공학실험 1,3,2.0,전공필수,[     0      0      0      0 130560      0      0],김용선,절대평가, ,5.0,신소재공학과-신소재공학,{'금': '5서260'}
2272,MSE3001-007,MSE3001,7,재료공학실험 1,3,2.0,전공필수,[     0      0      0      0 130560      0      0],이정환,절대평가, ,,신소재공학과-신소재공학,{'금': '5서255'}
2273,MSE3001-008,MSE3001,8,재료공학실험 1,3,2.0,전공필수,[     0      0      0      0 130560      0      0],김윤준,절대평가, ,3.0,신소재공학과-신소재공학,{'금': '5서452'}
2274,MSE3003-001,MSE3003,1,재료열역학,3,3.0,전공필수,[57344     0 57344     0     0     0     0],이정환,절대평가,"영어,English",4.34,신소재공학과-신소재공학,"{'월': '5서260', '수': '5서260'}"
2275,MSE3003-002,MSE3003,2,재료열역학,3,3.0,전공필수,[   0 8064    0 8064    0    0    0],고원석,상대평가, ,4.67,신소재공학과-신소재공학,"{'화': '5서252', '목': '5서252'}"
2276,MSE3003-003,MSE3003,3,재료열역학,3,3.0,전공필수,[  0 112   0 112   0   0   0],김영재,상대평가, ,5.0,신소재공학과-신소재공학,"{'화': '5서255', '목': '5서255'}"
2277,MSE3009-001,MSE3009,1,전자재료물성,3,3.0,전공선택,[   0    0 8064 8064    0    0    0],함명관,상대평가, ,3.38,신소재공학과-신소재공학,"{'수': '5서260', '목': '5서260'}"
2278,MSE3009-002,MSE3009,2,전자재료물성,3,3.0,전공선택,[     0 516096      0 516096      0      0      0],이상진,상대평가, ,,신소재공학과-신소재공학,"{'화': '5서255', '목': '5서255'}"
2279,MSE3011-001,MSE3011,1,재료강도학,3,3.0,전공선택,[7182 7182    0    0    0    0    0],이기안,상대평가,선수,3.88,신소재공학과-신소재공학,"{'월': '5서255', '화': '5서255'}"
2280,MSE3025-001,MSE3025,1,반도체소자,3,3.0,전공선택,[  0 112   0 112   0   0   0],최리노,절대평가,"영어,English",4.0,기타-원어강의,"{'화': '5서260', '목': '5서260'}"
2281,MSE3025-002,MSE3025,2,반도체소자,3,3.0,전공선택,[   0 8064 8064    0    0    0    0],이문상,상대평가, ,4.48,신소재공학과-신소재공학,"{'화': '5서452', '수': '5서452'}"
2282,MSE3025-003,MSE3025,3,반도체소자,3,3.0,전공선택,[     0      0 516096      0      0      0      0],전정식,상대평가, ,1.0,신소재공학과-신소재공학,{'수': '5서255'}
2283,MSE3031-001,MSE3031,1,자원 리싸이클링 공학,3,3.0,전공선택,[     0 516096      0 516096      0      0      0],김영재,상대평가, ,,신소재공학과-신소재공학,"{'화': '5서260', '목': '5서260'}"
2284,MSE4001-001,MSE4001,1,신소재공학종합설계,4,4.0,전공필수,[  0   0   0   0 126 126   0],"고원석,김상현",Pass/Fail,선수,,신소재공학과-신소재공학,"{'금': '5북239', '토': '5서252'}"
2285,MSE4001-002,MSE4001,2,신소재공학종합설계,4,4.0,전공필수,[   0    0    0    0 8064  126    0],"예종필,김영재",Pass/Fail,선수,,신소재공학과-신소재공학,"{'금': '5북239', '토': '5서255'}"
2286,MSE4001-003,MSE4001,3,신소재공학종합설계,4,4.0,전공필수,[       0        0        0        0 33030270 33030270        0],"함명관,이문상",Pass/Fail,선수,,신소재공학과-신소재공학,"{'금': '5서452', '토': '5서452'}"
2287,MSE4005-001,MSE4005,1,복합재료,4,3.0,전공선택,[     0 465920 465920      0      0      0      0],조원승,상대평가, ,4.0,신소재공학과-신소재공학,"{'화': '5서260', '수': '5서260'}"
2288,MSE4006-001,MSE4006,1,전기화학소자,4,3.0,전공선택,[ 0 14 14  0  0  0  0],김용선,절대평가,"영어,English",4.72,신소재공학과-신소재공학,"{'화': '5서452', '수': '5서452'}"
2289,MSE4006-002,MSE4006,2,전기화학소자,4,3.0,전공선택,[  0 896 896   0   0   0   0],김용선,절대평가,"영어,English",4.72,기타-원어강의,"{'화': '5서255', '수': '5서255'}"
2290,MSE4007-001,MSE4007,1,나노물성 및 합성,4,3.0,전공선택,[     0 516096 516096      0      0      0      0],예종필,절대평가,"영어,English",4.43,기타-원어강의,"{'화': '5서452', '수': '5서452'}"
2291,MSE4024-001,MSE4024,1,나노소재와 소자응용,4,3.0,전공선택,[      0       0       0 2088960       0       0       0],"함명관,이문상",절대평가,"영어,English",,기타-원어강의,{'목': '5서252'}
