,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,department
108,APL2101-001,APL2101,1,물류관리론,전체,3.0,전공필수,[  0 112   0 112   0   0   0],김화중,상대평가, ,아태물류학부-물류학
109,APL2101-002,APL2101,2,물류관리론,전체,3.0,전공필수,[    0 57344     0 57344     0     0     0],정호상,상대평가, ,아태물류학부-물류학
110,APL2103-001,APL2103,1,국제물류론,전체,3.0,전공필수,[7168    0 7168    0    0    0    0],정해영,상대평가, ,아태물류학부-물류학
111,APL2103-002,APL2103,2,국제물류론,전체,3.0,전공필수,[516096      0      0      0      0      0      0],장영태,절대평가,"영어,English",아태물류학부-물류학
112,APL2105-001,APL2105,1,Business English 1,전체,3.0,전공필수,[14  0 14  0  0  0  0],제임스패턴,상대평가,English,아태물류학부-물류학
113,APL2105-002,APL2105,2,Business English 1,전체,3.0,전공필수,[112   0 112   0   0   0   0],제임스패턴,상대평가,English,기타-원어강의
114,APL2106-001,APL2106,1,Business English 2,전체,3.0,전공필수,[ 0 14  0 14  0  0  0],제임스패턴,상대평가,English,기타-원어강의
115,APL2106-002,APL2106,2,Business English 2,전체,3.0,전공필수,[  0 112   0 112   0   0   0],제임스패턴,상대평가,English,기타-원어강의
116,APL2207-001,APL2207,1,물류회계,전체,3.0,전공선택,[   0 7168    0 7168    0    0    0],이재형,절대평가,"영어,English",기타-원어강의
117,APL2207-002,APL2207,2,물류회계,전체,3.0,전공선택,[  0 896   0 896   0   0   0],이재형,절대평가,"영어, English",아태물류학부-물류학
118,APL2301-001,APL2301,1,화물운송론,전체,3.0,전공선택,[  0 112   0 112   0   0   0],박민영,상대평가, ,아태물류학부-물류학
119,APL2302-001,APL2302,1,물류의사결정론,전체,3.0,전공선택,[112   0 112   0   0   0   0],김용진,절대평가,"영어,English",아태물류학부-물류학
120,APL2404-001,APL2404,1,해상운송론,전체,3.0,전공선택,[     0 458752      0 458752      0      0      0],이상윤,상대평가, ,아태물류학부-물류학
121,APL2406-001,APL2406,1,항공물류론,전체,3.0,전공선택,[7168    0 7168    0    0    0    0],박용화,상대평가, ,아태물류학부-물류학
122,APL2501-001,APL2501,1,물류계량분석,전체,3.0,전공선택,[7168    0 7168    0    0    0    0],김태승,절대평가, ,아태물류학부-물류학
123,APL2502-001,APL2502,1,물류법의 이해,전체,3.0,전공선택,[4128768       0       0       0       0       0       0],김린,상대평가, ,아태물류학부-물류학
124,APL3307-001,APL3307,1,보관하역론,전체,3.0,전공선택,[   0 7168    0 7168    0    0    0],임현우,절대평가,"영어,English",아태물류학부-물류학
125,APL3413-001,APL3413,1,공항경영론,전체,3.0,전공선택,[112   0 112   0   0   0   0],박용화,절대평가, ,아태물류학부-물류학
126,APL4003-001,APL4003,1,GLOBA 논문 연구 2,4,3.0,전공선택,[  0 126   0   0   0   0   0],"하헌구,김종철",절대평가,"영어,English GLOBA전용",기타-원어강의
127,APL4226-001,APL4226,1,물류AI프로그래밍,전체,3.0,전공선택,[  0 240   0 240   0   0   0],남대식,절대평가, ,아태물류학부-물류학
128,APL4321-001,APL4321,1,물류비즈니스모델링,4,3.0,전공선택,[  0   0 126   0   0   0   0],김종철,절대평가,"영어, English",기타-원어강의
129,APL4418-001,APL4418,1,국제복합운송,전체,3.0,전공선택,[  0   0   0 126   0   0   0],김종철,절대평가,"영어,English GLOBA전용",기타-원어강의
130,APL4517-001,APL4517,1,수요예측,전체,3.0,전공선택,[    0 64512     0     0     0     0     0],유성용,절대평가,"영어,English",기타-원어강의
344,BUS3203-002,BUS3203,2,경영전략,전체,3.0,전공선택,[     0 516096      0      0      0      0      0],박기찬,상대평가, ,아태물류학부-물류학
