,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
1134,ENR1101-001,ENR1101,1,에너지자원과 미래,1,1.0,전공필수,[    0     0     0 24576     0     0     0],"김진,편석준,신현돈,이용길,권상기,조홍근",Pass/Fail, ,,에너지자원공학과-에너지자원공학,{'목': '2북463A'}
1135,ENR2102-001,ENR2102,1,유체역학,2,3.0,전공선택,[  0 112   0 112   0   0   0],조홍근,상대평가, ,,에너지자원공학과-에너지자원공학,"{'화': '2북463A', '목': '2북463A'}"
1136,ENR2104-001,ENR2104,1,에너지자원경제,전체,3.0,전공필수,[0 0 0 0 0 0 1],이용길,상대평가, ,4.7,기타-E-Learning,{'셀': '웹강의'}
1137,ENR2106-001,ENR2106,1,신재생에너지,2,3.0,전공선택,[ 0 14  0 14  0  0  0],신현돈,상대평가, ,4.67,에너지자원공학과-에너지자원공학,"{'화': '2북463A', '목': '2북463A'}"
1138,ENR2107-001,ENR2107,1,에너지열역학,2,3.0,전공선택,[  0 112   0 112   0   0   0],권상기,상대평가, ,5.0,에너지자원공학과-에너지자원공학,"{'화': '2북463B', '목': '2북463B'}"
1139,ENR2113-001,ENR2113,1,에너지자원지질,2,3.0,전공필수,[14  0 14  0  0  0  0],신현돈,상대평가, ,,에너지자원공학과-에너지자원공학,"{'월': '2북463A', '수': '2북463A'}"
1140,ENR3102-001,ENR3102,1,지구물리탐사,3,3.0,전공필수,[  0   0   0   0 126   0   0],강승구,상대평가, ,,에너지자원공학과-에너지자원공학,{'금': '2북463A'}
1141,ENR3103-001,ENR3103,1,지구통계학,3,3.0,전공선택,[   0 7168    0 7168    0    0    0],김진,절대평가,"영어, English",5.0,에너지자원공학과-에너지자원공학,"{'화': '2북463A', '목': '2북463A'}"
1142,ENR3111-001,ENR3111,1,에너지환경기술경영,3,3.0,전공선택,[1008 1008    0    0    0    0    0],이용길,절대평가,"영어, English",,기타-원어강의,"{'월': '2북463B', '화': '2북463B'}"
1143,ENR3202-001,ENR3202,1,암석역학 및 실험,3,4.0,전공선택,[   0 7168 7168 7680    0    0    0],권상기,절대평가,"영어, English",4.43,기타-원어강의,"{'화': '2북463B', '수': '2북463B', '목': '서-009'}"
1144,ENR3313-001,ENR3313,1,시추 및 지층평가공학,3,3.0,전공선택,[896   0 896   0   0   0   0],조홍근,절대평가,"영어, English",,에너지자원공학과-에너지자원공학,"{'월': '2북463B', '수': '2북463B'}"
1145,ENR3315-001,ENR3315,1,지오에너지공학개론,3,3.0,전공필수,[7680    0 7680    0    0    0    0],신현돈,절대평가,"영어, English",,기타-원어강의,"{'월': '2북463A', '수': '2북463A'}"
1146,ENR4104-001,ENR4104,1,풍력에너지,4,3.0,전공선택,[57344     0 57344     0     0     0     0],김진,절대평가,"영어, English",,기타-원어강의,"{'월': '2북463A', '수': '2북463A'}"
1147,ENR4105-001,ENR4105,1,순환경제,4,3.0,전공선택,[14 14  0  0  0  0  0],이용길,절대평가,"영어, English",,기타-원어강의,"{'월': '2북463B', '화': '2북463B'}"
1148,ENR4311-001,ENR4311,1,미래가스공학,4,3.0,전공선택,[     0 459648 459648      0      0      0      0],신현돈,상대평가, ,,에너지자원공학과-에너지자원공학,"{'화': '2북463A', '수': '2북463A'}"
1149,ENR4312-001,ENR4312,1,저류 모델링 및 시뮬레이션,4,3.0,전공선택,[57344     0 57344     0     0     0     0],조홍근,절대평가,"영어, English",,기타-원어강의,"{'월': '2북463B', '수': '2북463B'}"
