,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2036,IPS1443-001,IPS1443,1,연극사,1,3.0,전공선택,[    0     0     0     0 64512     0     0],김효진,상대평가, ,,연극영화학과-연극영화학,{'금': '5남234'}
2037,IPS1446-001,IPS1446,1,기초연기1,1,3.0,전공필수,[    0 64512     0     0     0     0     0],황정미,절대평가, ,5.0,연극영화학과-연극영화학,{'화': '5남231'}
2038,IPS1446-002,IPS1446,2,기초연기1,1,3.0,전공필수,[516096      0      0      0      0      0      0],강경동,절대평가, ,,연극영화학과-연극영화학,{'월': '5남231'}
2039,IPS1512-001,IPS1512,1,한국영화사,1,3.0,전공선택,[516096      0      0      0      0      0      0],노철환,상대평가, ,3.5,연극영화학과-연극영화학,{'월': '5남232'}
2040,IPS1513-001,IPS1513,1,영화개론,1,3.0,전공필수,[  0   0   0 126   0   0   0],노철환,상대평가, ,3.82,연극영화학과-연극영화학,{'목': '5동202'}
2041,IPS2309-001,IPS2309,1,영화연출론,2,3.0,전공선택,[   0    0 1008    0    0    0    0],이광훈,절대평가, ,5.0,연극영화학과-연극영화학,{'수': '5남234'}
2042,IPS2309-002,IPS2309,2,영화연출론,2,3.0,전공선택,[     0      0 516096      0      0      0      0],이광훈,절대평가, ,5.0,연극영화학과-연극영화학,{'수': '5남234'}
2043,IPS2349-001,IPS2349,1,촬영조명 1,2,2.0,전공선택,[   0 1008    0    0    0    0    0],김훈광,절대평가, ,3.5,연극영화학과-연극영화학,{'화': '5남234'}
2044,IPS2349-002,IPS2349,2,촬영조명 1,2,2.0,전공선택,[     0 516096      0      0      0      0      0],김훈광,절대평가, ,3.5,연극영화학과-연극영화학,{'화': '5남232'}
2045,IPS2436-001,IPS2436,1,무대연기,2,3.0,전공선택,[      0       0 4193280       0       0       0       0],황정미,절대평가, ,1.0,연극영화학과-연극영화학,{'수': '5남231'}
2046,IPS2469-001,IPS2469,1,뮤지컬 연기 실습 1,2,2.0,전공선택,[64512     0     0     0     0     0     0],최윤정,절대평가, ,5.0,연극영화학과-연극영화학,{'월': '5남237B'}
2047,IPS2471-001,IPS2471,1,무대 기술,2,2.0,전공선택,[   0 1008    0    0    0    0    0],박종화,절대평가, ,4.5,연극영화학과-연극영화학,{'화': '5남232'}
2048,IPS2645-001,IPS2645,1,디지털영상편집 1,2,2.0,전공선택,[126   0   0   0   0   0   0],노철환,절대평가, ,3.5,연극영화학과-연극영화학,{'월': '5남239'}
2049,IPS3322-001,IPS3322,1,시나리오 작법 2,3,3.0,전공선택,[   0 1008    0    0    0    0    0],이상범,절대평가, ,1.0,연극영화학과-연극영화학,{'화': '5서460'}
2050,IPS3322-002,IPS3322,2,시나리오 작법 2,3,3.0,전공선택,[   0    0    0    0 1008    0    0],박광춘,절대평가, ,,연극영화학과-연극영화학,{'금': '5남232'}
2051,IPS3454-001,IPS3454,1,기초연출실습,3,2.0,전공선택,[    0     0     0 64512     0     0     0],김효진,절대평가,캡스톤디자인,,연극영화학과-연극영화학,{'목': '7-309'}
2052,IPS3472-001,IPS3472,1,움직임 1,3,2.0,전공선택,[1008    0    0    0    0    0    0],강경동,절대평가, ,1.0,연극영화학과-연극영화학,{'월': '5남231'}
2053,IPS3473-001,IPS3473,1,미디어연기 1,3,3.0,전공선택,[   0    0    0 1008    0    0    0],박준혁,절대평가, ,5.0,연극영화학과-연극영화학,{'목': '7-309'}
2054,IPS3474-001,IPS3474,1,프로덕션 디자인,3,3.0,전공선택,[   0    0    0 1008    0    0    0],김미경,절대평가, ,3.0,연극영화학과-연극영화학,{'목': '5남234'}
2055,IPS3502-001,IPS3502,1,영화제작 1,3,3.0,전공선택,[     0      0      0      0 516096      0      0],박광춘,절대평가,캡스톤디자인,,연극영화학과-연극영화학,{'금': '5남333'}
2056,IPS4318-001,IPS4318,1,공연예술과 대중문화,4,3.0,전공선택,[     0 516096      0      0      0      0      0],이상범,상대평가, ,4.0,연극영화학과-연극영화학,{'화': '5서360'}
2057,IPS4332-001,IPS4332,1,홍보 마케팅 입문,4,3.0,전공선택,[     0      0      0 516096      0      0      0],노철환,상대평가, ,3.0,연극영화학과-연극영화학,{'목': '60주년-509'}
2058,IPS4341-001,IPS4341,1,다큐멘터리 기획과 제작,4,3.0,전공선택,[   0    0 1008    0    0    0    0],김훈광,절대평가, ,,연극영화학과-연극영화학,{'수': '5남232'}
2059,IPS4354-001,IPS4354,1,영화제작 3,4,2.0,전공선택,[    0 64512     0     0     0     0     0],이광훈,절대평가,캡스톤디자인,,연극영화학과-연극영화학,{'화': '5남234'}
2060,IPS4583-001,IPS4583,1,연극기획과제작,4,3.0,전공선택,[       0        0        0        0 33030144        0        0],김효진,절대평가,캡스톤디자인,1.0,연극영화학과-연극영화학,{'금': '7-123A'}
2061,IPS4620-001,IPS4620,1,오디션연기실습 1,4,3.0,전공선택,[    0     0     0 64512     0     0     0],황정미,절대평가, ,,연극영화학과-연극영화학,{'목': '5남231'}
