,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
1106,ENG1401-001,ENG1401,1,영어토론과프레젠테이션,1,3.0,전공필수,[896   0 896   0   0   0   0],홍성산,절대평가,English,4.56,영어영문학과-영어영문학,"{'월': '5남403', '수': '5남403'}"
1107,ENG1401-002,ENG1401,2,영어토론과프레젠테이션,1,3.0,전공필수,[7168    0 7168    0    0    0    0],홍성산,절대평가,English,4.56,영어영문학과-영어영문학,"{'월': '5남403', '수': '5남403'}"
1108,ENG1401-003,ENG1401,3,영어토론과프레젠테이션,1,3.0,전공필수,[896 896   0   0   0   0   0],조던,절대평가,English,4.17,영어영문학과-영어영문학,"{'월': '5남515', '화': '5남403'}"
1109,ENG1401-004,ENG1401,4,영어토론과프레젠테이션,1,3.0,전공필수,[57344 57344     0     0     0     0     0],조던,절대평가,English,4.17,기타-원어강의,"{'월': '5남515', '화': '5남403'}"
1110,ENG1402-001,ENG1402,1,영문학개론,1,3.0,전공필수,[112   0 112   0   0   0   0],김의영,절대평가, ,4.23,영어영문학과-영어영문학,"{'월': '5남515', '수': '5남451'}"
1111,ENG2201-001,ENG2201,1,영어학개론,2,3.0,전공필수,[     0 458752      0 458752      0      0      0],홍순현,상대평가, ,3.91,영어영문학과-영어영문학,"{'화': '5남451', '목': '5남451'}"
1112,ENG2201-002,ENG2201,2,영어학개론,2,3.0,전공필수,[     0      0 458752  57344      0      0      0],홍순현,절대평가,"영어,English",3.91,기타-원어강의,"{'수': '5남403', '목': '5남451'}"
1113,ENG2203-001,ENG2203,1,영문법,2,3.0,전공선택,[112 896   0   0   0   0   0],한승훈,상대평가, ,4.36,영어영문학과-영어영문학,"{'월': '5남451', '화': '5남515'}"
1114,ENG2204-001,ENG2204,1,영어독해의 이론과 실제,2,3.0,전공선택,[516096      0      0      0      0      0      0],한승훈,상대평가, ,5.0,영어영문학과-영어영문학,{'월': '5남451'}
1115,ENG2303-001,ENG2303,1,기술영어글쓰기,2,3.0,전공필수,[57344     0 57344     0     0     0     0],맥키,절대평가,English,4.33,영어영문학과-영어영문학,"{'월': '5남532', '수': '5남451'}"
1116,ENG2303-002,ENG2303,2,기술영어글쓰기,2,3.0,전공필수,[7168 7168    0    0    0    0    0],조던,절대평가,English,3.3,기타-원어강의,"{'월': '5남515', '화': '5남403'}"
1117,ENG2304-001,ENG2304,1,영어발음클리닉,전체,3.0,전공선택,[   0 7168 7168    0    0    0    0],홍순현,상대평가, ,4.0,영어영문학과-영어영문학,"{'화': '5남515', '수': '5남515'}"
1118,ENG2305-001,ENG2305,1,문화연구개론,2,3.0,전공선택,[ 0 14  0 14  0  0  0],유영종,상대평가, ,5.0,영어영문학과-영어영문학,"{'화': '5남451', '목': '5남451'}"
1119,ENG2401-001,ENG2401,1,표현영어글쓰기,2,3.0,전공선택,[57344     0 57344     0     0     0     0],홍성산,절대평가,English,3.42,영어영문학과-영어영문학,"{'월': '5남403', '수': '5남403'}"
1120,ENG2401-002,ENG2401,2,표현영어글쓰기,2,3.0,전공선택,[  0 896   0 896   0   0   0],맥키,절대평가,English,5.0,영어영문학과-영어영문학,"{'화': '5남451', '목': '5남451'}"
1121,ENG2402-001,ENG2402,1,영문학고전읽기,2,3.0,전공선택,[    0     0 57344 57344     0     0     0],김종석,상대평가, ,3.5,영어영문학과-영어영문학,"{'수': '5남515', '목': '5남515'}"
1122,ENG3009-001,ENG3009,1,번역의 이론과 실제,3,3.0,전공선택,[    0     0     0     0 64512     0     0],정회성,상대평가, ,4.53,영어영문학과-영어영문학,{'금': '5남515'}
1123,ENG3106-001,ENG3106,1,영국문학개관 1,3,3.0,전공선택,[   0 7168 7168    0    0    0    0],강지수,상대평가, ,4.2,영어영문학과-영어영문학,"{'화': '5남451', '수': '5남451'}"
1124,ENG3108-001,ENG3108,1,미국문학개관 1,3,3.0,전공선택,[  0 112   0 112   0   0   0],유영종,상대평가, ,4.83,영어영문학과-영어영문학,"{'화': '5남451', '목': '5남451'}"
1125,ENG3314-001,ENG3314,1,영미소설,3,3.0,전공선택,[7168    0    0  112    0    0    0],김종석,상대평가, ,4.4,영어영문학과-영어영문학,"{'월': '5남451', '목': '5남403'}"
1126,ENG3401-001,ENG3401,1,영미공연예술과 미디어,3,3.0,전공선택,[  0 112   0 112   0   0   0],김의영,상대평가, ,3.67,영어영문학과-영어영문학,"{'화': '5동102', '목': '5동102'}"
1127,ENG3404-001,ENG3404,1,고급영어토론과프레젠테이션,3,3.0,전공선택,[    0 57344     0 57344     0     0     0],맥키,절대평가,English,4.25,기타-원어강의,"{'화': '5남451', '목': '5남403'}"
1128,ENG3405-001,ENG3405,1,영국역사와문화,3,3.0,전공선택,[112   0 112   0   0   0   0],김종석,상대평가, ,4.67,영어영문학과-영어영문학,"{'월': '5남403', '수': '5남515'}"
1129,ENG3407-001,ENG3407,1,숏폼스토리텔링,3,3.0,전공선택,[    0     0  7168 57344     0     0     0],조성경,절대평가, ,,영어영문학과-영어영문학,"{'수': '5동102', '목': '5남532'}"
1130,ENG4304-001,ENG4304,1,미국다문화의 이해,4,3.0,전공선택,[ 0 14  0 14  0  0  0],김의영,상대평가, ,4.75,영어영문학과-영어영문학,"{'화': '5남515', '목': '5남515'}"
1131,ENG4305-001,ENG4305,1,영미시,4,3.0,전공선택,[     0 459648      0 459648      0      0      0],엄재덕,상대평가, ,5.0,영어영문학과-영어영문학,"{'화': '5남515', '목': '5남515'}"
1132,ENG4402-001,ENG4402,1,글로벌 셰익스피어,4,3.0,전공선택,[  0 112 112   0   0   0   0],강지수,절대평가,"영어,English",5.0,영어영문학과-영어영문학,"{'화': '5남403', '수': '5남403'}"
1133,ENG4403-001,ENG4403,1,디지털미디어서사연구,4,3.0,전공선택,[     0      0 458752 458752      0      0      0],조성경,절대평가,"영어,English",,기타-원어강의,"{'수': '5남451', '목': '5남517'}"
