,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
1213,FDT1305-001,FDT1305,1,패션비즈니스의이해,1,3.0,전공필수,[8064 8064    0    0    0    0    0],이현화,상대평가, ,4.66,의류디자인학과-의류디자인학,"{'월': '1-435', '화': '1-435'}"
1214,FDT1305-002,FDT1305,2,패션비즈니스의이해,전체,3.0,전공필수,[     0      0      0 516096      0      0      0],이현화,상대평가, ,4.66,의류디자인학과-의류디자인학,{'목': '1-522'}
1215,FDT1404-001,FDT1404,1,패션디자인론,1,3.0,전공선택,[  0 126   0   0   0   0   0],이주영,상대평가,(초빙교수)특수교과목,,의류디자인학과-의류디자인학,{'화': '1-522'}
1216,FDT1406-001,FDT1406,1,패션드로잉,1,3.0,전공선택,[1008    0    0    0    0    0    0],이규원,절대평가,실기전형,5.0,의류디자인학과-의류디자인학,{'월': '1-501'}
1217,FDT1406-002,FDT1406,2,패션드로잉,1,3.0,전공선택,[516096      0      0      0      0      0      0],이규원,절대평가,비실기전형,5.0,의류디자인학과-의류디자인학,{'월': '1-501'}
1218,FDT2104-001,FDT2104,1,어패럴메이킹,2,3.0,전공필수,[     0 261120      0      0      0      0      0],김현주,절대평가, ,,의류디자인학과-의류디자인학,{'화': '1-412'}
1219,FDT2104-002,FDT2104,2,어패럴메이킹,2,3.0,전공필수,[     0      0 261120      0      0      0      0],배지예,절대평가, ,,의류디자인학과-의류디자인학,{'수': '1-412'}
1220,FDT2206-001,FDT2206,1,의류생산과품질시험,3,3.0,전공필수,[    0     0 64512     0     0     0     0],나영주,절대평가, ,4.0,의류디자인학과-의류디자인학,{'수': '1-530'}
1221,FDT2206-002,FDT2206,2,의류생산과품질시험,3,3.0,전공필수,[    0     0     0 64512     0     0     0],나영주,절대평가, ,4.0,의류디자인학과-의류디자인학,{'목': '1-530'}
1222,FDT2209-001,FDT2209,1,패션섬유와신소재,2,3.0,전공선택,[516096      0      0      0      0      0      0],황나원,절대평가, ,,의류디자인학과-의류디자인학,{'월': '1-522'}
1223,FDT2304-001,FDT2304,1,의상사회심리,2,3.0,전공선택,[1008 1008    0    0    0    0    0],이미영,상대평가, ,4.87,의류디자인학과-의류디자인학,"{'월': '1-435', '화': '1-435'}"
1224,FDT2308-001,FDT2308,1,패션리테일기획,2,3.0,전공선택,[126   0   0   0   0   0   0],이현화,상대평가, ,4.42,의류디자인학과-의류디자인학,{'월': '1-522'}
1225,FDT2416-001,FDT2416,1,기초패션디자인,2,3.0,전공선택,[  0   0 126   0   0   0   0],이경진,절대평가, ,,의류디자인학과-의류디자인학,{'수': '1-501'}
1226,FDT2416-002,FDT2416,2,기초패션디자인,2,3.0,전공선택,[    0     0 64512     0     0     0     0],이경진,절대평가, ,,의류디자인학과-의류디자인학,{'수': '1-501'}
1227,FDT3104-001,FDT3104,1,테일러링,3,3.0,전공선택,[510   0   0   0   0   0   0],배지예,절대평가,블렌디드러닝(Blended Learning),,의류디자인학과-의류디자인학,{'월': '1-412'}
1228,FDT3209-001,FDT3209,1,의복환경학,2,3.0,전공선택,[  0   0   0 126   0   0   0],나영주,상대평가,원격활용교과목,4.0,의류디자인학과-의류디자인학,{'목': '1-522'}
1229,FDT3307-001,FDT3307,1,패션브랜드매니지먼트,3,3.0,전공선택,[516096      0      0      0      0      0      0],이정순,상대평가,플립드러닝(FL),,의류디자인학과-의류디자인학,{'월': '60주년-510'}
1230,FDT3310-001,FDT3310,1,디지털패션마케팅,3,3.0,전공선택,[     0 516096      0      0      0      0      0],"이미영,석지은",상대평가,1-430 동시사용 / PS 교과목 / 공동강의,5.0,의류디자인학과-의류디자인학,{'화': '1-522'}
1231,FDT3409-001,FDT3409,1,디자인트렌드와문화,3,3.0,전공선택,[  0   0 126   0   0   0   0],김성은,상대평가, ,,의류디자인학과-의류디자인학,{'수': '1-522'}
1232,FDT3415-001,FDT3415,1,패션캐드,2,3.0,전공선택,[  0   0   0 510   0   0   0],한지은,절대평가, ,4.22,의류디자인학과-의류디자인학,{'목': '1-430'}
1233,FDT3415-002,FDT3415,2,패션캐드,2,3.0,전공선택,[     0      0      0 261120      0      0      0],한지은,절대평가, ,4.22,의류디자인학과-의류디자인학,{'목': '1-430'}
1234,FDT3416-001,FDT3416,1,패션디자인1,3,3.0,전공선택,[  0 126   0   0   0   0   0],우주형,절대평가, ,,의류디자인학과-의류디자인학,{'화': '1-501'}
1235,FDT3416-002,FDT3416,2,패션디자인1,3,3.0,전공선택,[    0 64512     0     0     0     0     0],우주형,절대평가, ,,의류디자인학과-의류디자인학,{'화': '1-501'}
1236,FDT4109-001,FDT4109,1,테크니컬디자인실습,4,3.0,전공선택,[    0     0 64512     0     0     0     0],류경화,절대평가, ,,의류디자인학과-의류디자인학,{'수': '1-430'}
1237,FDT4209-001,FDT4209,1,3D어패럴캐드,4,3.0,전공선택,[  0 510   0   0   0   0   0],김지수,절대평가,캡스톤디자인,4.5,의류디자인학과-의류디자인학,{'화': '1-430'}
1238,FDT4414-001,FDT4414,1,패션액세서리디자인,4,3.0,전공선택,[   0    0    0 1008    0    0    0],최지희,절대평가,1-412 동시사용 / PS 교과목,4.5,의류디자인학과-의류디자인학,{'목': '1-501'}
1239,FDT4902-001,FDT4902,1,의류디자인학프로젝트,4,4.0,전공필수,[  0   0   0   0 510   0   0],"나영주,이미영,이현화",Pass/Fail,대표담당교수 - 이현화,,의류디자인학과-의류디자인학,{'금': '1-435'}
1240,FDT4902-002,FDT4902,2,의류디자인학프로젝트,4,4.0,전공필수,[261120      0      0      0      0      0      0],우주형,Pass/Fail,캡스톤디자인,,의류디자인학과-의류디자인학,{'월': '1-312'}
1241,FDT4902-003,FDT4902,3,의류디자인학프로젝트,4,4.0,전공필수,[261120      0      0      0      0      0      0],배윤지,Pass/Fail,캡스톤디자인,,의류디자인학과-의류디자인학,{'월': '1-412'}
1242,FDT4903-001,FDT4903,1,의류디자인학 연구방법론,4,3.0,전공선택,[126   0   0   0   0   0   0],이정순,상대평가,SPSS 전산실습실 배정,,의류디자인학과-의류디자인학,{'월': '5동116A'}
