,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2784,UMD1001-001,UMD1001,1,문제바탕 인체의 구조와 단면,1,10.0,전공필수,[2046 2046    0    0    0    0    0],"임명관,이경희,윤승환,최윤미,심유식,최정석,이성주,김현지,전윤상,신윤철,김일두",절대평가, ,,의학과-의학,"{'월': '60주년-327', '화': '60주년-327'}"
2785,UMD1002-001,UMD1002,1,기초의학총론,1,6.0,전공필수,[  0   0 126 126   0   0   0],"박창신,박헌주,한지영,이자경,곽지연,이성근,김루시아,최석진,한인옥,김일진",절대평가, ,,의학과-의학,"{'수': '60주년-327', '목': '60주년-327'}"
2786,UMD1003-001,UMD1003,1,감염과 면역Ⅰ,1,8.0,전공필수,[     0      0      0      0 261630      0      0],"박헌주,한지영,박윤규,김채균,차석호,신진욱,김일진,신민혜",절대평가, ,,의학과-의학,{'금': '60주년-327'}
2787,UMD1022-001,UMD1022,1,인공지능 개론,1,2.0,전공선택,[    0     0 15360     0     0     0     0],이현규,절대평가, ,,의학과-의학,{'수': '60주년-418'}
2788,UMD1023-001,UMD1023,1,의학영어,1,2.0,전공선택,[122880      0      0      0      0      0      0],제이슨햄,절대평가,English,,의학과-의학,{'월': '60주년-501'}
2789,UMD1023-002,UMD1023,2,의학영어,1,2.0,전공선택,[     0      0      0 983040      0      0      0],제이슨햄,절대평가,English,,의학과-의학,{'목': '60주년-501'}
2790,UMD2002-001,UMD2002,1,내분비계,2,6.0,전공필수,[126   0 126   0   0   0   0],"김은영,이자경,홍성빈,이지은,김루시아,한인옥,김소헌,문영아,안성희,이진욱,조용인,서다혜,김일진,유민영",상대평가, ,,의학과-의학,"{'월': '60주년-326', '수': '60주년-326'}"
2791,UMD2003-001,UMD2003,1,근골격계,2,3.0,전공필수,[516096      0      0      0      0      0      0],"박창신,김창환,조규정,김명옥,이동주,곽지연,김범수,권대규,전윤상,류동진,서유정",상대평가, ,,의학과-의학,{'월': '60주년-326'}
2792,UMD2004-001,UMD2004,1,생식기계,2,4.0,전공필수,[   0    0    0 7710 7710    0    0],"성도환,한지영,이자경,황성욱,류지간,곽지연,최석진,최수란,정두용,이방현,이정심,서유정,박신영",상대평가, ,,의학과-의학,"{'목': '60주년-326', '금': '60주년-326'}"
2793,UMD2005-001,UMD2005,1,신장 및 요로계,2,4.0,전공필수,[   0 8160    0 8160    0    0    0],"김미영,이승우,한지영,남정현,이자경,송준호,곽지연,이성근,황선덕,강동혁,정두용,김기표,김일진,김종원,유민영",상대평가, ,,의학과-의학,"{'화': '60주년-326', '목': '60주년-326'}"
2794,UMD2006-001,UMD2006,1,정신계,2,4.0,전공필수,[      0 1966110       0 1966110       0       0       0],"이정섭,배재남,김원형,김양식",상대평가, ,,의학과-의학,"{'화': '60주년-326', '목': '60주년-326'}"
2795,UMD2008-001,UMD2008,1,문제바탕학습Ⅱ,2,2.0,전공필수,[    0 15360     0     0     0     0     0],"최지호,김채균,김홍석,문영아,김지원",절대평가, ,,의학과-의학,{'화': '60주년-218'}
2796,UMD2008-002,UMD2008,2,문제바탕학습Ⅱ,2,2.0,전공필수,[    0 15360     0     0     0     0     0],"최지호,김채균,한인옥,이운규,권순욱",절대평가, ,,의학과-의학,{'화': '60주년-219'}
2797,UMD2008-003,UMD2008,3,문제바탕학습Ⅱ,2,2.0,전공필수,[    0 15360     0     0     0     0     0],"최지호,이운규,김홍석,김아진,임민경",절대평가, ,,의학과-의학,{'화': '60주년-220'}
2798,UMD2008-004,UMD2008,4,문제바탕학습Ⅱ,2,2.0,전공필수,[    0 15360     0     0     0     0     0],"최지호,이건영,박윤규,곽지연,문영아",절대평가, ,,의학과-의학,{'화': '60주년-221'}
2799,UMD2008-005,UMD2008,5,문제바탕학습Ⅱ,2,2.0,전공필수,[    0 15360     0     0     0     0     0],"박헌주,최지호,박윤규,차석호,김일진",절대평가, ,,의학과-의학,{'화': '60주년-222'}
2800,UMD2008-006,UMD2008,6,문제바탕학습Ⅱ,2,2.0,전공필수,[    0 15360     0     0     0     0     0],"최지호,한인옥,진영주,차종호,임민경",절대평가, ,,의학과-의학,{'화': '60주년-223'}
2801,UMD2008-007,UMD2008,7,문제바탕학습Ⅱ,2,2.0,전공필수,[    0 15360     0     0     0     0     0],"박헌주,성도환,최지호,곽지연,차종호",절대평가, ,,의학과-의학,{'화': '60주년-224'}
2802,UMD2008-008,UMD2008,8,문제바탕학습Ⅱ,2,2.0,전공필수,[    0 15360     0     0     0     0     0],"최지호,박현선,차석호,김윤희",절대평가, ,,의학과-의학,{'화': '60주년-225'}
2803,UMD2009-001,UMD2009,1,보건관리학,2,2.0,전공필수,[    0     0 15360     0     0     0     0],"이훈재,김윤희,임민경",상대평가, ,,의학과-의학,{'수': '60주년-326'}
2804,UMD2019-001,UMD2019,1,환경의학,2,2.0,전공필수,[1920    0    0    0    0    0    0],"임종한,박신구,김환철",상대평가, ,,의학과-의학,{'월': '60주년-326'}
2805,UMD2026-001,UMD2026,1,메디컬 커뮤니케이션,2,2.0,전공필수,[     0      0 983040      0      0      0      0],김종훈,Pass/Fail, ,,의학과-의학,{'수': '60주년-326'}
2806,UMD2027-002,UMD2027,2,의학연구 2,2,1.0,전공필수,[ 0  0  0  0 30  0  0],김경진,Pass/Fail, ,,의학과-의학,{'금': '연구실2'}
2807,UMD2027-004,UMD2027,4,의학연구 2,2,1.0,전공필수,[      0       0       0       0 7864320       0       0],김일진,Pass/Fail, ,,의학과-의학,{'금': '연구실4'}
