,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
85,AIE1001-001,AIE1001,1,객체지향프로그래밍 1,1,3.0,전공필수,[     0 983040  15360      0      0      0      0],김영성,절대평가, 
86,AIE1001-002,AIE1001,2,객체지향프로그래밍 1,1,3.0,전공필수,[     0 983040 983040      0      0      0      0],김영성,절대평가, 
87,AIE1003-001,AIE1003,1,인공지능 입문,1,2.0,전공필수,[  0   0 240   0   0   0   0],김도국,상대평가, 
88,AIE2001-001,AIE2001,1,자료구조,2,4.0,전공필수,[14  0 14  0 30  0  0],김병형,절대평가, 
89,AIE2001-002,AIE2001,2,자료구조,2,4.0,전공필수,[  14    0   14    0 7680    0    0],김병형,절대평가, 
90,AIE2003-001,AIE2003,1,선형대수,2,3.0,전공필수,[57344     0 57344     0     0     0     0],노설현,상대평가, 
91,AIE2005-001,AIE2005,1,파이썬기반응용프로그래밍,2,3.0,전공선택,[   0 7168    0 7168    0    0    0],이현규,상대평가, 
92,AIE2009-001,AIE2009,1,오픈소스SW개론,2,3.0,전공선택,[       0        0 33030144        0        0        0        0],김도국,상대평가, 
93,AIE3001-001,AIE3001,1,기계학습,3,3.0,전공필수,[112   0 112   0   0   0   0],김병형,상대평가, 
94,AIE3002-001,AIE3002,1,알고리즘,3,3.0,전공필수,[  0 112   0 112   0   0   0],김도국,상대평가, 
95,AIE3006-001,AIE3006,1,운영체제론,3,3.0,전공선택,[     0      0 465920 465920      0      0      0],송민석,상대평가, 
96,AIE3007-001,AIE3007,1,데이터베이스,3,3.0,전공선택,[896 896   0   0   0   0   0],서영덕,상대평가, 
97,AIE3010-001,AIE3010,1,컴퓨터구조론,3,3.0,전공선택,[7168    0    0    0 7168    0    0],최영규,상대평가, 
98,AIE4001-001,AIE4001,1,인공지능종합설계,전체,3.0,전공필수,[33030144        0        0        0        0        0        0],"이현규,김병형",상대평가, 
99,AIE4003-001,AIE4003,1,강화학습,4,3.0,전공선택,[ 0 14  0 14  0  0  0],김병형,상대평가, 
