,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2106,JPN1001-001,JPN1001,1,일본어연습 1,1,3.0,전공선택,[112   0 112   0   0   0   0],민병찬,상대평가, ,4.77,일본언어문화학과-일본언어문화,"{'월': '5남518', '수': '5남518'}"
2107,JPN1001-002,JPN1001,2,일본어연습 1,1,3.0,전공선택,[7168    0 7168    0    0    0    0],민병찬,상대평가, ,4.77,일본언어문화학과-일본언어문화,"{'월': '5남518', '수': '5남518'}"
2108,JPN1003-001,JPN1003,1,일본어문법 1,2,3.0,전공선택,[    0     0 64512 64512     0     0     0],박강훈,상대평가, ,5.0,일본언어문화학과-일본언어문화,"{'수': '5남518', '목': '5남518'}"
2109,JPN1106-001,JPN1106,1,일본언어문화학입문,1,3.0,전공선택,[     0      0 516096      0      0      0      0],이성규,상대평가, ,,일본언어문화학과-일본언어문화,{'수': '5남331'}
2110,JPN2003-001,JPN2003,1,일본어작문 1,2,3.0,전공선택,[     0 458864 458864      0      0      0      0],민병찬,상대평가, ,4.47,일본언어문화학과-일본언어문화,"{'화': '5남518', '수': '5남518'}"
2111,JPN2020-001,JPN2020,1,일본어강독 1,2,3.0,전공선택,[57456     0 57456     0     0     0     0],박강훈,상대평가, ,2.5,일본언어문화학과-일본언어문화,"{'월': '5남503', '수': '5남503'}"
2112,JPN2022-001,JPN2022,1,일본문학의 이해,2,3.0,전공선택,[  0   0 896   0 896   0   0],이가현,상대평가, ,,일본언어문화학과-일본언어문화,"{'수': '5남518', '금': '5남518'}"
2113,JPN3013-001,JPN3013,1,일본어통역번역연습,4,3.0,전공선택,[   0    0 7168 7168    0    0    0],모세종,상대평가, ,,일본언어문화학과-일본언어문화,"{'수': '5남103', '목': '5남103'}"
2114,JPN3014-001,JPN3014,1,일본어표현연습,3,3.0,전공선택,[465920 465920      0      0      0      0      0],민병찬,상대평가, ,5.0,일본언어문화학과-일본언어문화,"{'월': '5남518', '화': '5남518'}"
2115,JPN3020-001,JPN3020,1,일본근·현대소설,3,3.0,전공선택,[   0    0 7168    0 7168    0    0],이가현,상대평가, ,4.0,일본언어문화학과-일본언어문화,"{'수': '5남503', '금': '5남503'}"
2116,JPN3022-001,JPN3022,1,일본문학산책,4,3.0,전공선택,[  0   0 112   0 112   0   0],김정희,상대평가, ,,일본언어문화학과-일본언어문화,"{'수': '5동208A', '금': '5동208A'}"
2117,JPN3025-001,JPN3025,1,일본 근현대 문화,2,3.0,전공선택,[     0 516096      0      0      0      0      0],임용택,상대평가, ,3.58,일본언어문화학과-일본언어문화,{'화': '5남505'}
2118,JPN4001-001,JPN4001,1,일본어토론과 프레젠테이션,4,3.0,전공선택,[1008    0 1008    0    0    0    0],박강훈,절대평가,"일본어,Japanese",,기타-원어강의,"{'월': '5남503', '수': '5남503'}"
2119,JPN4016-001,JPN4016,1,제이팝일본어,3,3.0,전공선택,[     0      0 516096      0      0      0      0],"모세종,송수진",절대평가, ,3.0,일본언어문화학과-일본언어문화,{'수': '5남025'}
2120,JPN4018-001,JPN4018,1,한일관계의 어제와 오늘,3,3.0,전공선택,[  0 112   0 112   0   0   0],모세종,상대평가, ,,일본언어문화학과-일본언어문화,"{'화': '5남503', '목': '5남503'}"
