,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
1001,EEE1001-001,EEE1001,1,창의적 전기공학설계,전체,3.0,전공필수,[   0 7168 7168    0    0    0    0],이천,상대평가, ,2.21,전기공학과-전기공학,"{'화': '하-601', '수': '하-601'}"
1002,EEE1001-002,EEE1001,2,창의적 전기공학설계,전체,3.0,전공필수,[   0    0    0    0 1008    0    0],신영균,상대평가, ,3.25,전기공학과-전기공학,{'금': '하-601'}
1003,EEE2001-001,EEE2001,1,회로이론 1,2,3.0,전공필수,[7168 7168    0    0    0    0    0],김태인,절대평가,"영어,English",4.5,기타-원어강의,"{'월': '하-224', '화': '하-224'}"
1004,EEE2001-002,EEE2001,2,회로이론 1,2,3.0,전공필수,[ 0 14  0 14  0  0  0],전재훈,상대평가, ,3.71,전기공학과-전기공학,"{'화': '하-132', '목': '하-132'}"
1005,EEE2001-003,EEE2001,3,회로이론 1,2,3.0,전공필수,[   0 7168    0    0 7168    0    0],전재훈,상대평가, ,3.71,전기공학과-전기공학,"{'화': '하-132', '금': '하-132'}"
1006,EEE2003-001,EEE2003,1,전기자기학 1,2,3.0,전공필수,[  0   0 112 112   0   0   0],신백균,상대평가, ,4.44,전기공학과-전기공학,"{'수': '하-132', '목': '하-132'}"
1007,EEE2003-002,EEE2003,2,전기자기학 1,2,3.0,전공필수,[     0      0 458752 458752      0      0      0],신백균,상대평가, ,4.44,전기공학과-전기공학,"{'수': '하-132', '목': '하-132'}"
1008,EEE2006-001,EEE2006,1,기초실험 1,2,1.0,전공필수,[7864320       0       0       0       0       0       0],김대유,절대평가, ,,전기공학과-전기공학,{'월': '하-332'}
1009,EEE2006-002,EEE2006,2,기초실험 1,2,1.0,전공필수,[      0 7864320       0       0       0       0       0],최길수,절대평가, ,,전기공학과-전기공학,{'화': '하-332'}
1010,EEE2006-003,EEE2006,3,기초실험 1,2,1.0,전공필수,[      0       0 7864320       0       0       0       0],원종훈,절대평가, ,5.0,전기공학과-전기공학,{'수': '하-332'}
1011,EEE2006-004,EEE2006,4,기초실험 1,2,1.0,전공필수,[      0       0       0 7864320       0       0       0],이천,절대평가, ,3.0,전기공학과-전기공학,{'목': '하-332'}
1012,EEE2006-005,EEE2006,5,기초실험 1,2,1.0,전공필수,[ 0  0  0  0 30  0  0],신백균,절대평가, ,4.0,전기공학과-전기공학,{'금': '하-332'}
1013,EEE2006-006,EEE2006,6,기초실험 1,2,1.0,전공필수,[  0   0   0   0 480   0   0],조영근,절대평가, ,5.0,전기공학과-전기공학,{'금': '하-332'}
1014,EEE2008-001,EEE2008,1,전자회로 1,3,3.0,전공필수,[458752 458752      0      0      0      0      0],김태인,상대평가, ,4.5,전기공학과-전기공학,"{'월': '하-강당', '화': '하-강당'}"
1015,EEE2008-002,EEE2008,2,전자회로 1,3,3.0,전공필수,[    0     0     0 57344    14     0     0],전재훈,상대평가, ,4.67,전기공학과-전기공학,"{'목': '하-224', '금': '하-132'}"
1016,EEE2201-001,EEE2201,1,전기전자물성,2,3.0,전공필수,[458864 458864      0      0      0      0      0],이천,상대평가, ,2.7,전기공학과-전기공학,"{'월': '하-132', '화': '하-132'}"
1017,EEE2201-002,EEE2201,2,전기전자물성,2,3.0,전공필수,[458864 458864      0      0      0      0      0],이천,상대평가, ,2.7,전기공학과-전기공학,"{'월': '하-132', '화': '하-132'}"
1018,EEE3002-001,EEE3002,1,전기회로실험,3,1.0,전공필수,[  0   0   0   0 240   0   0],김광기,절대평가, ,4.29,전기공학과-전기공학,{'금': '하-005'}
1019,EEE3002-002,EEE3002,2,전기회로실험,3,1.0,전공필수,[   0    0    0    0 7680    0    0],김광기,절대평가, ,4.29,전기공학과-전기공학,{'금': '하-005'}
1020,EEE3002-003,EEE3002,3,전기회로실험,3,1.0,전공필수,[     0      0      0      0 122880      0      0],김광기,절대평가, ,4.29,전기공학과-전기공학,{'금': '하-005'}
1021,EEE3002-004,EEE3002,4,전기회로실험,3,1.0,전공필수,[  0   0   0   0 240   0   0],김재국,절대평가, ,4.46,전기공학과-전기공학,{'금': '하-006'}
