,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,department
1905,ICE1001-001,ICE1001,1,정보통신입문,1,3.0,전공필수,[910   0 910   0   0   0   0],이승걸,상대평가, ,정보통신공학과-정보통신공학
1906,ICE1001-002,ICE1001,2,정보통신입문,1,3.0,전공필수,[910   0 910   0   0   0   0],이승걸,상대평가, ,정보통신공학과-정보통신공학
1907,ICE1001-003,ICE1001,3,정보통신입문,1,3.0,전공필수,[   0 7168    0 7168    0    0    0],최원익,상대평가, ,정보통신공학과-정보통신공학
1911,ICE2002-001,ICE2002,1,회로이론,2,3.0,전공필수,[   0 7168    0 7168    0    0    0],서영교,상대평가, ,정보통신공학과-정보통신공학
1912,ICE2002-002,ICE2002,2,회로이론,2,3.0,전공필수,[    0 57344     0 57344     0     0     0],서영교,상대평가, ,정보통신공학과-정보통신공학
1913,ICE2002-003,ICE2002,3,회로이론,2,3.0,전공필수,[      0 3670016       0 3670016       0       0       0],서영교,상대평가, ,정보통신공학과-정보통신공학
1914,ICE2003-001,ICE2003,1,전자기학 1,2,3.0,전공필수,[  0 112   0 112   0   0   0],오범환,상대평가,선수,정보통신공학과-정보통신공학
1915,ICE2003-002,ICE2003,2,전자기학 1,2,3.0,전공필수,[    0 57344     0 57344     0     0     0],오범환,상대평가,선수,정보통신공학과-정보통신공학
1916,ICE2003-003,ICE2003,3,전자기학 1,2,3.0,전공필수,[458752      0 458752      0      0      0      0],김대찬,상대평가,선수,정보통신공학과-정보통신공학
1917,ICE2006-001,ICE2006,1,정보통신기초설계/실습 1,2,1.0,전공필수,[30  0  0  0  0  0  0],이상곤,절대평가, ,정보통신공학과-정보통신공학
1918,ICE2006-002,ICE2006,2,정보통신기초설계/실습 1,2,1.0,전공필수,[1920    0    0    0    0    0    0],이상곤,절대평가, ,정보통신공학과-정보통신공학
1919,ICE2006-003,ICE2006,3,정보통신기초설계/실습 1,2,1.0,전공필수,[122880      0      0      0      0      0      0],이상곤,절대평가, ,정보통신공학과-정보통신공학
1920,ICE2006-004,ICE2006,4,정보통신기초설계/실습 1,2,1.0,전공필수,[ 0  0 30  0  0  0  0],이상곤,절대평가, ,정보통신공학과-정보통신공학
1921,ICE2006-005,ICE2006,5,정보통신기초설계/실습 1,2,1.0,전공필수,[   0    0 1920    0    0    0    0],이상곤,절대평가, ,정보통신공학과-정보통신공학
1922,ICE2006-006,ICE2006,6,정보통신기초설계/실습 1,2,1.0,전공필수,[     0      0 122880      0      0      0      0],이상곤,절대평가, ,정보통신공학과-정보통신공학
1923,ICE2006-007,ICE2006,7,정보통신기초설계/실습 1,2,1.0,전공필수,[  0   0   0   0 240   0   0],이한호,절대평가, ,정보통신공학과-정보통신공학
1924,ICE2013-001,ICE2013,1,객체지향프로그래밍 응용,2,3.0,전공선택,[122880      0      0 122880      0      0      0],김유성,절대평가,선수,정보통신공학과-정보통신공학
1925,ICE2013-002,ICE2013,2,객체지향프로그래밍 응용,2,3.0,전공선택,[ 0 30  0  0 30  0  0],최학남,절대평가,선수,정보통신공학과-정보통신공학
1926,ICE2013-003,ICE2013,3,객체지향프로그래밍 응용,2,3.0,전공선택,[   0 1920    0    0 1920    0    0],최학남,절대평가,선수,정보통신공학과-정보통신공학
1927,ICE3002-001,ICE3002,1,확률변수론,3,3.0,전공선택,[  0   0 896   0 896   0   0],김춘우,상대평가, ,정보통신공학과-정보통신공학
1928,ICE3002-002,ICE3002,2,확률변수론,3,3.0,전공선택,[   0 7168    0 7168    0    0    0],유상조,상대평가, ,정보통신공학과-정보통신공학
1929,ICE3008-001,ICE3008,1,전파공학,3,3.0,전공선택,[   0 1008 1008    0    0    0    0],박대영,상대평가, ,정보통신공학과-정보통신공학
1930,ICE3013-001,ICE3013,1,시스템프로그래밍,3,3.0,전공선택,[14  0 14  0  0  0  0],김기창,절대평가,"영어,English",기타-원어강의
1931,ICE3013-002,ICE3013,2,시스템프로그래밍,3,3.0,전공선택,[ 0 14  0 14  0  0  0],김기창,절대평가,"영어,English",정보통신공학과-정보통신공학
1932,ICE3013-003,ICE3013,3,시스템프로그래밍,3,3.0,전공선택,[  0 112   0 112   0   0   0],김기창,절대평가,"영어,English",기타-원어강의
1933,ICE3015-001,ICE3015,1,임베디드시스템설계,3,4.0,전공선택,[480 112   0 112   0   0   0],박재현,절대평가,선수,정보통신공학과-정보통신공학
1934,ICE3015-002,ICE3015,2,임베디드시스템설계,3,4.0,전공선택,[    7680        0 33030144        0        0        0        0],박재현,절대평가,선수,정보통신공학과-정보통신공학
1935,ICE3020-001,ICE3020,1,알고리즘설계,3,4.0,전공선택,[    0    14 15360    14     0     0     0],최원익,절대평가,"통합 이론 강의(분반 별 실습 강의),선수",정보통신공학과-정보통신공학
1936,ICE3020-002,ICE3020,2,알고리즘설계,3,4.0,전공선택,[    0    14 15360    14     0     0     0],최원익,절대평가,"통합 이론 강의(분반 별 실습 강의),선수",정보통신공학과-정보통신공학
1937,ICE4005-001,ICE4005,1,디지털시스템설계,4,4.0,전공선택,[7168    0 7168  240    0    0    0],이한호,절대평가,"통합 이론 강의(분반 별 실습 강의),선수",정보통신공학과-정보통신공학
1938,ICE4005-002,ICE4005,2,디지털시스템설계,4,4.0,전공선택,[7168    0 7168 7680    0    0    0],이한호,절대평가,"통합 이론 강의(분반 별 실습 강의),선수",정보통신공학과-정보통신공학
1939,ICE4024-001,ICE4024,1,정보통신종합설계,4,3.0,전공필수,[  0   0   0   0   0 510   0],"박재현,이한호",Pass/Fail,선수,정보통신공학과-정보통신공학
1940,ICE4024-002,ICE4024,2,정보통신종합설계,4,3.0,전공필수,[      0       0       0 7864350       0 7864350       0],"김유성,최원익",Pass/Fail,선수,정보통신공학과-정보통신공학
1941,ICE4024-003,ICE4024,3,정보통신종합설계,4,3.0,전공필수,[      0       0       0 7864350       0 7864350       0],"유상조,박대영",Pass/Fail,선수,정보통신공학과-정보통신공학
1942,ICE4024-004,ICE4024,4,정보통신종합설계,4,3.0,전공필수,[  0   0   0   0   0 510   0],"이승걸,서영교",Pass/Fail,선수,정보통신공학과-정보통신공학
1943,ICE4024-005,ICE4024,5,정보통신종합설계,4,3.0,전공필수,[      0       0       0 7864350       0 7864350       0],"김춘우,오범환,박인규",Pass/Fail,선수,정보통신공학과-정보통신공학
1944,ICE4024-006,ICE4024,6,정보통신종합설계,4,3.0,전공필수,[      0       0       0 7864350       0 7864350       0],"김학일,이용우",Pass/Fail,선수,정보통신공학과-정보통신공학
1945,ICE4024-007,ICE4024,7,정보통신종합설계,4,3.0,전공필수,[  0   0 510   0   0   0   0],박인규,Pass/Fail,"BEU 학생 전용, 영어, English,선수",기타-원어강의
1946,ICE4027-001,ICE4027,1,디지털영상처리설계,4,4.0,전공선택,[458752      0 458752      0    480      0      0],박인규,절대평가,"통합 이론 강의(분반 별 실습 강의),선수",정보통신공학과-정보통신공학
1947,ICE4027-002,ICE4027,2,디지털영상처리설계,4,4.0,전공선택,[458752      0 458752      0  15360      0      0],박인규,절대평가,"통합 이론 강의(분반 별 실습 강의),선수",정보통신공학과-정보통신공학
1948,ICE4032-001,ICE4032,1,시스템반도체설계,4,3.0,전공선택,[458752      0 458752      0      0      0      0],"이한호,서영교",상대평가,선수,정보통신공학과-정보통신공학
1949,ICE4032-002,ICE4032,2,시스템반도체설계,4,3.0,전공선택,[458752      0 458752      0      0      0      0],"이한호,서영교",상대평가,선수,정보통신공학과-정보통신공학
1950,ICE4033-001,ICE4033,1,인터넷프로토콜,4,3.0,전공선택,[ 0 14  0 14  0  0  0],유상조,상대평가, ,정보통신공학과-정보통신공학
1951,ICE4033-002,ICE4033,2,인터넷프로토콜,4,3.0,전공선택,[     0 458752      0 458752      0      0      0],유상조,절대평가,"영어,English/BEU 학생 전용 분반",정보통신공학과-정보통신공학
1952,ICE4104-001,ICE4104,1,인공지능 응용,4,3.0,전공선택,[  0   0 240   0  30   0   0],이용우,절대평가,선수,정보통신공학과-정보통신공학
1953,ICE4130-001,ICE4130,1,컴퓨터비전,4,3.0,전공선택,[57344     0 57344     0     0     0     0],박인규,절대평가,"영어,English/ISEP,BEU 학생 전용 분반,선수",정보통신공학과-정보통신공학
