,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2617,POL1001-001,POL1001,1,국제정치학개론,전체,3.0,전공필수,[   0    0 7168 7168    0    0    0],정재환,상대평가, ,,정치외교학과-정치외교학,"{'수': '9-412', '목': '9-412'}"
2618,POL1202-001,POL1202,1,비교정치의 이해,전체,3.0,전공필수,[    0     0     0     0 64512     0     0],김현진,상대평가, ,,정치외교학과-정치외교학,{'금': '6-520'}
2619,POL2121-001,POL2121,1,정당과 선거,전체,3.0,전공선택,[     0      0      0      0 516096      0      0],이시성,상대평가, ,4.5,정치외교학과-정치외교학,{'금': '9-412'}
2620,POL2134-001,POL2134,1,여론과 선전,전체,3.0,전공선택,[     0      0      0 516096      0      0      0],윤상진,상대평가, ,3.0,정치외교학과-정치외교학,{'목': '9-414'}
2621,POL2146-001,POL2146,1,현대정치사상,전체,3.0,전공선택,[  0   0   0   0 126   0   0],박상희,상대평가, ,4.28,정치외교학과-정치외교학,{'금': '9-414'}
2622,POL2147-001,POL2147,1,근세한국의 정치사상,전체,3.0,전공선택,[516096      0      0      0      0      0      0],김정호,상대평가, ,4.0,정치외교학과-정치외교학,{'월': '9-412'}
2623,POL2236-001,POL2236,1,고중세 서양정치사상,전체,3.0,전공선택,[    0     0     0     0 64512     0     0],박상희,상대평가, ,4.08,정치외교학과-정치외교학,{'금': '9-414'}
2624,POL3114-001,POL3114,1,중국의 정치와 사상,전체,3.0,전공선택,[     0      0 516096      0      0      0      0],김정호,상대평가, ,,정치외교학과-정치외교학,{'수': '9-412'}
2625,POL3127-001,POL3127,1,미국정치,전체,3.0,전공선택,[112 112   0   0   0   0   0],최준영,상대평가, ,4.86,정치외교학과-정치외교학,"{'월': '9-412', '화': '9-412'}"
2626,POL3136-001,POL3136,1,현대국제정치이론,전체,3.0,전공선택,[  0   0 112 112   0   0   0],정재환,상대평가, ,5.0,정치외교학과-정치외교학,"{'수': '9-412', '목': '9-412'}"
2627,POL3137-001,POL3137,1,외교실무의 이해,전체,3.0,전공선택,[    0 64512     0     0     0     0     0],이정관,상대평가, ,,정치외교학과-정치외교학,{'화': '9-414'}
2628,POL3139-001,POL3139,1,데이터사이언스로서의 정치학 입문,전체,3.0,전공선택,[   0 1008    0    0    0    0    0],김유진,상대평가, ,,정치외교학과-정치외교학,{'화': '9-319'}
2629,POL3141-001,POL3141,1,러시아동구정치론,전체,3.0,전공선택,[     0      0 458752 458752      0      0      0],성동기,상대평가, ,4.29,정치외교학과-정치외교학,"{'수': '6-520', '목': '6-520'}"
2630,POL3144-001,POL3144,1,일본의 정치와 외교,전체,3.0,전공선택,[     0 516096      0      0      0      0      0],이명찬,상대평가, ,,정치외교학과-정치외교학,{'화': '6-426'}
2631,POL4117-001,POL4117,1,근대 한국의 정치와 외교,전체,3.0,전공선택,[896   0 896   0   0   0   0],김정호,상대평가, ,,정치외교학과-정치외교학,"{'월': '9-602', '수': '9-602'}"
2632,POL4125-001,POL4125,1,유럽정치,전체,3.0,전공선택,[  0 112   0 112   0   0   0],조경희,상대평가, ,,정치외교학과-정치외교학,"{'화': '6-425', '목': '6-426'}"
2633,POL4129-001,POL4129,1,미국외교정책론,전체,3.0,전공선택,[     0      0 516096      0      0      0      0],이우태,상대평가, ,4.27,정치외교학과-정치외교학,{'수': '9-414'}
2634,POL4139-001,POL4139,1,정치학연습 1,4,3.0,전공선택,[     0 516096      0      0      0      0      0],남창희,Pass/Fail, ,3.75,정치외교학과-정치외교학,{'화': '9-412'}
2635,POL4147-001,POL4147,1,중국의 정치와 외교,전체,3.0,전공선택,[     0      0      0 516096      0      0      0],장영덕,상대평가, ,4.67,정치외교학과-정치외교학,{'목': '9-412'}
2636,POL4247-001,POL4247,1,동아시아 공공외교사,전체,3.0,전공선택,[516096      0      0      0      0      0      0],박경민,상대평가, ,,정치외교학과-정치외교학,{'월': '9-414'}
2637,POL4248-001,POL4248,1,공공외교의 이해,전체,3.0,전공선택,[   0 7168 7168    0    0    0    0],이진영,상대평가, ,4.44,정치외교학과-정치외교학,"{'화': '6-426', '수': '6-426'}"
2638,POL4251-001,POL4251,1,정체성의 정치와 세계시민교육,전체,3.0,전공선택,[  0 112 112   0   0   0   0],이진영,상대평가, ,4.25,정치외교학과-정치외교학,"{'화': '9-414', '수': '9-414'}"
