,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2367,NOE1011-001,NOE1011,1,조선해양공학개론,1,3.0,전공선택,[516096      0      0 516096      0      0      0],이경호,절대평가,"영어,English",4.83,기타-원어강의,"{'월': '2북467', '목': '2북467'}"
2368,NOE2001-001,NOE2001,1,동역학,2,3.0,전공필수,[458766 458766      0      0      0      0      0],정준모,상대평가, ,3.0,조선해양공학과-조선해양공학,"{'월': '60주년-108', '화': '60주년-108'}"
2369,NOE2002-001,NOE2002,1,재료역학 1,2,3.0,전공필수,[458766 458766      0      0      0      0      0],정준모,상대평가, ,3.45,조선해양공학과-조선해양공학,"{'월': '60주년-201', '화': '60주년-201'}"
2370,NOE2005-001,NOE2005,1,조선해양공학세미나 1,2,1.0,전공필수,[    0     0     0     0 98304     0     0],송순석,Pass/Fail, ,4.33,조선해양공학과-조선해양공학,{'금': '60주년-507'}
2371,NOE2030-001,NOE2030,1,열역학,2,3.0,전공선택,[  0   0   0   0 126   0   0],이영길,상대평가, ,3.03,조선해양공학과-조선해양공학,{'금': '2북467'}
2372,NOE2312-001,NOE2312,1,IT융합공학 및 실습,2,3.0,전공필수,[7168    0  896    0    0    0    0],이경호,절대평가, ,4.33,조선해양공학과-조선해양공학,"{'월': '2북467', '수': '2북478'}"
2373,NOE2312-002,NOE2312,2,IT융합공학 및 실습,2,3.0,전공필수,[64512 64512     0     0     0     0     0],이장현,절대평가, ,3.75,조선해양공학과-조선해양공학,"{'월': '2북466', '화': '2북466'}"
2374,NOE3001-001,NOE3001,1,조선해양공학세미나 2,3,1.0,전공필수,[    0     0     0     0 98304     0     0],이경호,Pass/Fail, ,5.0,조선해양공학과-조선해양공학,{'금': '2북467'}
2375,NOE3013-001,NOE3013,1,수치해석,3,3.0,전공선택,[ 0 14 14  0  0  0  0],송순석,절대평가,"영어,English",4.76,기타-원어강의,"{'화': '2북466', '수': '2북466'}"
2376,NOE3101-001,NOE3101,1,저항론,3,3.0,전공선택,[  0 112 112   0   0   0   0],송순석,절대평가,"영어,English",4.89,조선해양공학과-조선해양공학,"{'화': '2북466', '수': '2북466'}"
2377,NOE3301-001,NOE3301,1,IT기반조선해양설계시스템,3,3.0,전공선택,[64512     0 64512     0     0     0     0],이경호,상대평가, ,2.69,조선해양공학과-조선해양공학,"{'월': '2북467', '수': '2북467'}"
2378,NOE3405-001,NOE3405,1,해양계류시스템동력학,3,3.0,전공선택,[458752      0      0   7168      0      0      0],구원철,절대평가,"영어,English",4.5,기타-원어강의,"{'월': '2북466', '목': '2북467'}"
2379,NOE3417-001,NOE3417,1,해양공학실험,3,3.0,전공선택,[        0         0 268369920         0         0         0         0],조철희,절대평가, ,4.0,조선해양공학과-조선해양공학,{'수': '2북467'}
2380,NOE3417-002,NOE3417,2,해양공학실험,3,3.0,전공선택,[        0         0 268369920         0         0         0         0],구원철,절대평가, ,3.17,조선해양공학과-조선해양공학,{'수': '2북466'}
2381,NOE4037-001,NOE4037,1,조선해양공학연구프로젝트 1,4,1.0,전공선택,[    0     0     0     0 98304     0     0],정준모,Pass/Fail, ,5.0,조선해양공학과-조선해양공학,{'금': '2북466'}
2382,NOE4040-001,NOE4040,1,조선해양기술/경영특강,전체,3.0,전공선택,[     0 516096      0      0      0      0      0],남상훈,절대평가, ,,조선해양공학과-조선해양공학,{'화': '2북467'}
2383,NOE4109-001,NOE4109,1,선박기본설계,4,3.0,전공선택,[ 0 14 14  0  0  0  0],백광준,상대평가, ,4.0,조선해양공학과-조선해양공학,"{'화': '2북467', '수': '2북467'}"
2384,NOE4306-001,NOE4306,1,열전달,3,3.0,전공선택,[    0 64512 64512     0     0     0     0],이장현,절대평가,"영어,English",4.86,조선해양공학과-조선해양공학,"{'화': '2북466', '수': '2북466'}"
2385,NOE4317-002,NOE4317,2,조선해양설계생산실습,4,3.0,전공선택,[        0         0         0 268369920         0         0         0],이장현,절대평가, ,4.0,조선해양공학과-조선해양공학,{'목': '2북466'}
2386,NOE4405-001,NOE4405,1,해저관로설계,4,3.0,전공선택,[  0 112 112   0   0   0   0],조철희,절대평가,"영어,English",4.5,조선해양공학과-조선해양공학,"{'화': '2북467', '수': '2북467'}"
