,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
1189,FAT1021-001,FAT1021,1,창작드로잉,1,3.0,전공선택,[     0      0 516096      0      0      0      0],이병수,절대평가, ,,조형예술학과-조형예술학,{'수': '5서454'}
1190,FAT1021-002,FAT1021,2,창작드로잉,1,3.0,전공선택,[   0    0 1008    0    0    0    0],경현수,절대평가, ,4.0,조형예술학과-조형예술학,{'수': '5서456'}
1191,FAT1022-001,FAT1022,1,입체와 공간,1,3.0,전공선택,[  0   0   0 126   0   0   0],박원주,절대평가, ,4.4,조형예술학과-조형예술학,{'목': '5서454'}
1192,FAT1022-002,FAT1022,2,입체와 공간,1,3.0,전공선택,[   0    0    0 1008    0    0    0],권경환,절대평가, ,3.0,조형예술학과-조형예술학,{'목': '5서453'}
1193,FAT1701-001,FAT1701,1,미술이란 무엇인가 1,1,3.0,전공선택,[     0 516096      0      0      0      0      0],백지희,상대평가, ,4.0,조형예술학과-조형예술학,{'화': '서-243A'}
1194,FAT2023-001,FAT2023,1,기초조소,2,3.0,전공선택,[1008    0    0    0    0    0    0],이의성,절대평가, ,4.29,조형예술학과-조형예술학,{'월': '5서453'}
1195,FAT2023-002,FAT2023,2,기초조소,2,3.0,전공선택,[516096      0      0      0      0      0      0],이의성,절대평가, ,4.29,조형예술학과-조형예술학,{'월': '5서453'}
1196,FAT2282-001,FAT2282,1,디지털 아트1,2,3.0,전공선택,[   0    0 8064    0    0    0    0],조향미,절대평가, ,5.0,조형예술학과-조형예술학,{'수': '5서453'}
1197,FAT2711-001,FAT2711,1,기초서양화,2,3.0,전공선택,[    0     0     0 64512     0     0     0],이병수,절대평가, ,5.0,조형예술학과-조형예술학,{'목': '5서457A'}
1198,FAT2711-002,FAT2711,2,기초서양화,2,3.0,전공선택,[     0      0 516096      0      0      0      0],경현수,절대평가, ,5.0,조형예술학과-조형예술학,{'수': '5서457B'}
1199,FAT2902-001,FAT2902,1,서양미술사,2,3.0,전공필수,[  0   0 126   0   0   0   0],김문정,상대평가, ,5.0,조형예술학과-조형예술학,{'수': '서-331'}
1200,FAT3025-001,FAT3025,1,뉴미디어아트1,3,3.0,전공선택,[  0   0 126   0   0   0   0],이배경,절대평가, ,5.0,조형예술학과-조형예술학,{'수': '5서467'}
1201,FAT3202-001,FAT3202,1,도시와 조형,3,3.0,전공필수,[  0 126   0   0   0   0   0],정국택,절대평가, ,,조형예술학과-조형예술학,{'화': '서-331'}
1202,FAT3202-002,FAT3202,2,도시와 조형,3,3.0,전공필수,[     0      0      0 516096      0      0      0],권경환,절대평가, ,5.0,조형예술학과-조형예술학,{'목': '5서453'}
1203,FAT3211-001,FAT3211,1,현대회화 이해1,3,3.0,전공선택,[   0    0    0 1008    0    0    0],이은경,절대평가,신임교원,,조형예술학과-조형예술학,{'목': '5서462'}
1204,FAT3303-001,FAT3303,1,금속조표현,3,3.0,전공선택,[    0 64512     0     0     0     0     0],정국택,절대평가, ,4.0,조형예술학과-조형예술학,{'화': '예-101'}
1205,FAT3701-001,FAT3701,1,작가발언과 자료연구 1,3,3.0,전공선택,[      0       0 4128768       0       0       0       0],박소영,Pass/Fail, ,,조형예술학과-조형예술학,{'수': '5서453'}
1206,FAT3902-001,FAT3902,1,전시와 큐레이팅,3,3.0,전공필수,[      0 4128768       0       0       0       0       0],정현,Pass/Fail, ,5.0,조형예술학과-조형예술학,{'화': '서-331'}
1207,FAT4203-001,FAT4203,1,복합매체표현 1,4,3.0,전공필수,[    0     0     0 64512     0     0     0],박소영,절대평가, ,,조형예술학과-조형예술학,{'목': '서-331'}
1208,FAT4203-002,FAT4203,2,복합매체표현 1,4,3.0,전공필수,[    0     0     0 64512     0     0     0],박원주,절대평가, ,,조형예술학과-조형예술학,{'목': '5서462'}
1209,FAT4212-001,FAT4212,1,현대회화 스튜디오1,4,3.0,전공선택,[   0    0 1008    0    0    0    0],안상훈,절대평가, ,,조형예술학과-조형예술학,{'수': '5서465'}
1210,FAT4212-002,FAT4212,2,현대회화 스튜디오1,4,3.0,전공선택,[   0    0    0 1008    0    0    0],이지혜,절대평가, ,,조형예술학과-조형예술학,{'목': '5서465'}
1211,FAT4214-001,FAT4214,1,미디어와 인터렉션1,4,3.0,전공선택,[    0     0 64512     0     0     0     0],이배경,Pass/Fail, ,,조형예술학과-조형예술학,{'수': '5서467'}
1212,FAT4904-001,FAT4904,1,전시 기획 연구,4,3.0,전공필수,[      0       0       0 4128768       0       0       0],정현,상대평가, ,,조형예술학과-조형예술학,{'목': '서-331'}
