,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
642,CHN1005-001,CHN1005,1,중국학 입문,1,3.0,전공선택,[ 0 14  0  0 14  0  0],김우석,상대평가, 
643,CHN1005-002,CHN1005,2,중국학 입문,1,3.0,전공선택,[ 0 14  0  0 14  0  0],김은영,상대평가, 
644,CHN2005-001,CHN2005,1,중국어학개론,2,3.0,전공선택,[  0 896   0 896   0   0   0],박나현,상대평가, 
645,CHN2009-001,CHN2009,1,중국어회화 1,2,3.0,전공선택,[7168    0 7168    0    0    0    0],소영,상대평가, 
646,CHN2009-002,CHN2009,2,중국어회화 1,2,3.0,전공선택,[112   0 112   0   0   0   0],소영,상대평가, 
647,CHN2011-001,CHN2011,1,집중중국어 1,2,3.0,전공필수,[57344     0     0 57344     0     0     0],백은희,상대평가, 
648,CHN2011-002,CHN2011,2,집중중국어 1,2,3.0,전공필수,[     0 458752      0 458752      0      0      0],소영,상대평가, 
649,CHN2011-003,CHN2011,3,집중중국어 1,2,3.0,전공필수,[  0 112   0 112   0   0   0],김은영,상대평가, 
650,CHN2111-001,CHN2111,1,중국문학개론,2,3.0,전공선택,[  0 112   0 112   0   0   0],민정기,상대평가, 
651,CHN2339-001,CHN2339,1,중국지역 탐구,2,3.0,전공선택,[896   0 896   0   0   0   0],민정기,상대평가, 
652,CHN3113-002,CHN3113,2,중국어주제토론 1,3,3.0,전공선택,[    0 57344     0 57344     0     0     0],소영,절대평가,Chinese
653,CHN3115-001,CHN3115,1,중국어문법,3,3.0,전공선택,[  0 112   0 112   0   0   0],백은희,상대평가, 
654,CHN3117-001,CHN3117,1,중국사상의 이해,3,3.0,전공선택,[57344     0 57344     0     0     0     0],차태근,상대평가, 
655,CHN3121-001,CHN3121,1,중국어글쓰기 1,3,3.0,전공선택,[896   0 896   0   0   0   0],전성광,절대평가,Chinese
656,CHN3121-002,CHN3121,2,중국어글쓰기 1,3,3.0,전공선택,[7168    0 7168    0    0    0    0],전성광,절대평가,Chinese
657,CHN3229-001,CHN3229,1,현대 중국의 문학과 예술,3,3.0,전공선택,[   0 7168    0 7168    0    0    0],김은영,상대평가, 
658,CHN3231-001,CHN3231,1,4차 산업혁명과 중국의 기술혁신,3,3.0,전공선택,[112   0 112   0   0   0   0],김용신,상대평가, 
659,CHN4101-001,CHN4101,1,비즈니스 중국어,4,3.0,전공선택,[  0 896   0 896   0   0   0],신향숙,절대평가,Chinese
660,CHN4102-001,CHN4102,1,시사 중국어 독해,4,3.0,전공선택,[458752      0 458752      0      0      0      0],전성광,절대평가,Chinese
661,CHN4235-001,CHN4235,1,중국어프레젠테이션,4,3.0,전공필수,[   0 7168    0 7168    0    0    0],전성광,절대평가,Chinese
662,CHN4235-002,CHN4235,2,중국어프레젠테이션,4,3.0,전공필수,[    0 57344     0 57344     0     0     0],전성광,절대평가,Chinese
663,CHN4341-001,CHN4341,1,중국지역학주제설계,4,3.0,전공필수,[ 0  0 14  0 14  0  0],차태근,Pass/Fail, 
664,CHN4341-002,CHN4341,2,중국지역학주제설계,4,3.0,전공필수,[ 0 14  0 14  0  0  0],민정기,Pass/Fail, 
