,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2509,PHI1103-001,PHI1103,1,철학입문,전체,3.0,전공선택,[     0 516096      0      0      0      0      0],최동용,상대평가,신임교원(정년)담당,,철학과-철학,{'화': '5남531'}
2510,PHI2103-001,PHI2103,1,윤리학,전체,3.0,전공선택,[112 112   0   0   0   0   0],최동용,상대평가, ,5.0,철학과-철학,"{'월': '5남405', '화': '5남405'}"
2511,PHI2107-001,PHI2107,1,언어철학,전체,3.0,전공선택,[7168    0 7168    0    0    0    0],강규호,상대평가,24-1채용강사담당,,철학과-철학,"{'월': '5남405', '수': '5남405'}"
2512,PHI2205-001,PHI2205,1,중국근현대철학사,전체,3.0,전공선택,[     0      0      0 516096      0      0      0],강중기,상대평가, ,3.67,철학과-철학,{'목': '5남405'}
2513,PHI2206-001,PHI2206,1,한국고대철학사,전체,3.0,전공선택,[     0      0      0      0 516096      0      0],이봉규,상대평가, ,4.33,철학과-철학,{'금': '5남405'}
2514,PHI2302-001,PHI2302,1,인도철학,전체,3.0,전공선택,[   0    0    0    0 8064    0    0],김정희,상대평가,24-1채용강사담당,5.0,철학과-철학,{'금': '5남405'}
2515,PHI3112-001,PHI3112,1,기술철학,전체,3.0,전공선택,[ 0 14  0 14  0  0  0],고인석,상대평가, ,5.0,철학과-철학,"{'화': '5남405', '목': '5남405'}"
2516,PHI3123-001,PHI3123,1,문제해결로서의 철학 : 이론,전체,3.0,전공선택,[516096      0      0      0      0      0      0],윤정희,상대평가,전기공학과강사담당,,철학과-철학,{'월': '5동116A'}
2517,PHI3505-001,PHI3505,1,추리논증연습,전체,3.0,전공선택,[  0   0 126   0   0   0   0],우환식,상대평가, ,4.5,철학과-철학,{'수': '5남405'}
2518,PHI4407-001,PHI4407,1,현대철학읽기,전체,3.0,전공선택,[     0      0 516096      0      0      0      0],최건,상대평가,24-1채용강사담당,,철학과-철학,{'수': '5남405'}
