,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
984,EDC4109-008,EDC4109,8,교육실습,4,2.0,교직과정,[ 0  0 30  0  0  0  0],조미혜,절대평가, ,,체육교육과-체육교육,{'수': '서-406'}
985,EDC4109-009,EDC4109,9,교육실습,4,2.0,교직과정,[  0   0 480   0   0   0   0],조미혜,절대평가, ,,체육교육과-체육교육,{'수': '서-406'}
2484,PHE1100-001,PHE1100,1,신체활동 리더십 1,1,1.0,전공선택,[ 0  0  0  0 96  0  0],김병준,Pass/Fail, ,,체육교육과-체육교육,{'금': '서-401'}
2485,PHE1112-001,PHE1112,1,기계체조초급교수법,1,1.0,전공필수,[1966080       0       0       0       0       0       0],박희억,절대평가, ,,체육교육과-체육교육,{'월': '5서160'}
2486,PHE1112-002,PHE1112,2,기계체조초급교수법,1,1.0,전공필수,[31457280        0        0        0        0        0        0],박희억,절대평가, ,,체육교육과-체육교육,{'월': '5서160'}
2487,PHE1119-001,PHE1119,1,스포츠이벤트,1,3.0,전공선택,[    0     0     0     0 64512     0     0],한이준,상대평가, ,,체육교육과-체육교육,{'금': '서-401'}
2488,PHE1122-001,PHE1122,1,운동기능과 인체구조,1,2.0,전공선택,[7680    0    0    0    0    0    0],소병훈,상대평가, ,,체육교육과-체육교육,{'월': '서-401'}
2489,PHE2100-001,PHE2100,1,신체활동 리더십 2,2,1.0,전공선택,[ 0  0  0  0 96  0  0],김영욱,Pass/Fail, ,,체육교육과-체육교육,{'금': '서-406'}
2490,PHE2107-001,PHE2107,1,신체활동AI스마트기술론,2,2.0,전공선택,[     0 122880      0      0      0      0      0],김영욱,절대평가, ,,체육교육과-체육교육,{'화': '서-406'}
2491,PHE2112-001,PHE2112,1,핸드볼교수법,2,1.0,전공선택,[ 0  0  0  0 30  0  0],김상우,절대평가, ,,체육교육과-체육교육,{'금': '농구장'}
2492,PHE2118-001,PHE2118,1,건강교육,2,2.0,전공선택,[   0    0    0 7680    0    0    0],장준호,상대평가, ,,체육교육과-체육교육,{'목': '서-401'}
2493,PHE2163-001,PHE2163,1,운동학습및심리,2,3.0,전공필수,[126   0   0   0   0   0   0],김병준,상대평가, ,,체육교육과-체육교육,{'월': '서-401'}
2494,PHE2163-002,PHE2163,2,운동학습및심리,2,3.0,전공필수,[  0 126   0   0   0   0   0],김병준,상대평가, ,,체육교육과-체육교육,{'화': '서-406'}
2495,PHE2564-001,PHE2564,1,체육교육론,2,3.0,전공필수,[  0   0 126   0   0   0   0],권민정,상대평가, ,,체육교육과-체육교육,{'수': '서-401'}
2496,PHE2564-002,PHE2564,2,체육교육론,2,3.0,전공필수,[     0      0 516096      0      0      0      0],권민정,상대평가, ,,체육교육과-체육교육,{'수': '서-401'}
2497,PHE2663-001,PHE2663,1,스포츠경향분석,2,2.0,전공선택,[  0   0   0 240   0   0   0],권영문,상대평가, ,,체육교육과-체육교육,{'목': '서-406'}
2498,PHE3118-001,PHE3118,1,운동과 영양,3,2.0,전공선택,[ 0  0  0 30  0  0  0],소병훈,상대평가, ,,체육교육과-체육교육,{'목': '서-401'}
2499,PHE3121-001,PHE3121,1,배구교수법,3,1.0,전공선택,[7680    0    0    0    0    0    0],이상래,절대평가, ,,체육교육과-체육교육,{'월': '배구장'}
2500,PHE3131-001,PHE3131,1,농구교수법,3,1.0,전공선택,[  0   0   0 480   0   0   0],양희연,절대평가, ,,체육교육과-체육교육,{'목': '농구장'}
2501,PHE3142-001,PHE3142,1,야영훈련,3,2.0,전공선택,[     0      0      0 122880      0      0      0],김영욱,절대평가, ,,체육교육과-체육교육,{'목': '서-406'}
2502,PHE3152-001,PHE3152,1,체육논리및논술,3,2.0,전공필수,[ 0 30  0  0  0  0  0],권민정,상대평가, ,,체육교육과-체육교육,{'화': '서-401'}
2503,PHE3152-002,PHE3152,2,체육논리및논술,3,2.0,전공필수,[   0 7680    0    0    0    0    0],권민정,상대평가, ,,체육교육과-체육교육,{'화': '서-406'}
2504,PHE3731-001,PHE3731,1,학교현장 체육통계,3,2.0,전공선택,[  0   0 240   0   0   0   0],오수학,절대평가, ,,체육교육과-체육교육,{'수': '5동116A'}
2505,PHE3933-001,PHE3933,1,체육교수학습론,3,3.0,전공선택,[126   0   0   0   0   0   0],조미혜,상대평가, ,,체육교육과-체육교육,{'월': '서-406'}
2506,PHE4119-001,PHE4119,1,운동종합실기,4,2.0,전공선택,[122880      0 122880      0      0      0      0],"서민석,한이준",절대평가, ,,체육교육과-체육교육,"{'월': '에이스수영', '수': '운동장트랙'}"
2507,PHE4171-001,PHE4171,1,운동검사처방,4,2.0,전공선택,[  0   0   0 480   0   0   0],박진한,상대평가, ,,체육교육과-체육교육,{'목': '서-401'}
2508,PHE4711-001,PHE4711,1,체육현장연구방법론,4,2.0,전공선택,[  0 480   0   0   0   0   0],오수학,상대평가, ,,체육교육과-체육교육,{'화': '서-401'}
