,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
754,CSE1101-001,CSE1101,1,객체지향프로그래밍 1,1,3.0,전공필수,[   0  240 7680    0    0    0    0],한경숙,상대평가, ,4.57,컴퓨터공학과-컴퓨터공학,"{'화': '하-120', '수': '하-322'}"
755,CSE1101-002,CSE1101,2,객체지향프로그래밍 1,1,3.0,전공필수,[     0   7680 122880      0      0      0      0],한경숙,상대평가, ,4.57,컴퓨터공학과-컴퓨터공학,"{'화': '하-120', '수': '하-322'}"
756,CSE1101-003,CSE1101,3,객체지향프로그래밍 1,1,3.0,전공필수,[   0    0    0 1950 1950    0    0],이연,상대평가, ,4.5,컴퓨터공학과-컴퓨터공학,"{'목': '하-322', '금': '하-322'}"
757,CSE1101-004,CSE1101,4,객체지향프로그래밍 1,1,3.0,전공필수,[     0      0      0 123360 123360      0      0],이연,상대평가, ,4.5,컴퓨터공학과-컴퓨터공학,"{'목': '하-322', '금': '하-322'}"
758,CSE1101-005,CSE1101,5,객체지향프로그래밍 1,1,3.0,전공필수,[7680 7680    0    0    0    0    0],이욱,상대평가, ,4.96,컴퓨터공학과-컴퓨터공학,"{'월': '하-322', '화': '하-322'}"
759,CSE1101-006,CSE1101,6,객체지향프로그래밍 1,1,3.0,전공필수,[122880 122880      0      0      0      0      0],이욱,상대평가, ,4.96,컴퓨터공학과-컴퓨터공학,"{'월': '하-322', '화': '하-322'}"
760,CSE1103-001,CSE1103,1,객체지향프로그래밍 2,전체,3.0,전공필수,[  0 240   0 240   0   0   0],이선우,절대평가,선수,3.5,컴퓨터공학과-컴퓨터공학,"{'화': '하-324', '목': '하-324'}"
761,CSE1112-001,CSE1112,1,컴퓨터공학입문,1,2.0,전공필수,[  0   0   0   0 240   0   0],서영덕,상대평가, ,4.87,컴퓨터공학과-컴퓨터공학,{'금': '하-120'}
762,CSE1112-002,CSE1112,2,컴퓨터공학입문,1,2.0,전공필수,[    0     0     0     0 15360     0     0],서영덕,상대평가, ,4.87,컴퓨터공학과-컴퓨터공학,{'금': '하-120'}
763,CSE1112-003,CSE1112,3,컴퓨터공학입문,1,2.0,전공필수,[   0    0 7680    0    0    0    0],이선우,상대평가, ,5.0,컴퓨터공학과-컴퓨터공학,{'수': '하-001'}
764,CSE1112-004,CSE1112,4,컴퓨터공학입문,1,2.0,전공필수,[  0   0   0   0 480   0   0],이욱,상대평가, ,4.77,컴퓨터공학과-컴퓨터공학,{'금': '하-121'}
765,CSE1112-005,CSE1112,5,컴퓨터공학입문,1,2.0,전공필수,[   0    0    0    0 7680    0    0],이욱,상대평가, ,4.77,컴퓨터공학과-컴퓨터공학,{'금': '하-121'}
766,CSE2104-001,CSE2104,1,인터넷 프로그래밍,2,3.0,전공선택,[30  0 30  0  0  0  0],이연,상대평가,선수,3.49,컴퓨터공학과-컴퓨터공학,"{'월': '하-222', '수': '하-322'}"
767,CSE2104-002,CSE2104,2,인터넷 프로그래밍,2,3.0,전공선택,[480   0 480   0   0   0   0],이연,상대평가,선수,3.49,컴퓨터공학과-컴퓨터공학,"{'월': '하-222', '수': '하-322'}"
768,CSE2104-003,CSE2104,3,인터넷 프로그래밍,2,3.0,전공선택,[ 122880 7864320       0       0       0       0       0],이연,상대평가,선수,3.49,컴퓨터공학과-컴퓨터공학,"{'월': '하-220', '화': '하-322'}"
769,CSE2104-004,CSE2104,4,인터넷 프로그래밍,2,3.0,전공선택,[133693440         0         0         0         0         0         0],유영훈,상대평가,선수,4.05,컴퓨터공학과-컴퓨터공학,{'월': '하-322'}
770,CSE2104-005,CSE2104,5,인터넷 프로그래밍,2,3.0,전공선택,[30  0  0 30  0  0  0],노희준,상대평가,선수,,컴퓨터공학과-컴퓨터공학,"{'월': '하-001', '목': '하-322'}"
