,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
1243,FLL1001-001,FLL1001,1,기초 프랑스어 1,1,3.0,전공선택,[  0   0 896   0 896   0   0],배진아,상대평가, ,4.25,프랑스언어문화학과-프랑스언어문화,"{'수': '5남407', '금': '5남407'}"
1244,FLL2001-001,FLL2001,1,프랑스어 회화 1,전체,3.0,전공선택,[57344     0 57344     0     0     0     0],엘로이즈뫼르,상대평가,"French,English",5.0,기타-원어강의,"{'월': '5남517', '수': '5남517'}"
1245,FLL2001-002,FLL2001,2,프랑스어 회화 1,전체,3.0,전공선택,[458752      0 458752      0      0      0      0],엘로이즈뫼르,상대평가,"French,English",5.0,기타-원어강의,"{'월': '5남517', '수': '5남517'}"
1246,FLL2005-001,FLL2005,1,프랑스어 듣기와 발음연습 1,전체,3.0,전공선택,[  0 896   0 896   0   0   0],엘로이즈뫼르,절대평가,"French,English",4.68,기타-원어강의,"{'화': '5남517', '목': '5남517'}"
1247,FLL2005-002,FLL2005,2,프랑스어 듣기와 발음연습 1,전체,3.0,전공선택,[    0 57344     0 57344     0     0     0],엘로이즈뫼르,절대평가,"French,English",4.68,기타-원어강의,"{'화': '5남517', '목': '5남517'}"
1248,FLL2010-001,FLL2010,1,프랑스어 문법 1,전체,3.0,전공필수,[   0    0 7168    0 7168    0    0],배진아,상대평가, ,4.25,프랑스언어문화학과-프랑스언어문화,"{'수': '5남407', '금': '5남407'}"
1249,FLL2036-001,FLL2036,1,프랑스 문화권의 이해,전체,3.0,전공선택,[57344 57344     0     0     0     0     0],김세리,상대평가, ,5.0,프랑스언어문화학과-프랑스언어문화,"{'월': '5남407', '화': '5남407'}"
1250,FLL3032-001,FLL3032,1,DELF B1 읽기 · 쓰기,전체,3.0,전공선택,[896   0 896   0   0   0   0],이홍,절대평가,"프랑스어,French",,프랑스언어문화학과-프랑스언어문화,"{'월': '5남505', '수': '5남505'}"
1251,FLL3037-001,FLL3037,1,프랑스 문학개관,전체,3.0,전공선택,[  0 112   0 112   0   0   0],조병준,상대평가, ,3.67,프랑스언어문화학과-프랑스언어문화,"{'화': '5남407', '목': '5남407'}"
1252,FLL4019-001,FLL4019,1,프랑스어권 문화산업과 지리정보 1,전체,3.0,전공선택,[7168    0 7168    0    0    0    0],이홍,절대평가,"프랑스어,French",,프랑스언어문화학과-프랑스언어문화,"{'월': '5남505', '수': '5남505'}"
1253,FLL4022-001,FLL4022,1,한국 인물사,전체,3.0,전공선택,[    0     0     0     0 64512     0     0],이홍,절대평가,"영어,English",,프랑스언어문화학과-프랑스언어문화,{'금': '5남505'}
1254,FLL4024-001,FLL4024,1,K-POP으로 읽는 한국사회 변모사,전체,3.0,전공선택,[   0 7168    0 7168    0    0    0],조병준,절대평가,"영어,English",,기타-원어강의,"{'화': '5남505', '목': '5남505'}"
