,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,department
1826,HKO1102-001,HKO1102,1,한국어의 이해,2,3.0,전공필수,[   0 7168    0 7168    0    0    0],허인영,상대평가, ,한국어문학과-한국어문학
1827,HKO2002-001,HKO2002,1,한국문학사 1,3,3.0,전공필수,[   0    0 8064 8064    0    0    0],이효원,상대평가, ,한국어문학과-한국어문학
1828,HKO2205-001,HKO2205,1,고전문학과 스토리텔링,2,3.0,전공선택,[516096      0      0      0      0      0      0],이승희,상대평가, ,한국어문학과-한국어문학
1829,HKO2301-001,HKO2301,1,현대시 읽기,2,3.0,전공선택,[1008    0 1008    0    0    0    0],강동호,상대평가, ,한국어문학과-한국어문학
1830,HKO2302-001,HKO2302,1,시 쓰기 이론과 실제,2,3.0,전공선택,[     0      0      0 516096      0      0      0],이병국,상대평가, ,한국어문학과-한국어문학
1831,HKO2303-001,HKO2303,1,아동문학 읽기,2,3.0,전공선택,[   0    0    0    0 1008    0    0],원종찬,상대평가, ,한국어문학과-한국어문학
1832,HKO3001-001,HKO3001,1,학술 답사,1,2.0,전공필수,[     0      0 122880      0      0      0      0],"강동호,허인영",Pass/Fail, ,한국어문학과-한국어문학
1833,HKO3102-001,HKO3102,1,한국어의 문장구조,3,3.0,전공선택,[  0   0   0 126   0   0   0],박혜진,상대평가, ,한국어문학과-한국어문학
1834,HKO3106-001,HKO3106,1,옛글과 현대언어문화,3,3.0,전공선택,[  0 112   0 112   0   0   0],김경혜,상대평가, ,한국어문학과-한국어문학
1835,HKO3204-001,HKO3204,1,고전작가론,3,3.0,전공선택,[   0 7168    0 7168    0    0    0],박혜숙,상대평가, ,한국어문학과-한국어문학
1836,HKO3206-001,HKO3206,1,설화와 민속의 이해,3,3.0,전공선택,[      0       0       0 4128768       0       0       0],김준희,상대평가, ,한국어문학과-한국어문학
1837,HKO3301-001,HKO3301,1,현대소설 읽기,3,3.0,전공선택,[    0 57344 57344     0     0     0     0],김동식,상대평가, ,한국어문학과-한국어문학
1838,HKO3302-001,HKO3302,1,동화창작론,3,3.0,전공선택,[  0   0   0   0 126   0   0],김민령,상대평가, ,한국어문학과-한국어문학
1839,HKO3303-001,HKO3303,1,현대비평의 이론,3,3.0,전공선택,[     0 458752 458752      0      0      0      0],김동식,상대평가, ,한국어문학과-한국어문학
1840,HKO3304-001,HKO3304,1,비교문학의 이해,3,3.0,전공선택,[   0 7168    0 7168    0    0    0],정종현,상대평가, ,한국어문학과-한국어문학
1841,HKO3306-001,HKO3306,1,현대작가론,3,3.0,전공선택,[    0 57344     0 57344     0     0     0],정종현,상대평가, ,한국어문학과-한국어문학
1842,HKO3308-001,HKO3308,1,이야기 그림책의 탐구,3,3.0,전공선택,[     0 516096      0      0      0      0      0],원종찬,절대평가, ,한국어문학과-한국어문학
1843,HKO4101-001,HKO4101,1,한국어의 역사,4,3.0,전공선택,[7168    0 7168    0    0    0    0],허인영,상대평가, ,한국어문학과-한국어문학
1844,HKO4205-001,HKO4205,1,글로벌시대의 고전텍스트,4,3.0,전공선택,[  0   0 112 112   0   0   0],이효원,상대평가, ,한국어문학과-한국어문학
1845,HKO4306-001,HKO4306,1,현대문학과 스토리텔링,4,3.0,전공선택,[516096      0      0      0      0      0      0],류수연,상대평가, ,한국어문학과-한국어문학
