,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
192,ASE1040-001,ASE1040,1,항공우주공학개론,1,3.0,전공필수,[458752      0 458752      0      0      0      0],이창열,상대평가, ,,항공우주공학과-항공우주공학,"{'월': '본관소강당', '수': '본관소강당'}"
193,ASE2012-001,ASE2012,1,구조역학,2,3.0,전공필수,[   0 3584    0 3584    0    0    0],이창열,상대평가,선수,,항공우주공학과-항공우주공학,"{'화': '항공-216', '목': '항공-216'}"
194,ASE2012-002,ASE2012,2,구조역학,2,3.0,전공필수,[    0 28672     0 28672     0     0     0],이창열,상대평가,선수,,항공우주공학과-항공우주공학,{}
195,ASE2020-001,ASE2020,1,동역학,2,3.0,전공필수,[  0 112   0 112   0   0   0],김정호,상대평가, ,3.98,항공우주공학과-항공우주공학,"{'화': '항공-216', '목': '항공-216'}"
196,ASE2055-001,ASE2055,1,열역학,2,3.0,전공필수,[229390      0 229390      0      0      0      0],노태성,상대평가, ,3.74,항공우주공학과-항공우주공학,"{'월': '항공-216', '수': '항공-216'}"
197,ASE2055-002,ASE2055,2,열역학,2,3.0,전공필수,[229390      0 229390      0      0      0      0],노태성,상대평가, ,3.74,항공우주공학과-항공우주공학,"{'월': '항공-216', '수': '항공-216'}"
198,ASE2091-001,ASE2091,1,3-D 캐드 및 프린팅,2,2.0,전공선택,[32256     0     0     0     0     0     0],"이창열,라히미",절대평가, ,5.0,항공우주공학과-항공우주공학,{'월': '항공-419A'}
199,ASE2091-002,ASE2091,2,3-D 캐드 및 프린팅,2,2.0,전공선택,[    0     0 32256     0     0     0     0],이창열,절대평가, ,,항공우주공학과-항공우주공학,{}
200,ASE2100-001,ASE2100,1,항공우주 다학년 프로젝트 1,2,1.0,전공필수,[ 0  0  0  0  0 30  0],목성훈,Pass/Fail, ,,항공우주공학과-항공우주공학,{'토': '항공-201'}
201,ASE3014-001,ASE3014,1,가스터빈,전체,3.0,전공선택,[ 28672      0 229376      0      0      0      0],이상복,상대평가,선수,,항공우주공학과-항공우주공학,"{'월': '항공-216', '수': '항공-217'}"
202,ASE3031-001,ASE3031,1,확률 및 랜덤변수,3,3.0,전공선택,[   0 3584    0 3584    0    0    0],목성훈,상대평가, ,5.0,항공우주공학과-항공우주공학,{}
203,ASE3072-001,ASE3072,1,고속공기역학,3,3.0,전공선택,[3584    0 3584    0    0    0    0],박진석,상대평가,선수,4.3,항공우주공학과-항공우주공학,"{'월': '항공-217', '수': '항공-217'}"
204,ASE3093-001,ASE3093,1,자동제어,3,3.0,전공필수,[  0 112   0 112   0   0   0],김종한,상대평가, ,4.18,항공우주공학과-항공우주공학,"{'화': '항공-217', '목': '항공-217'}"
205,ASE3100-001,ASE3100,1,항공우주 다학년 프로젝트 3,3,1.0,전공필수,[   0    0    0    0    0 1920    0],목성훈,Pass/Fail, ,,항공우주공학과-항공우주공학,{'토': '항공-204'}
206,ASE3112-001,ASE3112,1,항공우주공학실험 1,3,2.0,전공필수,[    0     0     0     0 32256     0     0],김종한,절대평가, ,3.0,항공우주공학과-항공우주공학,{'금': '항공-419A'}
207,ASE3222-001,ASE3222,1,항공우주 첨단재료,3,3.0,전공선택,[112   0 112   0   0   0   0],이창열,상대평가, ,4.33,항공우주공학과-항공우주공학,"{'월': '항공-217', '수': '항공-217'}"
208,ASE4052-001,ASE4052,1,전산구조해석,4,3.0,전공선택,[     0 229376      0 229376      0      0      0],김정호,상대평가,선수,3.7,항공우주공학과-항공우주공학,"{'화': '항공-419A', '목': '항공-419A'}"
209,ASE4064-001,ASE4064,1,추진기관설계,4,3.0,전공선택,[ 3584     0 28672     0     0     0     0],이상복,상대평가,선수,,항공우주공학과-항공우주공학,"{'월': '항공-216', '수': '항공-217'}"
210,ASE4070-001,ASE4070,1,항공기개념설계,4,3.0,전공선택,[   0 3584 3584    0    0    0    0],이승수,상대평가,선수,4.0,항공우주공학과-항공우주공학,"{'화': '항공-215', '수': '항공-215'}"
211,ASE4122-001,ASE4122,1,항공우주종합설계 1,4,2.0,전공필수,[  0   0   0   0   0 126   0],"이승수,박진석",절대평가, ,,항공우주공학과-항공우주공학,{'토': '항공-216'}
212,ASE4122-002,ASE4122,2,항공우주종합설계 1,4,2.0,전공필수,[  0   0   0   0   0 126   0],노태성,절대평가, ,,항공우주공학과-항공우주공학,{'토': '항공-203'}
213,ASE4122-003,ASE4122,3,항공우주종합설계 1,4,2.0,전공필수,[   0    0    0    0    0 8064    0],"최기영,유창경,김종한,목성훈",절대평가, ,,항공우주공학과-항공우주공학,{'토': '항공-216'}
214,ASE4122-004,ASE4122,4,항공우주종합설계 1,4,2.0,전공필수,[   0    0    0    0    0 8064    0],"김정호,이창열",절대평가, ,,항공우주공학과-항공우주공학,{'토': '항공-203'}
215,ASE4124-001,ASE4124,1,비행동역학 및 제어,4,3.0,전공선택,[ 0 14  0 14  0  0  0],유창경,상대평가,선수,3.33,항공우주공학과-항공우주공학,"{'화': '항공-203', '목': '항공-203'}"
216,ASE4140-001,ASE4140,1,항공우주요소설계 1,4,3.0,전공선택,[    0     0     0     0 32256     0     0],이성택,상대평가, ,3.89,항공우주공학과-항공우주공학,{'금': '항공-215'}
