,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2450,OCN2101-001,OCN2101,1,해양수학 및 실습,2,3.0,전공필수,[  7680      0 122880      0      0      0      0],우승범,절대평가, ,3.0,해양과학과-해양과학,"{'월': '60주년-808', '수': '5서355B'}"
2451,OCN2202-001,OCN2202,1,해저지형학 및 실험,2,3.0,전공선택,[     0 122880      0 122880      0      0      0],이관홍,절대평가,English,3.5,기타-원어강의,"{'화': '5서355A', '목': '5서355A'}"
2452,OCN2401-001,OCN2401,1,화학해양학 및 실험,2,3.0,전공필수,[  0   0 240   0 240   0   0],조형미,절대평가, ,4.85,해양과학과-해양과학,"{'수': '5서355B', '금': '5서355B'}"
2453,OCN2402-001,OCN2402,1,해양환경분석 및 실험,2,3.0,전공선택,[   0 7680    0 7680    0    0    0],조형미,절대평가, ,4.86,해양과학과-해양과학,"{'화': '5서355B', '목': '5서355B'}"
2454,OCN2501-001,OCN2501,1,생물해양학 및 실험,2,3.0,전공필수,[130560      0 130560      0      0      0      0],김태원,절대평가, ,3.44,해양과학과-해양과학,"{'월': '5서355B', '수': '5서355B'}"
2455,OCN2602-001,OCN2602,1,어류생물학 및 실험,2,3.0,전공선택,[30 30  0  0  0  0  0],한경남,절대평가, ,2.0,해양과학과-해양과학,"{'월': '5서355B', '화': '5서355A'}"
2456,OCN3312-001,OCN3312,1,문제해결형 해양역학자료분석 및 실습,3,3.0,전공선택,[     0 130560      0      0 130560      0      0],박재훈,절대평가, ,4.67,해양과학과-해양과학,"{'화': '5서355B', '금': '5서355B'}"
2457,OCN4107-001,OCN4107,1,학사논문작성 및 발표,4,2.0,전공필수,[     0      0 122880      0      0      0      0],김태원,Pass/Fail, ,,해양과학과-해양과학,{'수': '5서355A'}
2458,OCN4308-001,OCN4308,1,하구 및 연안물리학,4,3.0,전공선택,[64512     0 64512     0     0     0     0],우승범,절대평가,English,,기타-원어강의,"{'월': '5남238', '수': '5남238'}"
2459,OCN4408-001,OCN4408,1,극지환경과학,4,3.0,전공선택,[  0 112   0 112   0   0   0],홍성민,상대평가, ,5.0,해양과학과-해양과학,"{'화': '5서355B', '목': '5서355B'}"
