,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2460,PAD2108-001,PAD2108,1,의사결정 심리학,전체,3.0,전공선택,[7168 7168    0    0    0    0    0],김진영,상대평가, ,3.83,행정학과-행정학,"{'월': '9-317', '화': '9-317'}"
2461,PAD2112-001,PAD2112,1,조직이론,전체,3.0,전공필수,[  0   0 896 896   0   0   0],문국경,상대평가, ,4.77,행정학과-행정학,"{'수': '9-403', '목': '9-403'}"
2462,PAD2112-002,PAD2112,2,조직이론,전체,3.0,전공필수,[   0    0 7168 7168    0    0    0],문국경,상대평가, ,4.77,행정학과-행정학,"{'수': '9-403', '목': '9-403'}"
2463,PAD2116-001,PAD2116,1,행정학 원강 2,전체,3.0,전공선택,[     0      0 516096      0      0      0      0],명승환,절대평가,"영어, English",4.58,기타-원어강의,{'수': '9-317'}
2464,PAD2118-001,PAD2118,1,현대사회와 도시문제,전체,3.0,전공선택,[516096      0      0      0      0      0      0],정경연,상대평가, ,3.23,행정학과-행정학,{'월': '9-406'}
2465,PAD2121-001,PAD2121,1,규제행정론,전체,3.0,전공선택,[     0      0      0 516096      0      0      0],정회윤,상대평가, ,,행정학과-행정학,{'목': '6-426'}
2466,PAD2125-001,PAD2125,1,공공경제학,전체,3.0,전공선택,[112 112   0   0   0   0   0],최동걸,상대평가, ,,행정학과-행정학,"{'월': '9-403', '화': '9-403'}"
2467,PAD2204-001,PAD2204,1,민법총칙의 이해,전체,3.0,전공선택,[7280    0    0 7280    0    0    0],임성권,상대평가, ,4.02,행정학과-행정학,"{'월': '법전105', '목': '법전105'}"
2468,PAD2209-001,PAD2209,1,정책학원론,전체,3.0,전공필수,[     0      0      0 516096      0      0      0],문성진,상대평가, ,2.87,행정학과-행정학,{'목': '9-403'}
2469,PAD2215-001,PAD2215,1,행정학특강 1,전체,3.0,전공선택,[     0      0 516096      0      0      0      0],허경렬,상대평가, ,,행정학과-행정학,{'수': '9-406'}
2470,PAD2219-001,PAD2219,1,헌법 1,전체,3.0,전공선택,[   0 7182    0 7182    0    0    0],서경석,상대평가, ,2.0,행정학과-행정학,"{'화': '법전126', '목': '법전126'}"
2471,PAD2220-001,PAD2220,1,행정법 1,전체,3.0,전공선택,[  0 112 112   0   0   0   0],김민배,상대평가, ,3.67,행정학과-행정학,"{'화': '법전126', '수': '법전126'}"
2472,PAD3104-001,PAD3104,1,복지국가론,전체,3.0,전공선택,[57344 57344     0     0     0     0     0],김영민,상대평가, ,3.15,행정학과-행정학,"{'월': '9-403', '화': '9-403'}"
2473,PAD3108-001,PAD3108,1,재무행정론,전체,3.0,전공필수,[  0   0 112 112   0   0   0],박성철,상대평가, ,,행정학과-행정학,"{'수': '9-403', '목': '9-403'}"
2474,PAD3108-002,PAD3108,2,재무행정론,전체,3.0,전공필수,[   0    0 7168 7168    0    0    0],박성철,상대평가, ,,행정학과-행정학,"{'수': '9-406', '목': '9-406'}"
2475,PAD3113-001,PAD3113,1,환경정책론,전체,3.0,전공필수,[     0 516096      0      0      0      0      0],변병설,상대평가, ,3.67,행정학과-행정학,{'화': '9-406'}
2476,PAD3113-002,PAD3113,2,환경정책론,전체,3.0,전공필수,[     0      0      0 516096      0      0      0],경정익,상대평가, ,,행정학과-행정학,{'목': '9-317'}
2477,PAD3116-001,PAD3116,1,정부회계원리,전체,3.0,전공선택,[112 112   0   0   0   0   0],최수영,상대평가, ,4.66,행정학과-행정학,"{'월': '9-406', '화': '9-406'}"
2478,PAD3117-001,PAD3117,1,정보정책론,전체,3.0,전공선택,[   0    0    0    0 8064    0    0],김현수,상대평가, ,4.38,행정학과-행정학,{'금': '9-317'}
2479,PAD3119-001,PAD3119,1,도시개발론,전체,3.0,전공선택,[  0   0   0   0 126   0   0],정진원,상대평가, ,4.65,행정학과-행정학,{'금': '9-406'}
2480,PAD3121-001,PAD3121,1,경찰행정학1,전체,3.0,전공선택,[     0      0      0 516096      0      0      0],허경렬,상대평가, ,,행정학과-행정학,{'목': '9-406'}
2481,PAD3209-001,PAD3209,1,정책평가론,전체,3.0,전공선택,[   0    0 7168 7168    0    0    0],박진솔,절대평가,"영어, English",4.83,행정학과-행정학,"{'수': '9-317', '목': '9-317'}"
2482,PAD3214-001,PAD3214,1,행정학연습 1,전체,3.0,전공선택,[  0   0   0 126   0   0   0],김상길,상대평가, ,,행정학과-행정학,{'목': '9-406'}
2483,PAD3217-001,PAD3217,1,경제학연습,전체,3.0,전공선택,[7168 7168    0    0    0    0    0],최동걸,상대평가, ,,행정학과-행정학,"{'월': '9-406', '화': '9-406'}"
