,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
2662,SBE2001-001,SBE2001,1,이차전지 기초화학,전체,3.0,전공선택,[0 0 0 0 0 0 1],최우혁,상대평가, ,3.33,기타-E-Learning,{'셀': '웹강의'}
2663,SBE2002-001,SBE2002,1,이차전지 공정기술개론,전체,3.0,전공선택,[0 0 0 0 0 0 1],김민규,절대평가, ,3.4,화학공학과-이차전지공학,{'셀': '웹강의'}
2664,SBE2007-001,SBE2007,1,이차전지 핵심광물과 공급망,전체,3.0,전공선택,[0 0 0 0 0 0 1],김진,상대평가, ,,기타-E-Learning,{'셀': '웹강의'}
2665,SBE3001-001,SBE3001,1,이차전지 제작 실습,전체,3.0,전공필수,[       0 33030144        0        0        0        0        0],최진섭,절대평가, ,4.8,화학공학과-이차전지공학,{'화': '60주년-610'}
2666,SBE3002-001,SBE3002,1,이차전지 평가 실습,전체,3.0,전공필수,[       0        0 33030144        0        0        0        0],하재윤,절대평가, ,4.75,화학공학과-이차전지공학,{'수': '60주년-509'}
2667,SBE3004-001,SBE3004,1,이차전지 산학프로젝트,전체,3.0,전공선택,[       0        0        0        0 33030144        0        0],이기영,Pass/Fail, ,5.0,화학공학과-이차전지공학,{'금': '60주년-710'}
2668,SBE3006-001,SBE3006,1,이차전지개론,전체,3.0,전공선택,[   0 1008    0 1008    0    0    0],김민규,절대평가, ,3.3,화학공학과-이차전지공학,"{'화': '60주년-712', '목': '60주년-712'}"
2669,SBE3007-001,SBE3007,1,이차전지 전기화학기초,전체,3.0,전공선택,[7280    0 7280    0    0    0    0],탁용석,상대평가, ,4.63,화학공학과-이차전지공학,"{'월': '5동202', '수': '5동202'}"
2670,SBE3008-001,SBE3008,1,배터리 최신기술 세미나 2,전체,3.0,전공선택,[33030144        0        0        0        0        0        0],이기영,Pass/Fail, ,4.5,화학공학과-이차전지공학,{'월': '60주년-206'}
2671,SBE3010-001,SBE3010,1,이차전지 유기소재,전체,3.0,전공선택,[7168 7168    0    0    0    0    0],이근형,상대평가, ,,화학공학과-이차전지공학,"{'월': '60주년-509', '화': '60주년-509'}"
2672,SBE3011-001,SBE3011,1,이차전지 열관리 시스템,전체,3.0,전공선택,[     0      0      0 516096      0      0      0],김홍근,절대평가, ,,화학공학과-이차전지공학,{'목': '60주년-709'}
2673,SBE3201-001,SBE3201,1,전극신공법공학,전체,3.0,전공선택,[0 0 0 0 0 0 1],이기영,상대평가, ,,기타-E-Learning,{'셀': '웹강의'}
2674,SBE3202-001,SBE3202,1,이차전지 소재분석공학,전체,3.0,전공선택,[0 0 0 0 0 0 1],유정은,상대평가, ,,화학공학과-이차전지공학,{'셀': '웹강의'}
2675,SBE4001-001,SBE4001,1,이차전지 분석 실습,전체,3.0,전공필수,[    0     0     0     0 64512     0     0],유정은,절대평가, ,5.0,화학공학과-이차전지공학,{'금': '60주년-710'}
2676,SBE4002-001,SBE4002,1,이차전지 복합재료,전체,3.0,전공선택,[ 0 14 14  0  0  0  0],김용선,절대평가, ,5.0,화학공학과-이차전지공학,"{'화': '5서452', '수': '5서452'}"
