,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
517,CHE2100-001,CHE2100,1,물리화학 1,2,3.0,전공필수,[458752 458752      0      0      0      0      0],심상은,상대평가, ,4.61,화학공학과-화학공학,"{'월': '5동110', '화': '5동110'}"
518,CHE2100-002,CHE2100,2,물리화학 1,2,3.0,전공필수,[     0 458864      0 458864      0      0      0],심상은,상대평가, ,4.61,화학공학과-화학공학,"{'화': '5동110', '목': '5동110'}"
519,CHE2100-003,CHE2100,3,물리화학 1,2,3.0,전공필수,[     0    112      0 458752      0      0      0],김승현,상대평가, ,4.31,화학공학과-화학공학,"{'화': '5동111', '목': '2동259'}"
520,CHE2100-004,CHE2100,4,물리화학 1,2,3.0,전공필수,[458752 458752      0      0      0      0      0],이근형,상대평가, ,4.75,화학공학과-화학공학,"{'월': '2동259', '화': '2동259'}"
521,CHE2102-001,CHE2102,1,유기화학 1,2,3.0,전공필수,[57344     0 57344     0     0     0     0],육지호,상대평가, ,4.5,화학공학과-화학공학,"{'월': '5동110', '수': '5동110'}"
522,CHE2102-002,CHE2102,2,유기화학 1,2,3.0,전공필수,[57344     0 57344     0     0     0     0],황예진,상대평가, ,4.85,화학공학과-화학공학,"{'월': '5동111', '수': '5동111'}"
523,CHE2102-003,CHE2102,3,유기화학 1,2,3.0,전공필수,[57344     0 57344     0     0     0     0],조강희,상대평가, ,4.75,화학공학과-화학공학,"{'월': '2북663', '수': '2북663'}"
524,CHE2104-001,CHE2104,1,화공계산 1,2,3.0,전공필수,[   0 7280 7280    0    0    0    0],최진섭,상대평가, ,4.61,화학공학과-화학공학,"{'화': '5동110', '수': '5동110'}"
525,CHE2104-002,CHE2104,2,화공계산 1,2,3.0,전공필수,[7168    0 7168    0    0    0    0],이기영,상대평가, ,4.32,화학공학과-화학공학,"{'월': '2동259', '수': '5동110'}"
526,CHE2104-003,CHE2104,3,화공계산 1,2,3.0,전공필수,[   0 7280 7280    0    0    0    0],이기영,상대평가, ,4.32,화학공학과-화학공학,"{'화': '5동211', '수': '5동211'}"
527,CHE2108-001,CHE2108,1,재료과학,2,3.0,전공선택,[112   0   0 112   0   0   0],정지원,상대평가, ,3.63,화학공학과-화학공학,"{'월': '60주년-707', '목': '60주년-707'}"
528,CHE2108-002,CHE2108,2,재료과학,2,3.0,전공선택,[112   0   0 112   0   0   0],양회창,상대평가, ,3.47,화학공학과-화학공학,"{'월': '5동111', '목': '5동111'}"
529,CHE2108-003,CHE2108,3,재료과학,2,3.0,전공선택,[126 126   0   0   0   0   0],양승재,절대평가,"영어,English",4.47,화학공학과-화학공학,"{'월': '5동211', '화': '5동211'}"
530,CHE3201-001,CHE3201,1,화학반응공학,3,3.0,전공필수,[7280    0 7280    0    0    0    0],탁용석,상대평가,선수,4.63,화학공학과-화학공학,"{'월': '2동259', '수': '2동259'}"
531,CHE3201-002,CHE3201,2,화학반응공학,3,3.0,전공필수,[    0 57344     0 57344     0     0     0],백성현,상대평가,선수,4.48,화학공학과-화학공학,"{'화': '5동110', '목': '5동110'}"
532,CHE3201-003,CHE3201,3,화학반응공학,3,3.0,전공필수,[    0 57344     0 57344     0     0     0],이시우,절대평가,"영어,English,선수",,기타-원어강의,"{'화': '2동259', '목': '2동259'}"
533,CHE3202-001,CHE3202,1,화학공학실험,3,2.0,전공필수,[510   0   0   0   0   0   0],김건중,절대평가, ,5.0,화학공학과-화학공학,{'월': '1-029'}
534,CHE3202-002,CHE3202,2,화학공학실험,3,2.0,전공필수,[       0 16711680        0        0        0        0        0],양회창,절대평가, ,,화학공학과-화학공학,{'화': '1-029'}
535,CHE3202-003,CHE3202,3,화학공학실험,3,2.0,전공필수,[       0        0 16711680        0        0        0        0],심봉섭,절대평가, ,1.86,화학공학과-화학공학,{'수': '1-029'}
536,CHE3202-004,CHE3202,4,화학공학실험,3,2.0,전공필수,[       0        0        0 16711680        0        0        0],황성원,절대평가, ,2.0,화학공학과-화학공학,{'목': '1-029'}
537,CHE3202-005,CHE3202,5,화학공학실험,3,2.0,전공필수,[  0   0   0   0 510   0   0],양승재,절대평가, ,1.0,화학공학과-화학공학,{'금': '1-029'}
