,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
617,CHM2101-001,CHM2101,1,양자화학,2,3.0,전공필수,[7280    0    0 7280    0    0    0],김찬경,절대평가,"영어,English",4.75,기타-원어강의,"{'월': '5서356', '목': '5서356'}"
618,CHM2101-002,CHM2101,2,양자화학,2,3.0,전공필수,[7280    0    0 7280    0    0    0],김정호,절대평가,"영어,English",4.96,화학과-화학,"{'월': '5서357', '목': '5서357'}"
619,CHM2201-001,CHM2201,1,유기화학 1,2,3.0,전공필수,[   0 1008    0 1008    0    0    0],이건형,상대평가, ,4.37,화학과-화학,"{'화': '5서356', '목': '5서356'}"
620,CHM2201-002,CHM2201,2,유기화학 1,2,3.0,전공필수,[   0 1008    0 1008    0    0    0],김동욱,상대평가, ,4.83,화학과-화학,"{'화': '5서357', '목': '5서357'}"
621,CHM2402-001,CHM2402,1,분석화학 1,2,3.0,전공필수,[910   0   0 910   0   0   0],신동하,상대평가, ,,화학과-화학,"{'월': '5동507', '목': '5동507'}"
622,CHM3109-001,CHM3109,1,물리화학실험,3,2.0,전공필수,[    0 32640     0     0     0     0     0],김찬경,절대평가, ,3.6,화학과-화학,{'화': '5동413'}
623,CHM3109-002,CHM3109,2,물리화학실험,3,2.0,전공필수,[       0        0 16711680        0        0        0        0],김명웅,절대평가, ,3.75,화학과-화학,{'수': '5동413'}
624,CHM3109-003,CHM3109,3,물리화학실험,3,2.0,전공필수,[       0        0 16711680        0        0        0        0],양상희,절대평가, ,,화학과-화학,{'수': '5서563'}
625,CHM3113-001,CHM3113,1,반응속도론,3,3.0,전공선택,[126   0 126   0   0   0   0],김명웅,절대평가,"영어,English",4.67,화학과-화학,"{'월': '5동508', '수': '5동508'}"
626,CHM3115-001,CHM3115,1,분자설계-분석 융합화학,4,3.0,전공선택,[   0    0 8064    0 8064    0    0],"김명웅,양상희",절대평가,"영어,English",,기타-원어강의,"{'수': '5동508', '금': '5동508'}"
627,CHM3217-001,CHM3217,1,유기화학 3,3,3.0,전공선택,[126   0 126   0   0   0   0],조동규,절대평가,"영어,English",5.0,기타-원어강의,"{'월': '5서356', '수': '5서356'}"
628,CHM3302-001,CHM3302,1,무기화학 2,3,3.0,전공필수,[910   0   0 910   0   0   0],박성진,상대평가, ,4.6,화학과-화학,"{'월': '5동508', '목': '5동508'}"
629,CHM3414-001,CHM3414,1,기기분석,3,3.0,전공선택,[57344     0 57344     0     0     0     0],신동하,절대평가,"영어,English",,화학과-화학,"{'월': '5동507', '수': '5동507'}"
630,CHM3501-001,CHM3501,1,생화학 1,3,3.0,전공필수,[7280    0    0 7280    0    0    0],소재원,상대평가, ,4.08,화학과-화학,"{'월': '5동508', '목': '5동508'}"
631,CHM4115-001,CHM4115,1,전산화학,4,3.0,전공선택,[     0      0      0 516096      0      0      0],김찬경,절대평가,"영어,English",4.86,기타-원어강의,{'목': '5서563'}
632,CHM4314-001,CHM4314,1,나노화학,4,3.0,전공선택,[   0 7182    0    0 7182    0    0],강동원,상대평가, ,5.0,화학과-화학,"{'화': '5서357', '금': '5서357'}"
633,CHM4409-001,CHM4409,1,분석 및 기기분석 화학실험,2,2.0,전공필수,[16711680        0        0        0        0        0        0],노철언,절대평가, ,1.2,화학과-화학,{'월': '5동411A'}
634,CHM4409-002,CHM4409,2,분석 및 기기분석 화학실험,2,2.0,전공필수,[  0   0 510   0   0   0   0],신동하,절대평가, ,5.0,화학과-화학,{'수': '5동411A'}
635,CHM4409-003,CHM4409,3,분석 및 기기분석 화학실험,2,2.0,전공필수,[        0         0 133693440         0         0         0         0],노철언,절대평가, ,1.2,화학과-화학,{'수': '5동411A'}
636,CHM4409-004,CHM4409,4,분석 및 기기분석 화학실험,2,2.0,전공필수,[  0   0   0 510   0   0   0],노철언,절대평가, ,1.2,화학과-화학,{'목': '5동411A'}
637,CHM4409-005,CHM4409,5,분석 및 기기분석 화학실험,2,2.0,전공필수,[     0 261120      0      0      0      0      0],김민규,절대평가, ,,화학과-화학,{'화': '5동411A'}
638,CHM4513-001,CHM4513,1,세포생화학,4,3.0,전공선택,[57344     0 57344     0     0     0     0],소재원,절대평가,"영어,English",4.5,화학과-화학,"{'월': '5동508', '수': '5동508'}"
639,CHM4613-001,CHM4613,1,공업화학,4,3.0,전공선택,[      0 4128768       0       0       0       0       0],박수진,상대평가, ,2.18,화학과-화학,{'화': '5동505'}
640,CHM4614-001,CHM4614,1,화학특론,4,3.0,전공선택,[  0   0   0   0   0 126   0],김동욱,절대평가,"영어,English",5.0,기타-원어강의,{'토': '5서356'}
641,CHM4615-001,CHM4615,1,에너지화학,4,3.0,전공선택,[   0 1008    0    0 1008    0    0],김희선,상대평가, ,3.14,화학과-화학,"{'화': '5동508', '금': '5동508'}"
