,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
1150,ENV1002-001,ENV1002,1,환경공학개론,1,1.0,전공필수,[ 0  0 96  0  0  0  0],"조석연,배재호,황용우,김창균,김정환,전기준,한창석,이한돌",Pass/Fail, ,,환경공학과-환경공학,{'수': '4-317'}
1151,ENV2004-001,ENV2004,1,유체역학,2,3.0,전공선택,[126   0 126   0   0   0   0],이한돌,절대평가,"영어,English",4.73,기타-원어강의,"{'월': '4-317', '수': '4-317'}"
1152,ENV2005-001,ENV2005,1,환경물리화학,2,3.0,전공선택,[7168 7168    0    0    0    0    0],정용원,상대평가,선수,4.09,환경공학과-환경공학,"{'월': '2동250', '화': '2동250'}"
1153,ENV2007-001,ENV2007,1,환경공학계산,2,3.0,전공선택,[  0 112   0 112   0   0   0],한창석,절대평가,"영어,English",4.81,기타-원어강의,"{'화': '4-317', '목': '4-317'}"
1154,ENV3001-001,ENV3001,1,환경미생물학,3,3.0,전공선택,[   0 7168    0 7168    0    0    0],배재호,상대평가, ,4.67,환경공학과-환경공학,"{'화': '4-317', '목': '4-317'}"
1155,ENV3104-001,ENV3104,1,물리화학적수처리공정설계,3,2.0,전공필수,[  0   0   0   0 126   0   0],김창균,절대평가, ,,환경공학과-환경공학,{'금': '2동358'}
1156,ENV3104-002,ENV3104,2,물리화학적수처리공정설계,3,2.0,전공필수,[  0   0   0   0 126   0   0],한창석,절대평가, ,3.5,환경공학과-환경공학,{'금': '2동360'}
1157,ENV3104-003,ENV3104,3,물리화학적수처리공정설계,3,2.0,전공필수,[    0     0     0     0 64512     0     0],박선영,절대평가, ,,환경공학과-환경공학,{'금': '2동358'}
1158,ENV3110-001,ENV3110,1,물리화학적수처리,3,3.0,전공필수,[459648 459648      0      0      0      0      0],김정환,상대평가, ,4.33,환경공학과-환경공학,"{'월': '4-317', '화': '4-317'}"
1159,ENV3110-002,ENV3110,2,물리화학적수처리,3,3.0,전공필수,[57344     0 57344     0     0     0     0],한창석,절대평가,"영어,English",5.0,환경공학과-환경공학,"{'월': '2동250', '수': '2동250'}"
1160,ENV3201-001,ENV3201,1,대기환경학,3,3.0,전공필수,[7168    0 7168    0    0    0    0],조석연,상대평가,선수,4.83,환경공학과-환경공학,"{'월': '4-317', '수': '4-317'}"
1161,ENV3206-001,ENV3206,1,환경에너지공학,3,3.0,전공선택,[  0 112   0 112   0   0   0],전기준,절대평가,"영어,English",4.0,환경공학과-환경공학,"{'화': '2동250', '목': '2동250'}"
1162,ENV3303-001,ENV3303,1,환경경영,3,3.0,전공선택,[    0 58240     0 58240     0     0     0],황용우,상대평가, ,3.25,환경공학과-환경공학,"{'화': '4-317', '목': '4-317'}"
1163,ENV4002-001,ENV4002,1,환경공학종합설계,4,3.0,전공필수,[      0       0       0 4128768       0       0       0],"조석연,배재호",상대평가, ,3.0,환경공학과-환경공학,{'목': '2동250'}
1164,ENV4002-002,ENV4002,2,환경공학종합설계,4,3.0,전공필수,[      0       0       0 4128768       0       0       0],"황용우,김창균",상대평가, ,,환경공학과-환경공학,{'목': '4-317'}
1165,ENV4002-003,ENV4002,3,환경공학종합설계,4,3.0,전공필수,[      0       0       0 4128768       0       0       0],"김정환,전기준",상대평가, ,,환경공학과-환경공학,{'목': '4-313'}
1166,ENV4012-001,ENV4012,1,소음 및 진동방지,4,3.0,전공선택,[112   0 112   0   0   0   0],한범순,상대평가, ,,환경공학과-환경공학,"{'월': '4-313', '수': '4-313'}"
1167,ENV4203-001,ENV4203,1,대기오염제어 2,4,3.0,전공선택,[    0 57344     0 57344     0     0     0],전기준,상대평가, ,1.0,환경공학과-환경공학,"{'화': '2동250', '목': '2동250'}"
1168,ENV4204-001,ENV4204,1,대기오염방지시설설계,4,2.0,전공필수,[516096      0      0      0      0      0      0],전기준,절대평가,선수,1.0,환경공학과-환경공학,{'월': '2동358'}
1169,ENV4204-002,ENV4204,2,대기오염방지시설설계,4,2.0,전공필수,[516096      0      0      0      0      0      0],이한돌,절대평가,선수,1.0,환경공학과-환경공학,{'월': '2동360'}
1170,ENV4403-001,ENV4403,1,토양 및 지하수 복원설계,4,3.0,전공선택,[   0 7168    0 7168    0    0    0],김창균,절대평가,"영어,English",3.67,환경공학과-환경공학,"{'화': '4-313', '목': '4-313'}"
