,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
34,ACE2101-004,ACE2101,4,공업수학 1,2,3.0,교양필수,[112   0 112   0   0   0   0],이승수,상대평가, 
37,ACE2101-007,ACE2101,7,공업수학 1,2,3.0,교양필수,[458864      0 458864      0      0      0      0],이선영,상대평가, 
48,ACE2101-018,ACE2101,18,공업수학 1,2,3.0,교양필수,[112   0 112   0   0   0   0],김진,상대평가, 
51,ACE2101-021,ACE2101,21,공업수학 1,2,3.0,교양필수,[126   0 126   0   0   0   0],이은경,상대평가,선수
54,ACE2101-024,ACE2101,24,공업수학 1,2,3.0,교양필수,[7280    0 7280    0    0    0    0],이은경,상대평가,선수
58,ACE2102-002,ACE2102,2,공업수학 2,2,3.0,교양필수,[126   0 126   0   0   0   0],연룡하,절대평가,Chinese
63,ACE2104-004,ACE2104,4,통계학,2,3.0,교양필수,[     0      0 458864      0 458864      0      0],우화형,상대평가, 
65,ACE2104-006,ACE2104,6,통계학,2,3.0,교양필수,[  0   0 126   0   0   0   0],이한청,상대평가, 
68,ACE2105-002,ACE2105,2,선형대수,2,3.0,교양필수,[112   0 112   0   0   0   0],이호재,상대평가,선수
69,ACE2105-003,ACE2105,3,선형대수,2,3.0,교양필수,[112   0 112   0   0   0   0],임홍기,상대평가,선수
87,AIE1003-001,AIE1003,1,인공지능 입문,1,2.0,전공필수,[  0   0 240   0   0   0   0],김도국,상대평가, 
93,AIE3001-001,AIE3001,1,기계학습,3,3.0,전공필수,[112   0 112   0   0   0   0],김병형,상대평가, 
104,APL1104-001,APL1104,1,통계학의 이해 1,1,3.0,교양필수,[112   0 112   0   0   0   0],황태성,상대평가, 
113,APL2105-002,APL2105,2,Business English 1,전체,3.0,전공필수,[112   0 112   0   0   0   0],제임스패턴,상대평가,English
119,APL2302-001,APL2302,1,물류의사결정론,전체,3.0,전공선택,[112   0 112   0   0   0   0],김용진,절대평가,"영어,English"
125,APL3413-001,APL3413,1,공항경영론,전체,3.0,전공선택,[112   0 112   0   0   0   0],박용화,절대평가, 
128,APL4321-001,APL4321,1,물류비즈니스모델링,4,3.0,전공선택,[  0   0 126   0   0   0   0],김종철,절대평가,"영어, English"
154,ARC4116-001,ARC4116,1,도시설계,4,3.0,전공필수,[  0   0 126   0   0   0   0],김경배,상대평가, 
171,ARE2203-001,ARE2203,1,건축환경-열환경,2,3.0,전공선택,[126   0 126   0   0   0   0],조재훈,상대평가,선수
173,ARE3108-001,ARE3108,1,철근콘크리트 건축구조,3,3.0,전공선택,[  0 112 112   0   0   0   0],정성훈,상대평가,선수
187,ARS1104-001,ARS1104,1,파워바디플랜,전체,3.0,교양필수,[  0   0 126   0   0   0   0],송정란,절대평가, 
207,ASE3222-001,ASE3222,1,항공우주 첨단재료,3,3.0,전공선택,[112   0 112   0   0   0   0],이창열,상대평가, 
221,BIO1101-002,BIO1101,2,생명과학 1,전체,3.0,교양필수,[   0 7280 7280    0    0    0    0],윤진미,상대평가, 
238,BIO3106-001,BIO3106,1,생태학,3,3.0,전공선택,[  0   0 112 112   0   0   0],조강현,상대평가, 
278,BTE2105-001,BTE2105,1,미생물학,2,3.0,전공필수,[112   0 112   0   0   0   0],"김응수,임현규",상대평가,선수
282,BTE3109-001,BTE3109,1,세포배양공학,4,3.0,전공선택,[458864      0 458864      0      0      0      0],백종윤,절대평가,"영어,English"
326,BUS2601-005,BUS2601,5,경영정보론,전체,3.0,전공필수,[  0   0 126   0   0   0   0],김연태,상대평가, 
331,BUS3002-002,BUS3002,2,비즈니스영어 2,전체,3.0,전공필수,[112   0 112   0   0   0   0],마이클쿡,상대평가,English
338,BUS3101-001,BUS3101,1,투자론,전체,3.0,전공선택,[126   0 126   0   0   0   0],한재준,상대평가, 
346,BUS3301-002,BUS3301,2,중급회계 1,전체,3.0,전공선택,[112   0 112   0   0   0   0],조형진,상대평가, 
355,BUS3501-002,BUS3501,2,소비자행동론,전체,3.0,전공선택,[  0   0 126   0   0   0   0],김정원,상대평가, 
364,BUS3701-002,BUS3701,2,CSR경영전략과 사례,전체,3.0,전공선택,[  0 112 112   0   0   0   0],배성미,상대평가, 
374,BUS4301-001,BUS4301,1,연결재무제표론,전체,3.0,전공선택,[  0 112 112   0   0   0   0],오슬기,상대평가, 
399,CBA1104-002,CBA1104,2,통계학,전체,3.0,교양필수,[112   0 112   0   0   0   0],조정래,상대평가, 
434,CCM1213-001,CCM1213,1,플롯유형론,2,3.0,전공선택,[112   0 112   0   0   0   0],김만수,상대평가, 
445,CCM2213-002,CCM2213,2,스토리텔링 입문,2,3.0,전공선택,[  0   0 126   0   0   0   0],육상효,절대평가,"영어,English"
461,CCM4213-001,CCM4213,1,영상커뮤니케이션,2,3.0,전공선택,[112   0 112   0   0   0   0],정혜승,상대평가, 
482,CDN2126-001,CDN2126,1,디자인세미나,2,3.0,전공선택,[112   0 112   0   0   0   0],강현주,상대평가, 
505,CDN3331-001,CDN3331,1,퍼블릭케이션 디자인,3,3.0,전공선택,[  0   0 126   0   0   0   0],권기홍,절대평가, 
514,CHE1103-001,CHE1103,1,화공매트랩 기초,1,3.0,교양필수,[   0    0 1008    0    0    0    0],장인주,절대평가, 
524,CHE2104-001,CHE2104,1,화공계산 1,2,3.0,전공필수,[   0 7280 7280    0    0    0    0],최진섭,상대평가, 
526,CHE2104-003,CHE2104,3,화공계산 1,2,3.0,전공필수,[   0 7280 7280    0    0    0    0],이기영,상대평가, 
530,CHE3201-001,CHE3201,1,화학반응공학,3,3.0,전공필수,[7280    0 7280    0    0    0    0],탁용석,상대평가,선수
543,CHE3210-002,CHE3210,2,공정제어,3,3.0,전공선택,[458752      0    112      0      0      0      0],황성원,절대평가,"영어,English"
563,CHE4308-001,CHE4308,1,고분자화학,3,3.0,전공선택,[  0 112 112   0   0   0   0],육지호,상대평가, 
567,CHE4402-001,CHE4402,1,에너지소재,4,3.0,전공선택,[    0 57456 57456     0     0     0     0],황예진,절대평가,"영어,English"
572,CHM1021-004,CHM1021,4,화학 1,1,3.0,교양필수,[126   0 126   0   0   0   0],조경철,상대평가, 
576,CHM1021-008,CHM1021,8,화학 1,1,3.0,교양필수,[126   0 126   0   0   0   0],조경철,상대평가, 
581,CHM1021-013,CHM1021,13,화학 1,1,3.0,교양필수,[126   0 126   0   0   0   0],최성환,상대평가, 
584,CHM1023-003,CHM1023,3,일반화학,1,3.0,교양필수,[126   0 126   0   0   0   0],오세영,상대평가, 
586,CHM1023-005,CHM1023,5,일반화학,1,3.0,교양필수,[126   0 126   0   0   0   0],오세영,상대평가, 
604,CHM1028-001,CHM1028,1,화학실험 1,1,1.0,교양필수,[  0   0 480   0   0   0   0],이건형,절대평가, 
612,CHM1028-009,CHM1028,9,화학실험 1,1,1.0,교양필수,[  0   0 480   0   0   0   0],소재원,절대평가, 
625,CHM3113-001,CHM3113,1,반응속도론,3,3.0,전공선택,[126   0 126   0   0   0   0],김명웅,절대평가,"영어,English"
627,CHM3217-001,CHM3217,1,유기화학 3,3,3.0,전공선택,[126   0 126   0   0   0   0],조동규,절대평가,"영어,English"
634,CHM4409-002,CHM4409,2,분석 및 기기분석 화학실험,2,2.0,전공필수,[  0   0 510   0   0   0   0],신동하,절대평가, 
646,CHN2009-002,CHN2009,2,중국어회화 1,2,3.0,전공선택,[112   0 112   0   0   0   0],소영,상대평가, 
658,CHN3231-001,CHN3231,1,4차 산업혁명과 중국의 기술혁신,3,3.0,전공선택,[112   0 112   0   0   0   0],김용신,상대평가, 
