,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
16,ACE1301-008,ACE1301,8,정보사회와컴퓨터,1,3.0,교양필수,[     0 458752      0   7168      0      0      0],이석환,절대평가, ,4.71,산업경영공학과-산업경영공학,"{'화': '2북464', '목': '2북474'}"
21,ACE1302-003,ACE1302,3,컴퓨터프로그래밍,1,3.0,교양필수,[     0      0      0 261120      0      0      0],김영호,절대평가, ,4.54,전기공학과-전기공학,{'목': '60주년-809'}
31,ACE2101-001,ACE2101,1,공업수학 1,2,3.0,교양필수,[   0 7280    0 7280    0    0    0],김홍근,상대평가,선수,,기계공학과-기계공학,"{'화': '2북365', '목': '2북365'}"
40,ACE2101-010,ACE2101,10,공업수학 1,2,3.0,교양필수,[   0    0  896 7168    0    0    0],김민식,상대평가,선수,,생명공학과-생명공학,"{'수': '2동252', '목': '2동256'}"
91,AIE2005-001,AIE2005,1,파이썬기반응용프로그래밍,2,3.0,전공선택,[   0 7168    0 7168    0    0    0],이현규,상대평가, ,5.0,인공지능공학과-인공지능공학,"{'화': '60주년-906', '목': '60주년-906'}"
95,AIE3006-001,AIE3006,1,운영체제론,3,3.0,전공선택,[     0      0 465920 465920      0      0      0],송민석,상대평가, ,,인공지능공학과-인공지능공학,"{'수': '하-120', '목': '하-120'}"
102,APL1101-001,APL1101,1,물류학의 이해,1,3.0,교양필수,[   0 7168    0 7168    0    0    0],권오경,상대평가, ,4.1,아태물류학부-물류학,"{'화': '9-101', '목': '9-101'}"
116,APL2207-001,APL2207,1,물류회계,전체,3.0,전공선택,[   0 7168    0 7168    0    0    0],이재형,절대평가,"영어,English",4.06,기타-원어강의,"{'화': '9-003', '목': '9-003'}"
124,APL3307-001,APL3307,1,보관하역론,전체,3.0,전공선택,[   0 7168    0 7168    0    0    0],임현우,절대평가,"영어,English",3.24,아태물류학부-물류학,"{'화': '9-006', '목': '9-006'}"
138,ARC2203-001,ARC2203,1,건축설계 3,2,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김광호,배연수",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-422A', '목': '4-422A'}"
139,ARC2203-002,ARC2203,2,건축설계 3,2,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"최민욱,김형섭",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-422B', '목': '4-422B'}"
140,ARC2203-003,ARC2203,3,건축설계 3,2,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"최성훈,최주희",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-422C', '목': '4-422C'}"
141,ARC2203-004,ARC2203,4,건축설계 3,2,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김윤수,이동진",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-422D', '목': '4-422D'}"
142,ARC2203-006,ARC2203,6,건축설계 3,2,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"박범진,장익수",절대평가,선수,,건축학부-건축학,"{'월': '2남512D', '목': '2남512D'}"
147,ARC3205-001,ARC3205,1,건축설계 5,3,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"임종엽,정우석",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-407A', '목': '4-407A'}"
148,ARC3205-002,ARC3205,2,건축설계 5,3,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김경배,이형진",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-407B', '목': '4-407B'}"
149,ARC3205-003,ARC3205,3,건축설계 5,3,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"박지영,윤용권",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-407C', '목': '4-407C'}"
150,ARC3205-004,ARC3205,4,건축설계 5,3,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"정웅기,이화숙",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '4-407D', '목': '4-407D'}"
155,ARC4207-001,ARC4207,1,건축설계 7,4,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"조민정,변승용",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '2남420B', '목': '2남420B'}"
156,ARC4207-002,ARC4207,2,건축설계 7,4,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"정혜진,서정주",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '2남420C', '목': '2남420C'}"
157,ARC4207-003,ARC4207,3,건축설계 7,4,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김재석,김옥현",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '2남420동', '목': '2남420동'}"
158,ARC4207-004,ARC4207,4,건축설계 7,4,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김효진,전재우",절대평가,"영어,English,선수",,건축학부-건축학,"{'월': '2남420F', '목': '2남420F'}"
159,ARC4209-001,ARC4209,1,건축설계 9,5,6.0,전공필수,[2096640       0       0 2096640       0       0       0],"김광호,김경배,김효진,최성훈",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수",,건축학부-건축학,"{'월': '2남512A', '목': '2남512A'}"
