,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,department
12,ACE1301-004,ACE1301,4,정보사회와컴퓨터,1,3.0,교양필수,[    0 57344     0     0 57344     0     0],원종구,절대평가, ,기계공학과-기계공학
17,ACE1301-009,ACE1301,9,정보사회와컴퓨터,4,3.0,교양필수,[    0     0     0     0 64512     0     0],이윤정,절대평가, ,생명공학과-생명공학
25,ACE1302-007,ACE1302,7,컴퓨터프로그래밍,1,3.0,교양필수,[     0      0      0      0 130560      0      0],이영우,절대평가, ,반도체시스템공학과-반도체시스템공학
44,ACE2101-014,ACE2101,14,공업수학 1,2,3.0,교양필수,[    0     0 58240     0 58240     0     0],최경표,상대평가, ,신소재공학과-신소재공학
62,ACE2104-003,ACE2104,3,통계학,2,3.0,교양필수,[    0     0 57358     0 57358     0     0],우화형,상대평가, ,컴퓨터공학과-컴퓨터공학
70,ACE2105-004,ACE2105,4,선형대수,2,3.0,교양필수,[    0     0 57358     0 57358     0     0],김춘우,상대평가,선수,정보통신공학과-정보통신공학
71,ACE2105-005,ACE2105,5,선형대수,2,3.0,교양필수,[    0     0 57358     0 57358     0     0],김춘우,상대평가,선수,정보통신공학과-정보통신공학
105,APL1104-002,APL1104,2,통계학의 이해 1,1,3.0,교양필수,[     0      0      0      0 516096      0      0],현기순,상대평가, ,아태물류학부-물류학
144,ARC3104-001,ARC3104,1,근대건축사,3,3.0,전공필수,[    0     0     0     0 64512     0     0],이홍규,상대평가, ,건축학부-건축학
166,ARC4311-001,ARC4311,1,건축과 조경,4,3.0,전공선택,[    0     0     0     0 64512     0     0],정혜진,상대평가, ,건축학부-건축학
168,ARE1403-002,ARE1403,2,건축공학개론,1,3.0,전공필수,[    0     0     0     0 64512     0     0],"양재근,조재훈,조재완,최민지",상대평가, ,건축학부-건축공학
176,ARE3307-001,ARE3307,1,건축법규,3,3.0,전공선택,[    0     0     0     0 64512     0     0],조영호,상대평가, ,건축학부-건축공학
