course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
BNF9005-001,BNF9005,1,다학년 연구프로젝트 1,3,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",이기환,Pass/Fail, 
BNF9005-002,BNF9005,2,다학년 연구프로젝트 1,3,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",강재택,Pass/Fail, 
BNF9007-002,BNF9007,2,다학년 연구프로젝트 3,4,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",강경이,Pass/Fail, 
BPE4105-001,BPE4105,1,바이오산업현장개론,4,2.0,전공선택,"[0, 0, 0, 0, 0, 31457280, 0]",허윤석,Pass/Fail, 
ITC9005-001,ITC9005,1,SW융합프로젝트1,3,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",김종훈,Pass/Fail, 
ITC9005-002,ITC9005,2,SW융합프로젝트1,3,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",남춘성,Pass/Fail, 
ITC9005-003,ITC9005,3,SW융합프로젝트1,3,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",최성용,Pass/Fail, 
MCT9003-001,MCT9003,1,공학프로젝트 3,4,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",정건옥,Pass/Fail, 
MCT9003-002,MCT9003,2,공학프로젝트 3,4,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",이우형,Pass/Fail, 
MCT9003-003,MCT9003,3,공학프로젝트 3,4,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",최종호,Pass/Fail, 
SIM9003-001,SIM9003,1,현장프로젝트3,4,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",서창수,Pass/Fail, 
SIM9006-001,SIM9006,1,현장프로젝트1,3,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",이재진,Pass/Fail, 
SIM9006-002,SIM9006,2,현장프로젝트1,3,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",김성건,Pass/Fail, 
SIM9006-003,SIM9006,3,현장프로젝트1,3,3.0,전공선택,"[0, 0, 0, 0, 0, 132120576, 0]",정승민,Pass/Fail, 
UMD4037-031,UMD4037,31,진로탐색실습 1,4,2.0,전공필수,"[0, 0, 0, 0, 0, 8581545984, 0]",김지원,Pass/Fail, 
