,department
0,기타-E-Learning
1,기타-NCS과목
2,기타-교양영어
3,기타-교양한국어
4,기타-법학과목
5,기타-비사대교직
6,기타-사범대 교직과정
7,기타-외국인교양
8,기타-원어강의
9,기타-인하공학교육혁신센터
10,기타-일반교양
11,기타-크로스오버
12,기타-핵심교양
13,IBT학과-국제경영학
14,ISE학과-융합시스템공학
15,KLC학과-국제한국언어문화학
16,간호학과-간호학
17,건축학부-건축공학
18,건축학부-건축학
19,경영학과-경영학
20,경제학과-경제학
21,고분자공학과-고분자공학
22,공간정보공학과-공간정보공학
23,공과대학(FVE)-미래자동차공학
24,교육학과-교육학
25,국어교육과-국어교육
26,국제통상학과-국제통상학
27,글로벌금융학과-글로벌금융학
28,금융투자학과-금융투자학
29,기계공학과-기계공학
30,데이터사이언스학과-데이터사이언스학
31,디자인융합학과-디자인융합학
32,디자인테크놀로지학과-디자인테크놀로지학
33,메카트로닉스공학과-메카트로닉스공학
34,문화콘텐츠문화경영학과-문화콘텐츠문화경영학
35,물리학과-물리학
36,미디어커뮤니케이션학과-미디어커뮤니케이션학
37,바이오제약공학과-바이오제약공학
38,반도체산업융합학과-반도체산업융합
39,반도체시스템공학과-반도체시스템공학
40,사학과-사학
41,사회교육과-사회교육
42,사회복지학과-사회복지학
43,사회인프라공학과-사회인프라공학
44,산업경영공학과-산업경영공학
45,산업경영학과-산업경영학
46,생명공학과-생명공학
47,생명과학과-생명과학
48,소비자학과-소비자학
49,소프트웨어융합공학과-소프트웨어융합공학
50,소프트웨어융합대학(SCSC)-연계전공(SCSC)
51,수학과-수학
52,수학교육과-수학교육
53,스마트모빌리티공학과-스마트모빌리티공학
54,스포츠과학과-스포츠과학
55,식품영양학과-식품영양학
56,신소재공학과-반도체공학
57,신소재공학과-신소재공학
58,아동심리학과-아동심리학
59,아태물류학부-물류학
60,에너지자원공학과-에너지자원공학
61,연극영화학과-연극영화학
62,영어교육과-영어교육
63,영어영문학과-영어영문학
64,의류디자인학과-의류디자인학
65,의예과-의예
66,의학과-의학
67,인공지능공학과-인공지능공학
68,일본언어문화학과-일본언어문화
69,자유전공학부-자유전공학부
70,전기공학과-전기공학
71,전자공학과-전자공학
72,정보통신공학과-인공지능반도체공학
73,정보통신공학과-정보통신공학
74,정치외교학과-기후위기대응
75,정치외교학과-정치외교학
76,조선해양공학과-조선해양공학
77,조형예술학과-조형예술학
78,중국학과-중국학
79,철학과-철학
80,체육교육과-체육교육
81,컴퓨터공학과-컴퓨터공학
82,통계학과-통계학
83,프랑스언어문화학과-프랑스언어문화
84,프런티어학부대학-프런티어학부대학
85,한국어문학과-한국어문학
86,항공우주공학과-항공우주공학
87,해양과학과-해양과학
88,행정학과-행정학
89,화학공학과-이차전지공학
90,화학공학과-화학공학
91,화학과-화학
92,환경공학과-환경공학
